001_00	ฏอ ซีน มีม
002_00	เหล่านี้คือโองการทั้งหลายอันชัดแจ้ง
003_00	บางทีเจ้า (มุฮัมมัด) เป็นผู้ทำลายชีวิตของเจ้า เพราะพวกเขาไม่เป็นผู้ศรัทธา
004_00	หากเราประสงค์ เราจะให้มีสัญญาณหนึ่งจากฟากฟ้ามายังพวกเขา แล้วคอของพวกเขาก็ยอมก้มลมต่อมัน
005_00	และไม่มีข้อตักเตือนใหม่ อันใดจากพระผู้ทรงกรุณาปราณี เว้นแต่พวกเขาจะผินหลังให้กับมัน
006_00	แล้วแน่นอนพวกเขาได้ปฏิเสธ ดังนั้นข่าวคราวที่พวกเขาเคยเยาะเย้ยมันนั้นก็จะมายังพวกเขา
007_00	พวกเขามิได้มองไปยังแผ่นดินดอกหรือว่ากี่มากน้อยแล้วที่เราได้ให้มันงอกเงยออกมาจากทุกชนิดที่ดีมีประโยชน์
008_00	แท้จริงในการนี้ย่อมเป็นสัญญาณหนึ่งอย่างแน่นอน แต่ส่วนมากของพวกเขาไม่เป็นผู้ศรัทธา
009_00	และแท้จริงพระเจ้าของเจ้านั้น แน่นอนพระองค์เป็นผู้ทรงอำนาจ ผู้ทรงเมตตาเสมอ
010_00	และจงรำลึก เมื่อพระเจ้าของเจ้าทรงเรียกมูซาว่า จงไปยังหมู่ชนผู้อธรรม
011_00	คือหมู่ชนของฟิรเอาน์ พวกเขาไม่ยำเกรงดอกหรือ?
012_00	เขา (มูซา)กล่าวว่า โอ้พระเจ้าของฉันแท้จริงฉันกลัวว่า พวกเขาจะปฏิเสธไม่ยอมเชื่อฉัน
013_00	และหัวอกของฉันจะอึดอัด และลิ้นของฉันจะไม่คล่อง ดังนั้นพระองค์ทรงโปรดส่งฮารูนมาช่วยฉันด้วยเถิด!
014_00	และพวกเขามีข้อกล้าวหาต่อฉัน ดังนั้นฉันกลัวว่าพวกเขาจะฆ่าฉัน
015_00	พระองค์ตรัสว่า ไม่ดอก! ดังนั้นเจ้าทั้งสองจงไปเถิดพร้อมด้วยสัญญาณทั้งหลาย ของเราแท้จริงเราอยู่กับพวกเจ้า เป็นผู้ฟัง
016_00	ดังนั้นเจ้าทั้งสองจงไปหาฟิรเอาน์ แล้วจงกล่าวว่าเราเป็นทูตของพระเจ้าแห่งสากลโลก
017_00	แล้วขอให้ส่งวงศ์วานของอิสรออีลไปพร้อมกับเราเถิด
018_00	เขา(ฟิรเอาน์) กล่าวว่า เรามิได้เลี้ยงดูเจ้าเมื่อขณะเป็นเด็กอยู่กับพวกเราดอกหรือ? และเจ้าได้อยู่กับเราหลายปี ในช่วงชีวิตของเจ้า
019_00	และเจ้าได้ทำการกระทำของเจ้าซึ่งเจ้าได้กระทำไปแล้ว และเจ้าเป็นผู้หนึ่งในหมู่ผู้เนรคุณ
020_00	เขา (มูซา) กล่าวว่า ฉันได้กระทำมันโดยที่ฉันไม่รู้
021_00	ดังนั้น ฉันได้หนีไปจากพวกท่าน เมื่อฉันกลัวพวกท่านแล้วพระเจ้าของฉันได้ทรงประทานฮิกมะฮ์แก่ฉัน และทรงแต่งตั้งฉันให้เป็นร่อซูลคนหนึ่ง
022_00	และนี่คือบุญคุณที่ท่านรำเลิกมันต่อฉันโดยท่านทำให้วงศืวานอิสรออีลเป็นทาส
023_00	ฟิรเอาน์ได้กล่าวว่า “และใครคือพระเจ้าแห่งสากลโลก”
024_00	เขา(มูซา) กล่าวว่า “พระเจ้าแห่งชั้นฟ้าทั้งหลายและแผ่นดิน และสิ่งที่อยู่ในระหว่างทั้งสอง หากพวกท่านเป็นผู้ศรัทธาเชื่อมัน”
025_00	เขาได้กล่าวแก่ผู้อยู่รอบ ๆ เขาว่า “พวกท่านได้ยินไหม?”
026_00	เขา(มูซา)กล่าว่า “พระเจ้าของพวกท่าน และของบรรพบุรุษสมัยก่อน ๆ นั้นด้วย”
027_00	เขา (ฟิรเอาน์) กล่าวว่า “ทจริงร่อซูลของพวกท่านซึ่งได้ถูกส่งมายังพวกท่านนั้นเป็นคนบ้าอย่างแน่นอน”
028_00	เขา(มูซา) กล่าวว่า “พระเจ้าแห่งทิศตะวันออกและทิศตะวันตก และสิ่งที่อยู่ในระหว่างทั้งสอง หากพวกท่านใช้สติปัญญาพิจารณา
029_00	เขากล่าวว่า “หากเจ้ายึดถือพระเจ้าอื่นจากฉัน ฉันจะให้เจ้าอยู่ในหมู่ผู้ต้องขัง”
030_00	เขา(มูซา) กล่าวว่า “แม้ว่าฉันจะนำสิ่งที่ชัดแจ้งมายังท่านกระนั้นหรือ?”
031_00	เขากล่าวว่า “ก็จงนำมันมาซิ หากเจ้าเป็นคนจริง”
032_00	ดังนั้น เขาได้โยนไม่เท้าของเขามันคือ งูอย่าชัดแจ้ง
033_00	และได้ดึงมือของเขาออกมาเป็นสีขางแก่บรรดาผู้มองดู
034_00	เขาได้กล่าวแก่ขุนนางชั้นผู้ใหญ่รอบๆ เขาว่า “แท้จริงเขาคนนี้คือนักเล่นกลอย่างช่ำชอง
035_00	เขาต้องการที่ให้พวกท่านออกจากดินแดนของพวกท่านด้วยเล่ห์กลของเขา ดังนั้นพวกท่านจะชี้แนะประการใด”
036_00	พวกเขากล่าวว่า “จงหน่วงเหนี่ยวเขาและพี่ชายของเขาไว้ก่อน และจงส่งคนไปตามหัวเมืองให้มาชุมนุมกัน
037_00	เพื่อที่นักเล่นกลผู้ช่ำชองทุกคนจะได้มาหาท่าน”
038_00	แล้วบรรดานักเล่นกลได้มาชุมนุมกันตามวันเวลาที่กำหนดไว้
039_00	และได้มีประกาศแก่มหาชน พวกท่านจะไปร่วมชุมนุมด้วยไหม?
040_00	เพื่อพวกเขาจะได้ตามบรรดานักเล่นกลหากพวกเขาเป็นผู้ชนะ
041_00	เมื่อพวกนักเล่นกลมาถึง พวกเขากล่าวแก่ฟิรเอาน์ว่า “พวกเราจะมีรางวัลแน่นอนหรือถ้าพวกเราเป็นผู้ชนะ
042_00	เขากล่าวว่า “ถูกแล้ว และพวกท่านขณะนั้นจะอยู่ในหมู่ผู้ใกล้ชิดอย่างแน่นอน”
043_00	มูซาได้กล่าวแก่พวกเขาว่า “จงโยนซิสิ่งที่พวกท่านจะต้องโยน”
044_00	แล้วพวกเขาก็ได้โยนเชือกหลายเส้นของพวกเขาและไม้เท้าหลายอันของพวกเขา และพวกเขากล่าวว่า “ด้วยเกียติยศของฟิรเอาน์แท้จริงเราเป็นผู้ชนะอย่างแน่นอน”
045_00	ครั้นแล้วมูซาก็ได้โยนไม้เท้าของเขา ณ บัดนั้นมันได้กลืนสิ่งที่พวกเขาได้ลองมันขึ้น
046_00	พวกนักเล่นกลจึงก้มหัวลงกราบสุญูด
047_00	พวกเขากล่าวว่า “เราศรัทธาต่อพระเจ้าแห่งสากลโลก”
048_00	พระเจ้าของมูซา และฮารูน
049_00	เขากล่าวว่า พวกท่านศรัทธาต่อเขาก่อนที่ฉันจะอนุญาตแก่พวกท่านกระนั้นหรือ?
049_01	แน่นอนเขาต้องเป็นหัวหน้าของพวกท่านซึ่งได้สอนการเล่นกลแก่พวกท่าน แล้วพวกท่านจะรู้ แน่นอนฉันจะตัดมือของพวกท่านและเท้าของพวกท่านสลับข้างกัน และแน่นอนฉันจะแขวนตรึงไว้ทั้งหมด
