001_00	พระผู้ทรงกรุณาปรานี
002_00	พระองค์ทรงสอนอัลกุรอาน
003_00	พระองค์ทรงสร้างมนุษย์
004_00	พระองค์ทรงสอนเขาให้เปล่งเสียงพูด
005_00	ดวงอาทิตย์ และดวงจันทร์โคจรตามวิถีที่แน่นอน
006_00	และผักหญ้า และต้นไม้จะกราบสุญูด
007_00	และชั้นฟ้านั้นพระองค์ทรงยกมันไว้สูง และทรงวางความสมดุลไว้
008_00	เพื่อพวกเจ้าจะได้ไม่ฝ่าฝืนในเรื่องการชั่งตวงวัด
009_00	และจงธำรงไว้ซึ่งการชั่งด้วยความเที่ยงธรรม และอย่าให้ขาดหรือหย่อนตาชั่ง
010_00	และแผ่นดินนั้น พระองค์ทรงจัดเตรียมมันไว้ เพื่อสรรพสิ่งที่สร้างขึ้น
011_00	ในแผ่นดินนั้นมีผลไม้ และต้นอินทผลัมที่มีผลซ้อนกันหลายชั้น
012_00	และเมล็ดที่มีเปลือกและรำ และมีกลิ่นหอม
013_00	ดังนั้น ด้วยบุญคุณอันใดเล่าของพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ
014_00	พระองค์ทรงสร้างมนุษย์จากดินเหนียวมีเสียงเช่นเครื่องปั้นดินเผา
015_00	และพระองค์ทรงสร้างญินจากเปลงไฟ
016_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
017_00	พระเจ้าแห่งทิศตะวันออกทั้งสองและพระเจ้าแห่งทิศตะวันตกทั้งสอง
018_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
019_00	พระองค์ทรงทำให้น่านน้ำทั้งสอง (ทะเลและแม่น้ำ) ไหลมาบรรจบกัน
020_00	ระหว่างมันทั้งสองมีที่กั้นกีดขวาง มันจะไม่ล้ำเขตต่อกัน
021_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
022_00	มีไข่มุกและหินปะการังออกมาจากมันทั้งสอง
023_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
024_00	และเป็นของพระองค์คือ เรือขนาดใหญ่ลอยเด่นอยู่ในทะเลคล้ายกับภูเขา (บนบก)
025_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
026_00	ทุก ๆ สิ่งที่อยู่บนแผ่นดินย่อมแตกดับ
027_00	และพระพักตร์ของพระเจ้าของเจ้าผู้ทรงยิ่งใหญ่ ผู้ทรงโปรดปรานเท่านั้นที่จะยังคงเหลืออยู่
028_00	ดังนั้น ด้วยบุญอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ?
029_00	ผู้ที่อยู่ในชั้นฟ้าทั้งหลาย และแผ่นดินจะขอพระองค์ทุก ๆ ขณะ พระองค์ทรงมีภาระกิจ
030_00	ดังนั้น ด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ
031_00	อีกไม่ช้าเราจะจักการกับพวกเจ้า (ในกิจการต่าง ๆ) โอ้มนุษย์และญินเอ๋ย!
032_00	ดังนั้นด้วยบุญคุณอันใดเล่าแห่งพระเจ้าของเจ้าทั้งสองที่เจ้าทั้งสองปฏิเสธ
