001_00	เมื่อเหตุการณ์ (วันกิยามะฮ.) ได้เกิดขึ้น
002_00	ไม่มีผู้ปฏิเสธคนใดปฏิเสธต่อเหตุการณ์ของมัน
003_00	ต่อเหตุการณ์นั้นทำให้ชนกลุ่มหนึ่งต่ำต้อย ชนอีกกลุ่มหนึ่งสูงส่ง
004_00	เมื่อแผ่นดินถูกสั่นสะเทือนอย่างรุนแรง
005_00	และบรรดาภูเขาได้แตกสลาย
006_00	และมันกลายเป็นผุยผงปลิวว่อน
007_00	และพวกเจ้าจะแยกออกเป็นสามกลุ่ม
008_00	คือกลุ่มทางขวา (ผู้ได้รับบันทึกด้วยมือขวา) เจ้ารู้ได้อย่างไรว่ากลุ่มทางขวาคือใคร?
009_00	และกลุ่มทางซ้าย (ผู้ได้รับบันทึกด้วยมือซ้าย) เจ้ารู้ได้อย่างไรว่ากลุ่มทางซ้ายคือใคร ?
010_00	และกลุ่มแนวหน้า คือกลุ่มแนวหน้า
011_00	เขาเหล่านั้น คือบรรดาผู้ใกล้ชิด
012_00	ในสวนสวรรค์หลากหลายแห่งความสุขสำราญ
013_00	เป็นกลุ่มชนจำนวนมาก จากชนรุ่นก่อน ๆ
014_00	และเป็นกลุ่มชนจำนวนน้อย จากชนรุ่นหลัง ๆ
015_00	โดยอยู่บนเตียงที่ประดับด้วยทองคำ
016_00	พวกเขานอนเอกเขนกอยู่บนนั้น โดยผินหน้าเข้าหากัน
017_00	มีเด็ก ๆ ที่มีอายุเช่นนั้น วนเวียนรับใช้พวกเขาตลอดไป
018_00	ถ้วยภาชนะใหญ่ และแก้วที่มีหู และจอกใส่สุราที่ไหลรินมา
019_00	พวกเขาจะไม่มึนศรีษะ และไม่หมดสติ เมื่อดื่มสุรานั้น
020_00	และผลไม้หลากชนิด ตามแต่พวกเขาจะเลือกกิน
021_00	และเนื้อนกที่พวกเขาอยากรับประทาน
022_00	และหญิงสาวที่มีนัยตาคมสวยงาม
023_00	ประหนึ่งไข่มุกที่ถูกพิทักษ์รักษาไว้อย่างดี
024_00	ทั้งนี้เป็นการตอบแทนเนื่องจากความดีที่พวกเขากระทำไว้
025_00	ในสวนสวรรค์นั้นพวกเขาจะไม่ได้ยินคำพูดที่ไร้สาระ และเป็นบาป
026_00	เว้นแต่คำกล่าวที่ว่า ศานติ ศานติ
027_00	และกลุ่มทางขวา (ผู้ได้รับบันทึกด้วยมือขวา) เจ้ารู้หรือไม่ว่ากลุ่มทางขวาเป็นอย่างไร?
028_00	(พวกเขา) อยู่ภายใต้ต้นพุทราที่ไร้หนาม
029_00	และต้นกล้วยที่ออกผลเป็นเครือตั้งแต่ยอดจรดโคนต้น (ไม่เห็นลำต้น)
030_00	และร่มเงาที่แผ่กระจาย
031_00	และน้ำที่ไหลรินตลอดเวลา
032_00	และผลไม้อันมากหลาย
033_00	โดยไม่หมดสิ้นตามฤดูและไม่เป็นที่ต้องห้าม
034_00	และเตียงนอนที่ถูกยกให้สูงขึ้น
035_00	แท้จริงเราได้บังเกิดพวกนาง เป็นกรณีพิเศษจริง ๆ
036_00	แล้วเราได้ทำให้พวกนางเป็นสาวพรหมจรรย์
037_00	เป็นที่น่ารักชื่มชมแก่คู่ครอง อยู่ในวัยสาวคราวเดียวกัน
038_00	สำหรับกลุ่มทางขวา (ผู้ได้รับบันทึกด้วยมือขวา)
039_00	(คือ)กลุ่มชนจากรุ่นก่อน ๆ
040_00	และกลุ่มชนจากรุ่นหลัง ๆ
041_00	และกลุ่มทางซ้าย (ผู้ได้รับบันทึกด้วยมือซ้าย) เจ้ารู้หรือไม่ว่ากลุ่มทางซ้ายเป็นอย่างไร?
042_00	อยู่ในลมร้อน และน้ำกำลังเดือด
043_00	อยู่ใต้ร่มเงาของควันที่ดำทึบ
044_00	ไม่ร่มเย็น และไม่เป็นที่น่าชื่มชม
045_00	แท้จริงพวกเขาแต่กาลก่อนนั้นเป็นพวกเจ้าสำราญ
046_00	และพวกเขาเคยดื้อรั้นในการทำบาปใหญ่ ๆ อยู่เป็นเนือง
