001_00	Ta, Sin, Mim.
002_00	Bunlar apaçık Kitap'ın ayetleridir.
003_00	İnanmıyorlar diye nerdeyse kendini mahvedeceksin.
004_00	Biz dilesek onlara gökten bir mucize indiririz de ona boyun eğip kalırlar.
005_00	Rahman'dan kendilerine gelen her yeni öğütten mutlaka yüz çevirirler.
006_00	Evet, yalanladılar; alay edip durdukları şeylerin haberleri kendilerine ulaşacaktır.
007_00	Yeryüzüne bakmazlar mı? Orada, bitkilerden nice güzel çiftler yetiştirmişizdir.
008_00	Şüphesiz bunlarda Allah'ın kudretine işaret vardır, ama çoğu inanmazlar.
009_00	Rabbin şüphesiz güçlüdür, merhametlidir.
010_00	Rabbin Musa'ya: "Haksızlık eden millete, Firavun'un milletine git" diye nida etmişti. "Haksızlıktan sakınmazlar mı?"
011_00	Rabbin Musa'ya: "Haksızlık eden millete, Firavun'un milletine git" diye nida etmişti. "Haksızlıktan sakınmazlar mı?"
012_00	Musa: "Rabbim! Doğrusu beni yalanlamalarından korkuyorum; göğsüm daralıyor, dilim açılmıyor. Onun için Harun'a da elçilik ver. Onların bana isnat ettikleri bir suç da vardır. Beni öldürmelerinden korkuyorum" demişti.
013_00	Musa: "Rabbim! Doğrusu beni yalanlamalarından korkuyorum; göğsüm daralıyor, dilim açılmıyor. Onun için Harun'a da elçilik ver. Onların bana isnat ettikleri bir suç da vardır. Beni öldürmelerinden korkuyorum" demişti.
014_00	Musa: "Rabbim! Doğrusu beni yalanlamalarından korkuyorum; göğsüm daralıyor, dilim açılmıyor. Onun için Harun'a da elçilik ver. Onların bana isnat ettikleri bir suç da vardır. Beni öldürmelerinden korkuyorum" demişti.
015_00	Allah: "Hayır; ikiniz mucizelerimizle gidiniz. Doğrusu Biz sizinle beraber dinlemekteyiz. Firavun'a varınız: "Biz şüphesiz alemlerin Rabbinin elçisiyiz; İsrailoğullarını bizimle beraber gönder, deyiniz" demişti.
016_00	Allah: "Hayır; ikiniz mucizelerimizle gidiniz. Doğrusu Biz sizinle beraber dinlemekteyiz. Firavun'a varınız: "Biz şüphesiz alemlerin Rabbinin elçisiyiz; İsrailoğullarını bizimle beraber gönder, deyiniz" demişti.
017_00	Allah: "Hayır; ikiniz mucizelerimizle gidiniz. Doğrusu Biz sizinle beraber dinlemekteyiz. Firavun'a varınız: "Biz şüphesiz alemlerin Rabbinin elçisiyiz; İsrailoğullarını bizimle beraber gönder, deyiniz" demişti.
018_00	Firavun Musa'ya: "Biz seni çocukken yanımıza alıp büyütmedik mi? Hayatının birçok yıllarını aramızda geçirmedin mi? Sonunda yapacağını da yaptın. Sen nankörün birisin" dedi.
019_00	Firavun Musa'ya: "Biz seni çocukken yanımıza alıp büyütmedik mi? Hayatının birçok yıllarını aramızda geçirmedin mi? Sonunda yapacağını da yaptın. Sen nankörün birisin" dedi.
020_00	Musa: "O işi kasden yaptımsa sapıklardan biri sayılırım. Bu yüzden sizden korkunca aranızdan kaçtım. Sonra, Rabbim bana hikmet verip, beni peygamber yaptı. Başıma kaktığın bu nimet, İsrailoğullarını kendine köle ettiğinden ötürüdür" dedi.
021_00	Musa: "O işi kasden yaptımsa sapıklardan biri sayılırım. Bu yüzden sizden korkunca aranızdan kaçtım. Sonra, Rabbim bana hikmet verip, beni peygamber yaptı. Başıma kaktığın bu nimet, İsrailoğullarını kendine köle ettiğinden ötürüdür" dedi.
022_00	Musa: "O işi kasden yaptımsa sapıklardan biri sayılırım. Bu yüzden sizden korkunca aranızdan kaçtım. Sonra, Rabbim bana hikmet verip, beni peygamber yaptı. Başıma kaktığın bu nimet, İsrailoğullarını kendine köle ettiğinden ötürüdür" dedi.
023_00	Firavun: "Alemlerin Rabbi de nedir?" dedi.
024_00	Musa: "Kesin olarak inanacaksanız, bilin ki O göklerin, yerin ve ikisinin arasında bulunanların Rabbidir" dedi.
025_00	Yanında bulunanlara: "İşitmiyor musunuz?" dedi.
026_00	"O sizin de Rabbiniz, önce geçmiş atalarınızın da Rabbidir" dedi.
027_00	Firavun, çevresindekilere: "Size gönderilen peygamberiniz şüphesiz delidir" dedi.
028_00	Musa: "Eğer akledebilen kimselerseniz bilin ki O, doğunun, batının ve ikisinin arasında bulunanların Rabbidir" dedi.
029_00	Firavun: "Benden başkasını tanrı edinirsen, and olsun ki seni zindanlık ederim" dedi.
030_00	Musa: "Sana apaçık bir şey getirmiş isem de mi?" dedi.
031_00	Firavun: "Doğru sözlülerden isen haydi getir" dedi.
032_00	Bunun üzerine Musa değneğini attı, besbelli bir yılan oluverdi.
033_00	Elini çıkardı, bakanlara bembeyaz göründü.
034_00	Firavun çevresinde bulunan ileri gelenlere: "Doğrusu bu bilgin bir sihirbaz; sizi sihirle yurdunuzdan çıkarmak istiyor; ne buyurursunuz?" dedi.
035_00	Firavun çevresinde bulunan ileri gelenlere: "Doğrusu bu bilgin bir sihirbaz; sizi sihirle yurdunuzdan çıkarmak istiyor; ne buyurursunuz?" dedi.
036_00	"Onu ve kardeşini alıkoy, şehirlere, sana bütün bilgin sihirbazları getirecek toplayıcılar gönder" dediler.
037_00	"Onu ve kardeşini alıkoy, şehirlere, sana bütün bilgin sihirbazları getirecek toplayıcılar gönder" dediler.
038_00	Sihirbazlar, belirli bir günün bildirilen vaktinde toplandılar.
039_00	İnsanlara: "Siz de toplanır mısınız?" denildi.
040_00	"Sihirbazlar üstün gelirlerse biz de onlara uyarız" dediler.
041_00	Sihirbazlar geldiklerinde, Firavun'a; "Biz üstün gelirsek, şüphesiz bize bir ücret vardır değil mi?" dediler.
042_00	Firavun: "Evet; o takdirde siz gözde kimselerden olacaksınız" dedi.
043_00	Musa onlara: "Ne atacaksanız atın" dedi.
044_00	Onlar da iplerini ve değneklerini attılar ve: "Firavun hakkı için, şüphesiz, biz üstün geleceğiz" dediler.
045_00	Bunun üzerine Musa değneğini attı; onların uydurduklarını yutmağa başlayıverdi.
046_00	Bunu gören sihirbazlar secdeye kapanarak: "Alemlerin Rabbine, Musa ve Harun'un Rabbine inandık" dediler.
047_00	Bunu gören sihirbazlar secdeye kapanarak: "Alemlerin Rabbine, Musa ve Harun'un Rabbine inandık" dediler.
048_00	Bunu gören sihirbazlar secdeye kapanarak: "Alemlerin Rabbine, Musa ve Harun'un Rabbine inandık" dediler.
049_00	Firavun: "Ben size izin vermeden ona iman mı ettiniz?
049_01	Muhakkak ki o, size sihri öğreten büyüğünüzdür. Şimdi bileceksiniz; ellerinizi ayaklarınızı, and olsun, çaprazlama kestireceğim, hepinizi astıracağım" dedi.
050_00	İman eden sihirbazlar: "Zararı yok, biz şüphesiz Rabbimize doneceğiz; inananların ilki olmamızdan ötürü, Rabbimizin kusurlarımızı bize bağışlayacağını umarız" dediler.
051_00	İman eden sihirbazlar: "Zararı yok, biz şüphesiz Rabbimize doneceğiz; inananların ilki olmamızdan ötürü, Rabbimizin kusurlarımızı bize bağışlayacağını umarız" dediler.
052_00	Biz Musa'ya: "Kullarımı geceleyin yola çıkar; şüphesiz takip edileceksiniz" diye vahyettik.
053_00	Bu arada Firavun şehirlere, "Doğrusu bunlar bizi öfkelendiren döküntü azınlıklardır; hepimiz tedbirli olmalıyız" diyen münadiler gönderdi.
054_00	Bu arada Firavun şehirlere, "Doğrusu bunlar bizi öfkelendiren döküntü azınlıklardır; hepimiz tedbirli olmalıyız" diyen münadiler gönderdi.
055_00	Bu arada Firavun şehirlere, "Doğrusu bunlar bizi öfkelendiren döküntü azınlıklardır; hepimiz tedbirli olmalıyız" diyen münadiler gönderdi.
056_00	Bu arada Firavun şehirlere, "Doğrusu bunlar bizi öfkelendiren döküntü azınlıklardır; hepimiz tedbirli olmalıyız" diyen münadiler gönderdi.
057_00	Ama biz Firavun ve adamlarını bahçelerden, pınar başlarından, hazinelerden ve şerefli makamlardan çıkardık. Böylece oralara İsrailoğullarını mirasçı kıldık.
058_00	Ama biz Firavun ve adamlarını bahçelerden, pınar başlarından, hazinelerden ve şerefli makamlardan çıkardık. Böylece oralara İsrailoğullarını mirasçı kıldık.
059_00	Ama biz Firavun ve adamlarını bahçelerden, pınar başlarından, hazinelerden ve şerefli makamlardan çıkardık. Böylece oralara İsrailoğullarını mirasçı kıldık.
060_00	Firavun ve adamları güneş üzerlerine doğarken onların ardına düştüler.
061_00	İki topluluk birbirini gördüğünde, Musa'nın adamları: "İşte yakalandık" dediler.
062_00	Musa: "Hayır; Rabbim benimle beraberdir, bana elbette yol gösterecektir" dedi.
063_00	Bunun üzerine Biz Musa'ya: "Değneğinle denize vur" diye vahyettik. Hemen deniz ikiye ayrıldı, her parçası yüce bir dağ gibiydi.
064_00	İşte oraya, geridekileri de yaklaştırdık.
065_00	Musa ve beraberinde bulunanların hepsini kurtardık.
066_00	Öbürlerini suda boğduk.
067_00	Bunda şüphesiz ders vardır, ama çoğu inanmamıştır.
068_00	Doğrusu Rabbin, güçlü olandır, merhamet edendir.
069_00	Onlara İbrahim'in kıssasını anlat.
070_00	İbrahim, babasına ve milletine: "Nelere tapıyorsunuz?" demişti.
071_00	"Putlara tapıyoruz, onlara bağlanıp duruyoruz" demişlerdi.
072_00	İbrahim: "Çağırdığınız zaman sizi duyarlar veya size bir fayda ve zarar verirler mi?" demişti.
073_00	İbrahim: "Çağırdığınız zaman sizi duyarlar veya size bir fayda ve zarar verirler mi?" demişti.
074_00	"Hayır ama, babalarımızı da bu şekilde ibadet ederken bulduk" demişlerdi.
075_00	İbrahim: "Eski atalarınızın ve sizin nelere taptıklarınızı görüyor musunuz? Doğrusu onlar benim düşmanımdır. Dostum ancak Alemlerin Rabbidir. Beni yaratan da, doğru yola eriştiren de O'dur. Beni yediren de, içiren de O'dur. Hasta olduğumda bana O şifa verir. Beni öldürecek, sonra da diriltecek O'dur. Ahiret gününde yanılmalarımı bana bağışlamasını umduğum O'dur. Rabbim! Bana hikmet ver ve beni iyiler arasına kat.
076_00	İbrahim: "Eski atalarınızın ve sizin nelere taptıklarınızı görüyor musunuz? Doğrusu onlar benim düşmanımdır. Dostum ancak Alemlerin Rabbidir. Beni yaratan da, doğru yola eriştiren de O'dur. Beni yediren de, içiren de O'dur. Hasta olduğumda bana O şifa verir. Beni öldürecek, sonra da diriltecek O'dur. Ahiret gününde yanılmalarımı bana bağışlamasını umduğum O'dur. Rabbim! Bana hikmet ver ve beni iyiler arasına kat.
077_00	İbrahim: "Eski atalarınızın ve sizin nelere taptıklarınızı görüyor musunuz? Doğrusu onlar benim düşmanımdır. Dostum ancak Alemlerin Rabbidir. Beni yaratan da, doğru yola eriştiren de O'dur. Beni yediren de, içiren de O'dur. Hasta olduğumda bana O şifa verir. Beni öldürecek, sonra da diriltecek O'dur. Ahiret gününde yanılmalarımı bana bağışlamasını umduğum O'dur. Rabbim! Bana hikmet ver ve beni iyiler arasına kat.
