001_00	Ha, Mim.
002_00	Bu Kitap'ın indirilmesi güçlü olan, Hakim olan Allah katındandır.
003_00	Biz, gökleri, yeri ve ikisinin arasında bulunanları, ancak gerçek üzere ve belirli bir süre için yarattık; inkar edenler, uyarıldıkları şeylerden yüz çevirmektedirler.
004_00	De ki: "Allah'ı bırakıp taptığınız şeyleri görüyor musunuz? Yeryüzünde ne yaratmışlar bana göstersenize!
004_01	Yoksa Allah'la ortaklıkları göklerde midir? Eğer doğru sözlü iseniz, size indirilmiş bir kitap veya intikal etmiş bir bilgi kalıntısı varsa bana getirin."
005_00	Allah'ı bırakıp da, kıyamet gününe kadar cevap veremeyecek şeylere yalvarandan daha sapık kimdir? Çünkü, yalvardıkları şeyler yalvarışlarından habersizdirler.
006_00	Ama, insanlar kıyamet günü toplatılınca, putları onlara düşman olurlar ve tapınmalarını inkar ederler.
007_00	Ayetlerimiz onlara açıkça okunduğu zaman inkar edenler, kendilerine gelen gerçek için: "Bu, apaçık bir büyüdür" derler.
008_00	Veya, "onu uydurdu" derler. De ki: "Eğer onu uydurdumsa, beni Allah'a karşı hiçbir şekilde savunamazsınız; O, Kuran için yaptığınız taşkınlıkları daha iyi bilir.
008_01	Benimle sizin aranızda şahit olarak O yeter. O, bağışlayandır, merhamet edendir."
009_00	De ki: "Ben peygamberlerin ilki değilim; benim ve sizin başınıza gelecekleri bilmem; ben ancak bana vahyolunana uymaktayım; ben sadece apaçık bir uyarıcıyım."
010_00	De ki: "Eğer bu Kitap Allah katından ise ve siz de onu inkar etmişseniz; İsrailoğullarından bir şahit de bunun böyle olduğuna şehadet edip de ina
010_01	nmışken, siz yine de büyüklük taslarsınız, bana söyleyin kendinize yazık etmiş olmaz mısınız?" Doğrusu Allah zalim milleti doğru yola eriştirmez.
011_00	İnkar edenler, inananlar için: "Eğer İslamiyet'te bir hayır olsaydı, bu hususta bizden öne geçemezlerdi" derler. Bununla doğru yola girmedikleri için de, "Bu, eski bir uydurmadır" derler.
012_00	Kuran'dan önce, Musa'nın kitabı (Tevrat), bir rahmet ve rehberdi. Bu Kuran da, zulmedenleri uyarmak ve iyi davrananlara müjde olmak üzere Arap diliyle indirilmiş, kendinden öncekileri doğrulayan bir Kitap'dır.
013_00	Doğrusu, "Rabbimiz Allah'tır" deyip, sonra da dosdoğru gidenlere korku yoktur, onlar üzülmeyeceklerdir.
014_00	İşte onlar, cennetliklerdir; işlediklerine karşılık olarak, içinde temelli kalacaklardır.
015_00	Biz insana, anne ve babasına karşı iyi davranmasını tavsiye etmişizdir; zira annesi, onu, karnında, zorluğa uğrayarak taşımış; onu güçlükle doğurmuştur.
015_01	Taşınması ve sütten kesilmesi otuz ay sürer.
015_02	Sonunda erginlik çağına erince ve kırk yaşına varınca: "Rabbim! Bana ve anne babama verdiğin nimete şükretmemi ve benim hoşnut olacağın yararlı bir işi yapmamı sağla; bana verdiğin gibi soyuma da salah ver; doğrusu Sana yöneldim, ben, kendini Sana verenlerdenim" demesi gerekir.
016_00	İşte, işlediklerini en güzel şekilde kabul ettiğimiz ve kötülüklerini geçtiğimiz bu kimseler, cennetlikler içindedirler. Bu, verilen doğru bir sözdür.
017_00	Annesine babasına: "Of ikinizden; benden önce nice nesiller gelip geçmişken beni tekrar diriltilmemle mi tehdit ediyorsunuz?" diyen kimseye, anne babası Allah'a sığınarak: "Sana yazıklar olsun! İnan; doğrusu Allah'ın sözü gerçektir" dedikleri halde: "Bu, Kuran öncekilerin masallarından başka bir şey değildir" diye cevap verenler işte onlar kendilerinden önce cinlerden ve insanlardan gelip geçmiş ümmetler içinde, Allah'ın azap vadinin aleyhlerinde gerçekleştiği kimselerdir.
017_01	Doğrusu onlar hüsranda olanlardır.
018_00	Annesine babasına: "Of ikinizden; benden önce nice nesiller gelip geçmişken beni tekrar diriltilmemle mi tehdit ediyorsunuz?" diyen kimseye, anne babası Allah'a sığınarak: "Sana yazıklar olsun! İnan; doğrusu Allah'ın sözü gerçektir" dedikleri halde: "Bu, Kuran öncekilerin masallarından başka bir şey değildir" diye cevap verenler işte onlar kendilerinden önce cinlerden ve insanlardan gelip geçmiş ümmetler içinde, Allah'ın azap vadinin aleyhlerinde gerçekleştiği kimselerdir. Doğrusu onlar hüsranda olanlardır.
019_00	İşlediklerinden ötürü herkesin bir derecesi vardır. Herkese işlediklerinin karşılığı ödenir. Kendilerine haksızlık yapılmaz.
