001_00	Göklerde olanlar da yerde olanlar da Allah'ı tesbih ederler. O güçlüdür, Hakim'dir.
002_00	Kitap ehlinden inkarcı olanları ilk sürgünde yurtlarından çıkaran O'dur. Oysa ey inananlar!
002_01	Çıkacaklarını sanmamıştınız, onlar da, kalelerinin kendilerini Allah'tan koruyacağını sanmışlardı. Ama Allah'ın azabı onlara beklemedikleri yerden geldi, kalblerine korku saldı;
002_02	evlerini kendi elleriyle ve inananların elleriyle yıkıyorlardı. Ey akıl sahipleri! Ders alın.
003_00	Allah onlara sürülmeyi yazmamış olsaydı, dünyada başka şekilde azap verecekti. Ahirette onlara ateş azabı vardır.
004_00	Bu, Allah'a ve Peygamberine karşı gelmelerinden ötürüdür. Kim Allah'a karşı gelirse bilsin ki Allah'ın cezalandırması şüphesiz çetindir.
005_00	İnkarcı kitap ehlinin yurtlarında hurma ağaçlarını kesmeniz veya onları kesmeyip gövdeleri üzerinde ayakta bırakmanız Allah'ın izniyledir. Allah yoldan çıkanları böylece rezilliğe uğratır.
006_00	Ey inananlar!
006_01	Onların mallarından, Allah'ın Peygamberine verdiği şeyler için siz ne at ve ne de deve sürdünüz; fakat Allah peygamberlerine, dilediği kimselere karşı üstünlük verir. Allah herşeye Kadir'dir.
007_00	Allah'ın, fethedilen memleketler halkının mallarından Peygamberine verdikleri; Allah, Peygamber, yakınlar, yetimler, yoksullar ve yolda kalmışlar
007_01	içindir; ta ki içinizdeki zenginler arasında elden ele dolaşan bir devlet olmasın. Peygamber size ne verirse onu alın, sizi neden menederse ondan geri durun;
007_02	Allah'tan sakının, doğrusu Allah'ın cezalandırması çetindir.
008_00	Allah'ın verdiği bu ganimet malları bilhassa; yurtlarından ve mallarından edilmiş olan, Allah'tan bir lütuf ve rıza dileyen, Allah'ın dinine ve Peygamberine yardım eden muhacir fakirlerindir.
008_01	İşte doğru olanlar bunlardır.
009_00	Daha önceden Medine'yi yurt edinmiş ve gönüllerine imanı yerleştirmiş olan kimseler, kendilerine hicret edip gelenleri severler; onlara verilenler karşısında içlerinde bir çekememezlik hissetmezler; kendileri zaruret içinde bulunsalar bile onları kendilerinden önde tutarlar.
009_01	Nefsinin tamahkarlığından korunabilmiş kimseler, işte onlar saadete erenlerdir.
010_00	Onlardan sonra gelenler: "Rabbimiz! Bizi ve bizden önce inanmış olan kardeşlerimizi bağışla; kalbimizde müminlere karşı kin bırakma; Rabbimiz!
010_01	Şüphesiz Sen şefkatlisin, merhametlisin" derler.
011_00	Münafıkların, kitap ehlinin inkarcılarından olan kardeşlerine: "Eğer siz yurdunuzdan çıkarılırsanız and olsun ki, biz de sizinle beraber çıkarız; sizin aleyhinizde kimseye asla uymayız; eğer savaşa tutuşursanız mutlaka size yardım ederiz" dediklerini görmedin mi?
011_01	Allah onların yalancı olduklarına şahidlik eder.
012_00	Onlar çıkarılmış olsalar, and olsun ki, onlarla beraber çıkmazlar; savaşa tutuşmuş olsalar, and olsun ki, onlara yardıma koşmazlar; onlara yardıma gitseler, mutlaka geri dönüp kaçarlar, sonra yardım da görmezler.
013_00	Ey inananlar! Onların yüreklerine korku salan, Allah'tan çok sizlersiniz; çünkü onlar, anlamayan kimselerdir.
014_00	Onlar sizinle toplu olarak, ancak surla çevrilmiş kasabalar içinde veya duvarlar arkasından savaşı kabul edebilirler.
014_01	Kendi aralarındaki çekişmeleri ise serttir; onları birlik sanırsın, oysa kalbleri birbirinden ayrıdır. Bu, akletmeyen bir topluluk olmalarındandır.
015_00	Onların durumu, kendilerinden az zaman önce geçmiş ve işlerinin karşılığını tatmış olanların durumu gibidir. Onlara can yakıcı azap vardır.
016_00	İkiyüzlülerin durumu insana: "İnkar et!" deyip, insan da inkar edince: "Doğrusu ben senden uzağım; Alemlerin Rabbi olan Allah'tan korkarım" diyen şeytanın durumu gibidir.
017_00	İkisinin sonucu da, içinde temelli kalacakları ateş olacaktır. Zalimlerin cezası budur.
018_00	Ey inananlar! Allah'tan sakının; herkes yarına ne hazırladığına baksın; Allah'tan sakının, çünkü Allah işlediklerinizden haberdardır.
019_00	Allah'ı unutup da, Allah'ın da kendilerini kendilerine unutturduğu kimseler gibi olmayın; onlar, yoldan çıkmış kimselerdir.
020_00	Cehennemliklerle cennetlikler bir değildir. Kurtuluşa ermiş kimseler cennetliklerdir.
021_00	Eğer Biz Kuran'ı bir dağa indirmiş olsaydık, sen, onun, Allah korkusuyla başeğerek parça parça olduğunu görürdün.
021_01	Bu misalleri, insanlar düşünsünler diye veriyoruz.
022_00	O, görüleni de görülmeyeni de bilen, kendisinden başka tanrı olmayan Allah'tır. O, acıyıcı olandır, acıyandır.
023_00	O, kendisinden başka tanrı olmayan, hükümran, çok kutsal; esenlik veren, güvenlik veren, görüp gözeten, güçlü, buyruğunu herşeye geçiren, ulu olan, Allah'tır.
023_01	Allah onların koştukları eşlerden (ortaklardan) münezzehtir.
024_00	O, vareden, güzel yaratan, yarattıklarına şekil veren, en güzel adlar kendisinin olan Allah'tır. Göklerde ve yerde olanlar O'nu tesbih ederler. O güçlüdür, Hakim'dir.
