001_00	Gök yarılıp Rabbine boyun eğdiği zaman, ki gök boyun eğecektir.
002_00	Gök yarılıp Rabbine boyun eğdiği zaman, ki gök boyun eğecektir.
003_00	Yer düzeltilip, içinde olanları dışarı atarak boşaldığı zaman ve yer Rabbine boyun eğdiği zaman, ki yer boyun eğecektir
004_00	Yer düzeltilip, içinde olanları dışarı atarak boşaldığı zaman ve yer Rabbine boyun eğdiği zaman, ki yer boyun eğecektir
005_00	Yer düzeltilip, içinde olanları dışarı atarak boşaldığı zaman ve yer Rabbine boyun eğdiği zaman, ki yer boyun eğecektir
006_00	Ey insanoğlu! Sen Rabbine kavuşuncaya kadar çalışıp çabalarsın, sonunda O'na kavuşacaksın.
007_00	Amel defteri kendisine sağından verilen kimse, kolay geçireceği bir hesaba çekilir ve arkadaşlarının yanına sevinçle döner.
008_00	Amel defteri kendisine sağından verilen kimse, kolay geçireceği bir hesaba çekilir ve arkadaşlarının yanına sevinçle döner.
009_00	Amel defteri kendisine sağından verilen kimse, kolay geçireceği bir hesaba çekilir ve arkadaşlarının yanına sevinçle döner.
010_00	Ama amel defteri kendisine arkasından verilen kimse: "Mahvoldum" diye bağırır ve çılgın alevli cehenneme girer.
011_00	Ama amel defteri kendisine arkasından verilen kimse: "Mahvoldum" diye bağırır ve çılgın alevli cehenneme girer.
012_00	Ama amel defteri kendisine arkasından verilen kimse: "Mahvoldum" diye bağırır ve çılgın alevli cehenneme girer.
013_00	Çünkü o, dünyada, adamlarının yanında iken zevk içindeydi.
014_00	Zira; o, bir daha dirilip dönmeyeceğini sanmıştı.
015_00	Bilin ki, Rabbi onu şüphesiz görmekteydi.
016_00	Akşamın alaca karanlığına and olsun;
017_00	Geceye ve gecenin içinde olan şeylere and olsun;
018_00	Dolunay halindeki aya and olsun ki:
019_00	Şüphesiz siz bir durumdan diğerine uğratılacaksınız. (tabakadan tabakaya bineceksiniz)
020_00	Onlara ne oluyor da inanmıyorlar?
021_00	Onlara Kuran okunduğu zaman neden secde etmiyorlar?
022_00	Aksine, inkarcılar yalanlıyorlar.
023_00	Oysa, Allah, onların sakladıklarını çok iyi bilir.
024_00	Onlara can yakıcı azabı müjde et.
025_00	Yalnız, inanıp yararlı işler işleyenlere, onlara, kesintisiz ecir vardır.
