001_00	بےشک ایمان والے رستگار ہوگئے
002_00	جو نماز میں عجزو نیاز کرتے ہیں
003_00	اور جو بیہودہ باتوں سے منہ موڑے رہتے ہیں
004_00	اور جو زکوٰة ادا کرتے ہیں
005_00	اور جو اپنی شرمگاہوں کی حفاظت کرتے ہیں
006_00	مگر اپنی بیویوں سے یا (کنیزوں سے) جو ان کی مِلک ہوتی ہیں کہ (ان سے) مباشرت کرنے سے انہیں ملامت نہیں
007_00	اور جو ان کے سوا اوروں کے طالب ہوں وہ (خدا کی مقرر کی ہوئی حد سے) نکل جانے والے ہیں
008_00	اور جو امانتوں اور اقراروں کو ملحوظ رکھتے ہیں
009_00	اور جو نمازوں کی پابندی کرتے ہیں
010_00	یہ ہی لوگ میراث حاصل کرنے والے ہیں
011_00	(یعنی) جو بہشت کی میراث حاصل کریں گے۔ اور اس میں ہمیشہ رہیں گے
012_00	اور ہم نے انسان کو مٹی کے خلاصے سے پیدا کیا ہے
013_00	پھر اس کو ایک مضبوط (اور محفوظ) جگہ میں نطفہ بنا کر رکھا
014_00	پھر نطفے کا لوتھڑا بنایا۔ پھر لوتھڑے کی بوٹی بنائی پھر بوٹی کی ہڈیاں بنائیں پھر ہڈیوں پر گوشت
014_01	(پوست) چڑھایا۔ پھر اس کو نئی صورت میں بنا دیا۔ تو خدا جو سب سے بہتر بنانے والا بڑا بابرکت ہے
015_00	پھر اس کے بعد تم مرجاتے ہو
016_00	پھر قیامت کے روز اُٹھا کھڑے کئے جاؤ گے
017_00	اور ہم نے تمہارے اوپر (کی جانب) سات آسمان پیدا کئے۔ اور ہم خلقت سے غافل نہیں ہیں
018_00	اور ہم ہی نے آسمان سے ایک اندازے کے ساتھ پانی نازل کیا۔ پھر اس کو زمین میں ٹھہرا دیا اور ہم اس کے نابود کردینے پر بھی قادر ہیں
019_00	پھر ہم نے اس سے تمہارے لئے کھجوروں اور انگوروں کے باغ بنائے، ان میں تمہارے لئے بہت سے میوے پیدا ہوتے ہیں۔ اور ان میں سے تم کھاتے بھی ہو
020_00	اور وہ درخت بھی (ہم ہی نے پیدا کیا) جو طور سینا میں پیدا ہوتا ہے (یعنی زیتون کا درخت کہ) کھانے کے لئے روغن اور سالن لئے ہوئے اُگتا ہے
021_00	اور تمہارے لئے چارپایوں میں بھی عبرت (اور نشانی) ہے کہ ان کے پیٹوں میں ہے اس سے ہم تمہیں (دودھ) پلاتے ہیں اور تمہارے لئے ان میں اور بھی بہت سے فائدے ہیں اور بعض کو تم کھاتے بھی ہو
022_00	اور ان پر اور کشتیوں پر تم سوار ہوتے ہو
023_00	اور ہم نے نوح کو ان کی قوم کی طرف بھیجا تو انہوں نے ان سے کہا کہ اے قوم! خدا ہی کی عبادت کرو اس کے سوا تمہارا کوئی معبود نہیں، کیا تم ڈرتے نہیں
024_00	تو ان کی قوم کے سردار جو کافر تھے کہنے لگے کہ یہ تو تم ہی جیسا آدمی ہے۔ تم پر بڑائی حاصل کرنی چاہتا
