001_00	قٓ۔ قرآن مجید کی قسم (کہ محمد پیغمبر خدا ہیں)
002_00	لیکن ان لوگوں نے تعجب کیا کہ انہی میں سے ایک ہدایت کرنے والا ان کے پاس آیا تو کافر کہنے لگے کہ یہ بات تو (بڑی) عجیب ہے
003_00	بھلا جب ہم مر گئے اور مٹی ہوگئے (تو پھر زندہ ہوں گے؟) یہ زندہ ہونا (عقل سے) بعید ہے
004_00	ان کے جسموں کو زمین جتنا (کھا کھا کر) کم کرتی جاتی ہے ہمیں معلوم ہے۔ اور ہمارے پاس تحریری یادداشت بھی ہے
005_00	بلکہ (عجیب بات یہ ہے کہ) جب ان کے پاس (دین) حق آ پہنچا تو انہوں نے اس کو جھوٹ سمجھا سو یہ ایک الجھی ہوئی بات میں (پڑ رہے) ہیں
006_00	کیا انہوں نے اپنے اوپر آسمان کی طرف نگاہ نہیں کی کہ ہم نے اس کو کیونکر بنایا اور (کیونکر) سجایا اور اس میں کہیں شگاف تک نہیں
007_00	اور زمین کو (دیکھو اسے) ہم نے پھیلایا اور اس میں پہاڑ رکھ دیئے اور اس میں ہر طرح کی خوشنما چیزیں اُگائیں
008_00	تاکہ رجوع لانے والے بندے ہدایت اور نصیحت حاصل کریں
009_00	اور آسمان سے برکت والا پانی اُتارا اور اس سے باغ وبستان اُگائے اور کھیتی کا اناج
010_00	اور لمبی لمبی کھجوریں جن کا گابھا تہہ بہ تہہ ہوتا ہے
011_00	(یہ سب کچھ) بندوں کو روزی دینے کے لئے (کیا ہے) اور اس (پانی) سے ہم نے شہر مردہ (یعنی زمین افتادہ) کو زندہ کیا۔ (بس) اسی طرح (قیامت کے روز) نکل پڑنا ہے
012_00	ان سے پہلے نوح کی قوم اور کنوئیں والے اور ثمود جھٹلا چکے ہیں
013_00	اور عاد اور فرعون اور لوط کے بھائی
014_00	اور بن کے رہنے والے اور تُبّع کی قوم۔ (غرض) ان سب نے پیغمبروں کو جھٹلایا تو ہمارا وعید (عذاب) بھی پورا ہو کر رہا
015_00	کیا ہم پہلی بار پیدا کرکے تھک گئے ہیں؟ (نہیں) بلکہ یہ ازسرنو پیدا کرنے میں شک میں (پڑے ہوئے) ہیں
016_00	اور ہم ہی نے انسان کو پیدا کیا ہے اور جو خیالات اس کے دل میں گزرتے ہیں ہم ان کو جانتے ہیں۔ اور ہم اس کی رگ جان سے بھی اس سے زیادہ قریب ہیں
017_00	جب (وہ کوئی کام کرتا ہے تو) دو لکھنے والے جو دائیں بائیں بیٹھے ہیں، لکھ لیتے ہیں
018_00	کوئی بات اس کی زبان پر نہیں آتی مگر ایک نگہبان اس کے پاس تیار رہتا ہے
019_00	اور موت کی بےہوشی حقیقت کھولنے کو طاری ہوگئی۔ (اے انسان) یہی (وہ حالت) ہے جس سے تو بھاگتا تھا
020_00	اور صور پھونکا جائے گا۔ یہی (عذاب کے) وعید کا دن ہے
021_00	اور ہر شخص (ہمارے سامنے) آئے گا۔ ایک (فرشتہ) اس کے ساتھ چلانے والا ہوگا اور ایک (اس کے عملوں کی) گواہی دینے والا
022_00	(یہ وہ دن ہے کہ) اس سے تو غافل ہو رہا تھا۔ اب ہم نے تجھ پر سے پردہ اُٹھا دیا۔ تو آج تیری نگاہ تیز ہے
023_00	اور اس کا ہم نشین (فرشتہ) کہے گا کہ یہ (اعمال نامہ) میرے پاس حاضر ہے
024_00	(حکم ہوگا کہ) ہر سرکش ناشکرے کو دوزخ میں ڈال دو
025_00	جو مال میں بخل کرنے والا حد سے بڑھنے والا شبہے نکالنے والا تھا
026_00	جس نے خدا کے ساتھ اور معبود مقرر کر رکھے تھے۔ تو اس کو سخت عذاب میں ڈال دو
027_00	اس کا ساتھی (شیطان) کہے گا کہ اے ہمارے پروردگار میں نے اس کو گمراہ نہیں کیا تھا بلکہ یہ آپ ہی رستے سے دور بھٹکا ہوا تھا
028_00	(خدا) فرمائے گا کہ ہمارے حضور میں ردوکد نہ کرو۔ ہم تمہارے پاس پہلے ہی (عذاب کی) وعید بھیج چکے تھے
029_00	ہمارے ہاں بات بدلا نہیں کرتی اور ہم بندوں پر ظلم نہیں کیا کرتے
030_00	اس دن ہم دوزخ سے پوچھیں گے کہ کیا تو بھر گئی؟ وہ کہے گی کہ کچھ اور بھی ہے؟
031_00	اور بہشت پرہیزگاروں کے قریب کردی جائے گی (کہ مطلق) دور نہ ہوگی
032_00	یہی وہ چیز ہے جس کا تم سے وعدہ کیا جاتا تھا (یعنی) ہر رجوع لانے والے حفاظت کرنے والے سے
033_00	جو خدا سے بن دیکھے ڈرتا ہے اور رجوع لانے والا دل لے کر آیا
034_00	اس میں سلامتی کے ساتھ داخل ہوجاؤ۔ یہ ہمیشہ رہنے کا دن ہے
035_00	وہاں وہ جو چاہیں گے ان کے لئے حاضر ہے اور ہمارے ہاں اور بھی (بہت کچھ) ہے
036_00	اور ہم نے ان سے پہلے کئی اُمتیں ہلاک کر ڈالیں۔ وہ ان سے قوت میں کہیں بڑھ کر تھے وہ شہروں میں گشت کرنے لگے۔ کیا کہیں بھاگنے کی جگہ ہے؟
037_00	جو شخص دل (آگاہ) رکھتا ہے یا دل سے متوجہ ہو کر سنتا ہے اس کے لئے اس میں نصیحت ہے
038_00	اور ہم نے آسمانوں اور زمین کو اور جو (مخلوقات) ان میں ہے سب کو چھ دن میں بنا دیا۔ اور ہم کو ذرا تکان نہیں ہوئی
039_00	تو جو کچھ یہ (کفار) بکتے ہیں اس پر صبر کرو اور آفتاب کے طلوع ہونے سے پہلے اور اس کے غروب ہونے سے پہلے اپنے پروردگار کی تعریف کے ساتھ تسبیح کرتے رہو
040_00	اور رات کے بعض اوقات میں بھی اور نماز کے بعد بھی اس (کے نام) کی تنزیہ کیا کرو
041_00	اور سنو جس دن پکارنے والا نزدیک کی جگہ سے پکارے گا
042_00	جس دن لوگ چیخ یقیناً سن لیں گے۔ وہی نکل پڑنے کا دن ہے
043_00	ہم ہی تو زندہ کرتے ہیں اور ہم ہی مارتے ہیں اور ہمارے ہی پاس لوٹ کر آنا ہے
044_00	اس دن زمین ان پر سے پھٹ جائے گی اور وہ جھٹ پٹ نکل کھڑے ہوں گے۔ یہ جمع کرنا ہمیں آسان ہے
045_00	یہ لوگ جو کچھ کہتے ہیں ہمیں خوب معلوم ہے اور تم ان پر زبردستی کرنے والے نہیں ہو۔ پس جو ہمارے (عذاب کی) وعید سے ڈرے اس کو قرآن سے نصیحت کرتے رہو
