001_00	Ҳа-а. Мийм.
002_00	(Бу) Роҳман ва Раҳийм томонидан нозил қилинган.
003_00	Биладиган қавмлар учун оятлари муфассал баён қилинган китобдир.
004_00	Хушхабар бергувчи ва огоҳлантиргувчи бўлган ҳолидадир. Бас, кўплари ундан юз ўгирдилар. Энди улар эшитмаслар.
005_00	Улар: «Қалбларимиз сен даъват қилаётган нарсадан ғилофлардадир, қулоқларимизда оғирлик бор, сен билан бизнинг орамизда эса, парда бор. Бас, сен амалингни қилавер, биз ҳам, албатта, ўз амалимизни қилгувчилармиз», дедилар. (Бу оятда мушрикларнинг Қуръони Карим ва Ислом даъватига муносабатлари ажойиб бир услуб билан баён қилинмоқда.)
006_00	Сен: «Мен ҳам сизга ўхшар башарман, холос. Менга, албатта, илоҳингиз ягона илоҳдир, дея ваҳий қилинур. Бас, Унинг Ўзигагина тўғри юзланинг ва Унга истиғфор айтинг. Мушриклар ҳолига вой бўлсин.
007_00	Улар закотни адо этмаслар ва улар ўзлари охиратда куфр келтиргувчилардир.
008_00	Албатта, иймон келтириб, солиҳ амалларни қилганларга битмас-туганмас ажрлар бор», деб айт.
009_00	Сен: «Сизлар ҳақиқатан ҳам ерни икки кунда яратган зотга куфр келтиряпсизми ва Унга тенгдошлар қўшяпсизми?! Ахир У зот оламларнинг Робби-ку!
010_00	У зот ўша(ер)нинг устида тоғларни қилди, уни баракотли қилди ва унинг (аҳли) ризқини тўрт кунда ўлчовли этиб тақдир қилди. Бу сўровчилар учундир», деб айт. (Ернинг ризқи, яъни ер, аҳлининг ризқи ўлчовли, белгили қилиб қўйилган. Ҳаммаси ўлчовли, ҳаммаси тақдир қилинган.)
011_00	Сўнгра тутун ҳолидаги осмонга юзланиб, унга ва ерга: «Икковингиз ихтиёр қилган ҳолингизда ёки мажбур бўлган ҳолингизда келинг!» деди. Икковлари: «Ихтиёр қилган ҳолимизда келдик», дедилар. ( Ўша вақтда осмон тутун-газ ҳолида эди. (Дунёнинг яратилиши юзасидан илмий изланиш олиб борган олимлар ҳам шу натижани такрорламоқдалар). Шунчалар улкан, мустаҳкам, кучли бўлишларига қарамай, Аллоҳнинг иродаси кетиши билан итоаткорликларини дарҳол изҳор этдилар.)
012_00	Бас, икки кунда етти осмонни барпо этди ва ҳар бир осмонга ишини ваҳий қилди. Биз, у яқин осмонни чироқлар-ла зийнатладик ва қўридик. Бу азизу ўта илмли зотнинг ўлчовидир. (Шундай қилиб, осмонлару ер олти кунда барпо қилинди. У кунлар қандай кунлар эканини Аллоҳнинг Ўзигина билади. Уламоларимиз, агар Аллоҳ таоло хоҳласа, буларни кўз очиб юмгунча яратар эди, лекин бандаларига пухталикни ўргатиш учун шошилгани йўқ, дейдилар.
