001_00	Ал-Ҳааққаҳ.
002_00	Ал-Ҳааққаҳ нима ўзи?!
003_00	Ал-Ҳааққаҳ нималигини сенга нима билдирди?!
004_00	Самуд ва Од қориъани ёлғонга чиқаришди. («Қориъа» ҳам қиёматнинг номларидан бири, шиддат билан эшик қоқиб келувчи маъносини англатади.)
005_00	Бас, аммо Самуд ҳаддан ошувчи билан ҳалок қилинди. («Ҳаддан ошувчи»дан мурод қаттиқ чақмоқдир.)
006_00	Ва аммо Од қаттиқ (совуқ) шамол билан ҳалок қилиндилар.
007_00	У зот уларнинг устидан бу шамолни етти кечаю саккиз кундуз бетўхтов эстириб қўйди. Бас, қавмни у ерда ҳалок бўлиб, ағдарилиб ётганини кўрасан. Улар худди хурмонинг чириган томирларига ўхшарлар.
008_00	Бас, сен улардан бирортасини боқий қолганини кўрасанми?
009_00	Фиръавн, ундан аввалгилар ва тўнтарилганлар хато қилдилар.
010_00	Бас, улар Роббиларининг Расулига осий бўлдилар. Дарҳақиқат, У зот уларни қаттиқ тутишлик билан тутди.
011_00	Албатта, Биз сув туғёнга келган пайтда сизларни кемада кўтарганмиз.
012_00	Уни сизларга эслатма қилиш учун ва англовчи қулоқлар англаб олиши учун. (Бўлиб ўтган қисса ва ҳодисалар ҳамма учун ўрнак, эслатма, ваъз-насиҳат бўлиши керак.)
013_00	Қачонки дудга биргина пуфлашла пуфланса...
014_00	Ва еру тоғлар кўтарилиб, бир мартагина силкитилса...
015_00	Бас, ўша кунда, воқеа воқеъ бўлибдир.
016_00	Ва осмон парчаланса, бас, ўша кунда, у (осмон) беҳолдир.
017_00	Ва фаришталар унинг атрофида ва ўша кунда Роббингнинг Аршини саккизтаси кўтариб турадир. (Аллоҳнинг аршини саккизта ёки саккиз турли фаришталар кўтариб турадилар. Арш ўзида иззат, султон ва моликлик маъноларини англатади. Башарият Аршнинг исмини билади, унинг ҳақиқатини Аллоҳнинг Ўзи билади.)
018_00	Бас, ўша кунда кўрикдан ўтасизлар, бирорта нарсангиз махфий қолмайдир.
019_00	Бас, кимнинг китоби ўнг тарафдан берилса, у, мана, менинг китобимни ўқиб кўринглар...
020_00	Албатта, мен ҳисоб-китобимга йўлиқишимга ишонардим, дейдир.
021_00	Бас, у розилик ҳаётидадир.
022_00	Олий жаннатдадир.
023_00	Унинг мевалари яқиндир.
024_00	Ўтган кунларда қилган нарсаларингиз туфайли енглар ва ичинглар, ош бўлсин.
025_00	Ва аммо кимнинг китоби чап тарафдан берилса, у, вой шўрим, кошки менга китобим берилмаса эди.
026_00	Ва ҳисоб-китоб қандоқлигини билмасам эди.
027_00	Қани (бу дунёдаги ўлим) охиргиси бўлса эди.
028_00	Молу мулким мени сақлаб қола олмади.
029_00	Менинг султоним ҳам ҳалок бўлди, дейдир. (Мулку султоним, мансабу обрўйим, насабу хасабим ҳамма ҳаммаси ҳалок бўлди.)
030_00	Тутинглар уни ва кишанланглар уни!!!
031_00	Сўнгра жаҳаннамга солинглар уни!!!
032_00	Сўнгра етмиш қулочли занжирга киритинг уни!!!
033_00	Чунки у улуғ Аллоҳга иймон келтирмаган эди.
034_00	Ва мискинларга таом беришга қизиқтирмаган эди. (Мискинларга таом беришга қизиқтирмаслик шунчаликка олиб келса, имкони бўлса туриб уларга таом бермаслик қанчалик гуноҳ экан–буни китобхоннинг ўзи фаҳмлайверсин.)
035_00	Бас, бугунги кунда унга бу ерда бирон чин дўст йўқ.
036_00	Ва ғислийндан ўзга таом ҳам йўқ.
037_00	У(таом)ни хатокорлардан бошқа ҳеч ким емас.
038_00	Сизлар кўриб турган нарсалар билан қасам ичурман.
039_00	Ва сизлар кўрмайдиган нарсалар билан ҳам.
040_00	Албатта у(Қуръон) карамли Расулнинг сўзидир. (Қуръони Каримни Пайғамбаримиз саллоллоҳу алайҳи васалламга нисбат берилиши У зот (с. а. в) у каломни тиловат қилувчи ва кишиларга етказувчи эканлигидандир.)
041_00	Ва у шоирнинг сўзи эмас. Сизлар жуда оз ишонасизлар.
042_00	Ва фолбиннинг ҳам сўзи эмас. Сизлар жуда оз эсларсизлар.
043_00	Оламлар Роббисидан туширилгандир.
044_00	Ва агар у Бизнинг (номимиздан) баъзи ёлғон сўзларни тўқиса.
045_00	Албатта, Биз уни қудрат билан тутармиз.
046_00	Сўнгра, албатта, унинг шоҳ томирини кесармиз.
047_00	Бас, сизлардан ҳеч ким уни тўсиб қола олмас.
048_00	Ва, албатта, у(Қуръон) тақводорлар учун эслатмадир.
049_00	Ва, албата, Биз сизларнинг ичингизда ёлғонга чиқарувчилар борлигини билиб турамиз.
050_00	Ва албатта у кофирлар учун ҳасратдир.
051_00	Ва албатта у шубҳасиз ҳақиқатдир.
052_00	Бас, улуғ Роббингнинг исмини поклаб ёд эт.
