001_00	Эй ўраниб ётувчи!
002_00	Кечани озгинасидан бошқасини (ибодатда) тик туриб ўтказ!
003_00	Ярмини ёки ундан бир оз қисқароғини.
004_00	Ёки у(ярим)га яна қўш ва Қуръонни тартил билан тиловат қил. (Қуръонни тартил билан ўқиш деб уни дона-дона қилиб, ҳар бир ҳарфини ўз ўрнидан чиқариб, оятларини алоҳида-алоҳида қилиб, тажвид қоидалари асосида ўқишга айтилади.)
005_00	Албатта, Биз устингга оғир сўзни ташлармиз.
006_00	Албатта, кечасиги ибодат кўпроқ мувофиқ келадир ва қироати тўғрироқ бўладир.
007_00	Албатта, кундузи сенинг узоқ ишлашинг бор.
008_00	Ва Роббингнинг исмини зикр эт ва Унинг ибодатига бутунлай ажралиб чиқ.
009_00	У машриқу мағрибнинг Роббисидир. Ундан ўзга ибодатга сазовор илоҳ йўқ. Бас, Уни ўзингга вакил тут.
010_00	Ва уларнинг гапларига сабр қил ва улардан чиройли четлашла, четлаб тур.
011_00	Аҳли неъмат бўлган, ёлғонга чиқарувчиларни Ўзимга қўйиб қўй ва уларга озгина муҳлат бер.
012_00	Албатта, Бизда оғир кишанлар ва жаҳаннам бор.
013_00	Ва (томоққа) тиқиладиган таом ва аламли азоб бор.
014_00	Бир кундаки, унда еру тоғлар ларзага келадир ва тоғлар оқувчи қумтепаларга айланадир.
015_00	Албатта, Биз сизларга, худди Фиръавнга Расул юборганимиздек, сиз ҳақингизда гувоҳлик берувчи Расулни юбордик.
016_00	Бас, Фиръавн Расулга осий бўлди ва Биз уни шиддатли азоб билан тутдик.
017_00	Агар кофир бўлсангиз, болаларнинг сочини оқартиб юборадиган кундан қандай сақланасиз?! («болаларнинг сочини оқартиб юборадиган кун»–қиёмат куни экани ҳаммага маълум.)
018_00	Унда осмон парчаланувчидир, У зотнинг ваъдаси амалга ошадир.
019_00	Албатта, булар эслатмадир, Ким хоҳласа, ўз Робиси томон йўл оладир.
020_00	Албатта, Роббинг сени кечанинг учдан биридан озроғини, ё ярмини, ё учдан бирини қоим бўлиб ўтказаётганингни ва сен билан бирга бўлганлардан ҳам бир тоифа (шундоқ қилаётганларини) биладир. Ва Аллоҳ кечаю кундузни Ўзи ўлчайдир.
020_01	У сизлар ҳеч чидай олмаслигингизни билиб, сизларга (енгилликни) қайтарди. Бас (энди), Қуръондан муяссар бўлганича ўқинглар.
020_02	Сизлардан келажакда касаллар бўлишини ҳам билди. Бошқалар ер юзида юриб, Аллоҳнинг фазлини ахтаришини, яна бошқалар эса, Аллоҳнинг йўлида жиҳод қилишларини (ҳам билди).
020_03	Бас, ундан муяссар бўлганича қироат қилинглар. Ва намозни қоим қилинглар, закот беринглар ва Аллоҳга яхши қарз беринглар.
020_04	Ўзингиз учун нима яхшилик қилган бўлсангиз, Аллоҳнинг ҳузурида ундан яхшироғини ва улканроқ ажрни топарсизлар. Аллоҳга истиғфор айтинглар. Албатта, Аллоҳ мағфират қилувчи ва раҳмдилдир. (Бу оят билан Аллоҳ таоло суранинг аввалидаги оятларга биноан фарз қилинган кечаси қоим бўлишни бекор қилди. Шундан сўнг кечада фарз намозлардан ташқари ибодат қилиш ихтиёрийга аланади. Ислом таълимотлари ҳар бир нарсада юксак инсоний фазилатлар ҳукм суришини йўлга қўйиб келган ва иншааллоҳ шундай бўлиб қолади.)
