001_00	Қиёмат куни билан қасам.
002_00	Ва маломатчи нафс билан қасам.
003_00	(Кофир) Инсон Бизни, унинг суякларини жамлай олмас, деб ўйларми?
004_00	Ҳа, Биз унинг бармоқ учларини ҳам асл ҳолига келтиришга қодирмиз.
005_00	Балки инсон келажакда фисқу фужур қилишни хоҳлайдир.
006_00	У: «Қиёмат куни қачон?» деб сўрайдир.
007_00	Қачонки кўз даҳшатда лол қолса.
008_00	Ва ой тутилса.
009_00	Ва қуёш билан ой жамланса.
010_00	Ўшал кунда инсон, қочар жой қайда? деб қолар.
011_00	Йўқ! Қочадиган жой йўқ!
012_00	У кунда истиқрор фақат Роббинг ҳузурида бўлар.
013_00	У кунда инсонга аввалу охир қилганининг хабари берилар.
014_00	Ҳа, инсон ўз нафсига қарши ўзи шоҳиддир.
015_00	Гарчи узр-маъзурларини тўкиб соладир.
016_00	Сен шошилиб, у(Қуръон) билан, тилингни қимирлатма.
017_00	Албатта, уни жамлаш ва ўқиб бериш Бизнинг зиммамиздадир.
018_00	Бас, Биз уни ўқисак, қироатига зеҳн солиб тур.
019_00	Сўнгра уни баён қилиб бериш ҳам Бизнинг зиммамиздадир.
020_00	Йўқ! Балки сизлар шошар дунёни яхши кўрасизлар.
021_00	Ва охиратни тарк этасизлар.
022_00	У кунда бор чиройли юзлар.
023_00	Роббисига назар солувчилар.
024_00	Ва у кунда бор тиришиб-буришган юзлар.
025_00	Ўзига умуртқасин синдирар иш бўлишига ишонар.
026_00	Йўқ! жон ҳалқумга келганда.
027_00	Ва, қутқарувчи ким? деганда.
028_00	Ва, албатта, у фироқлигин билганда.
029_00	Ва болдирлар бир-бирига алмашганда.
030_00	У кунда ҳайдаб борар жой фақат Роббинггадир. (Яъни, жони ҳалқумига келиб қолганда, уни ҳаётда олиб қолиш учун барча чора кўрилади, Ким қутқараркин, деб илтижо қилинади. Лекин иложи бўлмай фироқ вақти келганига ишонч ҳосил бўлади. Жон чиққанда эса оёқлар жонсиз бўлиб бир-бирига чалмашади.)
031_00	Бас, у тасдиқламади ва намоз ўқимади.
032_00	Ва лекин ёлғонга чиқарди ва юз ўгирди.
033_00	Сўнг ўз аҳлига керилиб борди.
034_00	Ҳолингга вой бўлсин сенинг, вой бўлсин!
035_00	Яна ҳолингга вой бўлсин сенинг, вой бўлсин!
036_00	Инсон беҳуда тарк қилинишнинг ҳисобини қилурми?
037_00	У манийдан оққан нутфа бўлмаганмиди?
038_00	Сўнг алақа бўлди. Бас бекаму-кўст этиб яратди.
039_00	Бас ундан жуфтни–эркак ва аёлни яратди.
040_00	Шундай зот ўликларни тирилтиришга қодир эмасми?!
