001_00	Ҳақиқатда инсонга, у эсга олинадиган нарса бўлмаган бир замон келмадими?
002_00	Албатта, Биз инсонни аралаш нутфадан яратдик. Синаш учун, бас, уни эшитадиган, кўрадиган қилдик.
003_00	Албатта, Биз унга йўл кўрсатдик. (У эса) ёки шукр қилувчи, ёки куфр қилувчи бўлди.
004_00	Албатта, Биз кофирлар учун занжирлар, кишанлар ва ёниб турган оловни тайёрлаб қўйдик.
005_00	Албатта, яхшилар каафур аралаштирилган қадаҳдан ичарлар. (Каафур–ичимликни хушбў ва хуштаъм қилувчи модда бўлиб араблар у аралашган шаробни энг яхши шароб ҳисоблашади.)
006_00	Бир булоқданики, ундан Аллоҳнинг бандалари отилтириб ичарлар.
007_00	Улар назрга вафо қиларлар ва ёмонлиги кенг тарқаладиган кундан қўрқарлар.
008_00	Ўзлари таомни яхши кўриб турсалар ҳам, уни мискин, етим ва асирга берарлар. (Аброрларнинг хислати нима экан! Улар ҳаттоки ўзларига таом керак бўлиб, ҳожатлари тушиб турса ҳам, мискин, етим, асирларни ўзларидан устун қўйиб, таомни уларга берадилар.)
009_00	«Албатта, Биз сизларни фақат Аллоҳнинг розилиги учун овқатлантирамиз. Бунинг эвазига сизлардан мукофот ёки ташуккур хоҳласмиз.
010_00	Албатта, биз қўрқинчли, шиддатли, узун кунда ўз Роббимиздан қўрқамиз», (дерлар).
011_00	Бас, уларни Роббилари ўшал кун шарридан сақлади ва уларга хушрўйлик ҳамда хурсандчилик ато қилди.
012_00	Ва сабр қилганликлари учун уларни боғу роғ ва ипаклар билан мукофотлади.
013_00	У ерда сўриларда суянган ҳолдалар. У ерда қуёшни ҳам, совуқни ҳам кўрмаслар.
014_00	Ва устиларига у(жаннат)нинг соялари яқиндир ҳамда унинг мевалари жуда ҳам осон қилингандир.
015_00	Ва уларга кумуш идишлар ва биллурлардан бўлган қадаҳлар айлантириб турилар.
016_00	Биллурлар, кумушсиймон, (соқийлар) ўлчовини келтирар.
017_00	Ва улар у ерда аралашмаси занжабил бўлган қадаҳдан суғорилар
018_00	Уердаги салсабийл, деб номланган булоқдан. (Занжабийл–ерга томир отган ўсимлик тури бўлиб, томири туйилиб хушбўй модда ясалади: араблар ундан ўз ичимликларига қўшиб ичишни жуда-жуда севадилар. Ичувчининг томоғидан ҳузур бағишлаб, осонлик билан ўтувчи шаробни араблар салсабийл деб атайдилар. «Салсабийлан» дейилганда шунга ишора қилиняпти.)
019_00	Ва уларнинг атрофида абадий ёш болалар айланурлар, агар уларни кўрсанг, сочилган маржон, деб ўйларсан.
020_00	Ва агар кўрсанг, у ерда неъматни ва улкан мулкни кўрарсан.
021_00	Уларнинг устиларида яшил сундусдан (юпқа ипакдан) ва истобрақдан (қалин ипакдан) кийимлар бор ва кумуш билакузуклар-ла ясанганлар ва Роббилари уларни пок шароб билан суғорар.
022_00	Албатта, бу сизга мукофот бўлди, ва амалингиз қабул бўлмшдир.
023_00	Албатта, Биз сенга Қуръонни бўлак-бўлак қилиб туширдик.
024_00	Бас, Роббинг ҳукмига сабр қил ва улардан гуноҳкор ёки кофирларига итоат қилма.
025_00	Эртаю кеч Роббинг исмини зикр қил.
026_00	Ва кечасида ҳам Унга сажда қил ва узоқ кечаларда Унга тасбиҳ айт. (Тафсирчилар «букратан»дан мурод Бамдод намози, «асийло»дан мурод пешин ва аср намози, «Ва минал лайли» Шом ва Хуфтон намозлари. «Лайлан товийло»дан мурод кечаси бедорлик билан ўқилган намоз деганлар.)
027_00	Албатта, анавилар шошган дунё)ни яхши кўрарлар ва оғир кунни ортларида қолдирарлар.
028_00	Биз уларни яратдик ва яратилишларини мстаҳкам қилдик. Ва агар хоҳласак уларнинг ўринларига ўхшашларини келтирурмиз.
029_00	Албатта, бу(сура)эслатмадир. Бас, ким хоҳласа ўз Роббисига йўл оладир.
030_00	Ва Аллоҳ хоҳласагина, сизлар ҳам хоҳларсиз. Албатта, Аллоҳ билувчи ва ҳикматли зотдир.
031_00	У кимни хоҳласа Ўз раҳматига киритадир ва золимлар учун аламли азоблар тайёрлаб қўйгандир.
