001_00	Нима ҳақида сўрашади?
002_00	Улкан, муҳим хабар ҳақида (сўрашади).
003_00	Шундай хабарки, у(мушрик)лар) унинг ҳақида ихтилоф қиларлар.
004_00	Йўқ! Улар тезда биларлар!
005_00	Яна йўқ! Улар тезда биларлар! (Мушриклар азобни тортганларида қайта тирилиш нима эканлигини, унинг бўлиши ҳеч шубҳасиз ҳақ эканини албатта биладилар.)
006_00	Ерни тўшаб қўймадикми?
007_00	Ва тоғларни қозиқ (қилиб қўймадикми?).
008_00	Ва сизларни жуфт қилиб яратдик.
009_00	Ва уйқуларингизни роҳат қилиб қўйдик.
010_00	Ва кечасини либос қилиб қўйдик.
011_00	Ва кундузни тириклик қилдик.
012_00	Тепаларнгизга етти мустаҳкам (осмон)ни бино қилдик.
013_00	Ва шуъла таратувчи чироқ ҳам қилдик.
014_00	Ва сиқилган(булут)лардан оқувчи сувлар туширдик.
015_00	У(сув) билан дон ва наботот чиқаришимиз учун.
016_00	Ва дарахтлари бир-бирига киришган бўстонлар.
017_00	Албатта, ажрим куни вақти белгиланган эди.
018_00	У кунда сурга пуфланур ва сизлар тўп-тўп бўлиб келурсизлар.
019_00	Осмон ёрилиб, эшик-эшиклар очилур.
020_00	Тоғлар ўрнидан кўчирилиб, саробга айланур.
021_00	Албатта, жаҳаннам пойлаб турувчи эди.
022_00	Туғёнга кетганларга қайтар жойдир.
023_00	Улар унда замонлар бўйи қолувчилардир.
024_00	Улар унда совуқни ҳам, шаробни ҳам татий олмаслар.
025_00	Магар қайноқ сув ва йирингни (татирлар).
026_00	Мувофиқ жазо ўлароқ.
027_00	Чунки улар ҳисоб-китоб бўлишига ишонмасдилар.
028_00	Ва Бизнинг оятлариимизни ёлғон дейишган эди, ёлғон!.
029_00	Биз барча нарсани китобга жамлаб қўйганмиз.
030_00	Бас, татиб кўринглар, сизларга азобдан бошқа ҳеч нарсани зиёда қилмасмиз.
031_00	Албатта, тақводорларга ютуқ бордир:
032_00	Боғ-роғлар, узумзорлар бордир.
033_00	Ва янги бўйи етган бир хил ёшдаги қизлар бордир.
034_00	Ва тўлдирилган қадаҳлар бордир.
035_00	У ерда бекорчи гапларни ҳам, ёлғон гапларни ҳам эшитмаслар.
036_00	Роббингдан мукофот, совға ҳисобидандир.
037_00	У осмонлар, ер ва уларнинг орасидаги барча нарсаларнинг Роббиси, Роҳмандир, Унинг ҳузурида ҳеч ким хитоб қилишга қодир бўлмас.
038_00	Ўша кунда Руҳ ва фаришталар саф бўлиб турадир. Роҳман изн берганлар ва тўғри сўзлаганлардан ўзгалар гапира олмаслар.
039_00	У ҳақ кундир. Ким хоҳласа, ўз Роббисига қайтар йўл оладир.
040_00	Албатта, Биз сизларни яқин келажакдаги азобдан қўрқитдик. У кунда, ҳар киши (қўли) тақдим қилган нарсага назар соладир. Ва кофир «кошки тупроқ бўлиб кетсам», –дейдир.
