001_00	Вақтики, осмон ёрилса.
002_00	Ва у (осмон) ўз Роббисига қулоқ осди ва шундоқ бўлиши керак эди.
003_00	Ва, вақтики, ер чўзилса.
004_00	Ва ўз ичидаги нарсаларни отиб чиқариб, холи қолса.
005_00	Ва у (ер) ўз Роббисига қулоқ осди ва шундоқ бўлиши керак эди.
006_00	Эй инсон! Албатта сен Роббингга йўлиққунингча, ҳаракату уринишда бўларсан ва охири унга йўлиқарсан.
007_00	Аммо кимнинг китоби ўнг тарафдан берилса.
008_00	Тезда, осонгина ҳисоб қилинар.
009_00	Ва аҳли ҳузурига хурсанд ҳолда қайтиб борар.
010_00	Ва, аммо, кимнинг китоби орқа тарафдан берилса.
011_00	У тезда ўзига ҳалокатни чақирар.
012_00	Ва қизиб турган дўзахга кирар.
013_00	Чунки, у(бу дунёда) ўз аҳли билан хурсанд бўлиб ўтган эди. (Охиратни ҳеч ҳам ўйламаган эди. Фақат айшу ишрат, кўнгилхуши пайидан бўлган эди. Ғофил бўлиб, ўз аҳли ила беш кунлик дунёнинг матоҳига эришиш учун ҳаракат қилган эди. Шунинг учун энди қизиб турган дўзахда азобланмоқда.)
014_00	Чунки, у ҳеч қачон орқага қайтмасликни ўйлаган эди.
015_00	Ҳа! Албатта, Роббиси уни доим кўриб турувчи эди.
016_00	Шафақ билан қасамки.
017_00	Кечаси ва у ўраб олган нарсалар билан қасамки.
018_00	Ва тўлин ой билан қасамки.
019_00	Албатта, сизлар табақама-табақа минасизлар.
020_00	Нима бўлган уларга, иймон келтирмаслар?!
021_00	Ва агар уларга Қуръон ўқилса, сажда қилмаслар?! (Кимки бу оятларни ўқиб ёки эшитиб сажда қилмаган одам гуноҳкор бўлади.)
022_00	Балки кофирлар ёлғонга чиқарарлар.
023_00	Улар қалбларида нимани сақлаётганларини Аллоҳнинг Ўзи билар.
024_00	Уларга аламли азобнинг «башоратини» бер.
025_00	Магар иймон келтирганларга ва яхши амаллар қилганларга, уларга миннатсиз, узлуксиз ажрлар бордир.
