001_00	Ҳарсиллаб чопувчиотлар билан қасам.
002_00	Ўт чақнатиб чопувчи отлар билан қасам.
003_00	Тонг чоғида ғорат қилувчи отлар билан қасам.
004_00	Ўша пайтда чанг қўзғотдилар.
005_00	Ва у ила жамоа ўртасига (ёриб) кирдилар.
006_00	Албатта, инсон ўз Роббисига ношукрдир.
007_00	Ва албатта, у ана шунга ўзи гувоҳдир.
008_00	Албатта, у мол-дунёга ҳаддан ташқари ўчдир.
009_00	У билмасми?! Қабрдагилар қўзғатилганда.
010_00	Ва кўкракларидаги ошкор бўлганда.
011_00	Ўша кунда Роббилари улардан, хабардор эканини?!
