001_00	Ал-Қориъату.
002_00	Қориъату нима?
003_00	Қориъат қандоқ нарса эканлигини сенга нима билдирди?
004_00	У кунда одамлар тўзиб кетган капалакка ўхшаб қоларлар.
005_00	Ва тоғлар титилган жунга ўхшаб қолар.
006_00	Кимнинг торозуси оғир келса...
007_00	Бас, у розилик ҳаётидадир.
008_00	Ва аммо кимнинг тарозуси енгил келса...
009_00	Бас, унинг онаси дўзахдир. (Одатда она доим паноҳ бўлган. Инсон айниқса оғир пайтларда онасига интилгандай, қиёматда ҳам онасини қўмсаганда жаҳаннам уларни она ўрнида кутиб оларкан. Меҳр-муҳаббат, шафқат излаб турганда, кони азобга, қийноққа, даҳшатли оловда ёнишга дуч келиши ниҳоятда катта бахтсизлик.)
010_00	У қандоқ нарса эканлигини сенга нима билдирди?
011_00	У қаттиқ қизиган ўтдир.
