001_00	. 以列班者发誓，
002_00	以驱策者发誓，
003_00	以诵读教诲者发誓，
004_00	你们所当崇拜者，确是独一的，
005_00	他是天地万物之主，是一切东方的主。
006_00	我确已用文采即繁星点缀最近的天，
007_00	我对一切叛逆的恶魔保护它，
008_00	他们不得窃听上界的众天神，他们自各方被射击，
009_00	被驱逐，他们将受永久的刑罚。
010_00	但窃听一次的，灿烂的流星就追赶上他。
011_00	你问他们吧！究竟是他们更难造呢？还是我所创造的更难造呢？我确已用粘泥创造了他们。
012_00	不然！你感到惊奇，而他们却嘲笑你。
013_00	他们虽闻教诲，却不觉悟。
014_00	他们虽见迹象，却加以嘲笑。
015_00	他们说：这个只是明显的魔术。
016_00	难道我们死后，已变为尘土和朽骨的时候，必定复活吗？
017_00	连我们的祖先，也要复活吗？
018_00	你说：是的！你们都要卑贱的复活。
019_00	才听见一声呐喊，他们就瞻望着，
020_00	. 他们说：伤哉我们！这就是报应之日。
021_00	. 这就是你们所否认的判决之日。
022_00	你们应当集合不义者和他们的伴侣，以及他们舍真主而崇拜的，
023_00	然后指示他们火狱的道路，
024_00	并拦住他们，因为他们的确要受审问。
025_00	你们怎么不互助呢？
026_00	不然！他们在今日是归顺的。
027_00	于是他们大家走向前来，互相谈论，
028_00	这些人说：你们确已用权力胁迫我们。
029_00	那些人说：不然！你们自己原来不是信道者，
030_00	我们对你们绝无权力。不然！你们是悖逆的民众。
031_00	故我们应当受我们的主的判决，我们确是尝试的。
032_00	所以我们使你们迷误，我们自己也确是迷误的。
033_00	在那日，他们必定同受刑罚。
034_00	我必定这样对待犯罪者。
035_00	他们确是这样的：有人对他们说：除真主外，绝无应受崇拜的，他们就妄自尊大，
036_00	并且说：难道我们务必要为一个狂妄的诗人，而抛弃我们的众神灵吗？
037_00	不然！他昭示了真理，并证实了历代的使者。
038_00	你们必定尝试痛苦的刑罚，
039_00	你们只依自己的行为而受报酬。
040_00	惟真主的虔诚的众仆，
041_00	将享受一种可知的给养--
042_00	各种水果，同时他们是受优待的；
043_00	他们在恩泽的乐园中，
044_00	他们坐在床上，彼此相对；
045_00	有人以杯子在他们之间挨次传递，杯中满盛醴泉，
046_00	颜色洁白，饮者无不称为美味；
047_00	醴泉中无麻醉物，他们也不因它而酩酊；
048_00	他们将有不视非礼的、美目的伴侣，
049_00	她们仿佛被珍藏的鸵卵样；
050_00	于是他们走向前来，互相谈论。
051_00	他们中有一个人说：我有一个朋友，
052_00	他问我：'你确是诚信的吗？
053_00	难道我们死后，已变为尘土和朽骨的时候，还必定要受报酬吗？'
054_00	他说：你们愿看他吗？
055_00	他俯视下面，就看见他在火狱的中央，
056_00	他说：以真主发誓，你的确几乎陷害了我。
057_00	如果没有我的主的恩惠，我必在被拘禁者之列。
058_00	我们不是再死的吗？
059_00	唯有我们初次的死亡，而我们绝不会受惩罚吗？
060_00	这确是伟大的成功，
061_00	工作者应当为获得这样的成功而工作。
062_00	那是更善的款待呢？还是攒楛树？
063_00	我以它为不义者的折磨。
064_00	它是火狱底生长的棵树，
065_00	它的花篦，仿佛魔头。
066_00	他们必定要吃那些果实，而以它充实肚腹。
067_00	然后他们必定要在那些果实上加饮沸水的混汤，
068_00	然后他们必定要归于火狱。
069_00	他们必定会发现他们的祖先是迷误的，
070_00	他们却依着他们踪迹而奔驰。
071_00	在他们之前，大半的古人确已迷误了。
072_00	我在他们之间，确已派遣过许多警告者。
073_00	你看！被警告者的结局是怎样的？
074_00	除非真主的纯洁的仆人们。
075_00	努哈确已向我祈祷，我是最善于应答的！
076_00	我拯救他和他的信徒们脱离大难。
077_00	我只使他的子孙得以生存。
078_00	我使他的令名，永存于后代。
079_00	在各民族中，都有人说：祝努哈平安！
080_00	我必定要这样报酬行善者们。
081_00	他确是我的信道的仆人。
082_00	然后，我使别的人淹死。
083_00	他的宗派中，确有易卜拉欣。
