سُورَةُ المُزَّمِّلِ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	O toi, l'enveloppé [dans tes vêtements]!
002_00	Lève-toi [pour prier], toute la nuit, excepté une petite partie;
003_00	Sa moitié, ou un peu moins;
004_00	ou un peu plus. Et récite le Coran, lentement et clairement.
005_00	Nous allons te révéler des paroles lourdes (très importantes).
006_00	La prière pendant la nuit est plus efficace et plus propice pour la récitation.
007_00	Tu as, dans la journée, à vaquer à de longues occupations.
008_00	Et rappelle-toi le nom de ton Seigneur et consacre-toi totalement à Lui,
009_00	le Seigneur du Levant et du Couchant. Il n'y a point de divinité à part Lui. Prends-Le donc comme Protecteur.
010_00	Et endure ce qu'ils disent; et écarte-toi d'eux d'une façon convenable.
011_00	Et laisse-moi avec ceux qui crient au mensonge et qui vivent dans l'aisance; et accorde-leur un court répit:
012_00	Nous avons [pour eux] lourdes chaînes et Enfer,
013_00	et nourriture à faire suffoquer, et châtiment douloureux.
014_00	Le jour où la terre et les montagnes trembleront, tandis que les montagnes deviendront comme une dune de sable dispersée.
015_00	Nous vous avons envoyé un Messager pour être témoin contre vous, de même que Nous avions envoyé un Messager à Pharaon.
016_00	Pharaon désobéit alors au Messager. Nous le saisîmes donc rudement.
017_00	Comment vous préserverez-vous, si vous mécroyez, d'un jour qui rendra les enfants comme des vieillards aux cheveux blancs?
018_00	[et] durant lequel le ciel se fendra. Sa promesse s'accomplira sans doute.
019_00	Ceci est un rappel. Que celui qui veut prenne une voie [menant] à son Seigneur.
020_00	Ton Seigneur sait, certes, que tu (Muhammad) te tiens debout moins de deux tiers de la nuit, ou sa moitié, ou son tiers. De même qu'une partie de ceux qui sont avec toi.
020_01	Allah détermine la nuit et le jour. Il sait que vous ne saurez jamais passer toute la nuit en prière.
020_02	Il a usé envers vous avec indulgence. Récitez donc ce qui [vous] est possible du Coran.
020_03	Il sait qu'il y aura parmi vous des malades, et d'autres qui voyageront sur la terre, en quête de la grâce d'Allah, et d'autres encore qui combattront dans le chemin d'Allah. Récite-en donc ce qui [vous] sera possible.
020_04	Accomplissez la Salât, acquittez la Zakât, et faites à Allah un prêt sincère. Tout bien que vous vous préparez, vous le retrouverez auprès d'Allah, meilleur et plus grand en fait de récompense. Et implorez le pardon d'Allah. Car Allah est Pardonneur et Très Miséricordieux.
