L'Evento Ineluttabile
001_00	Quando accadrà l'Evento.
002_00	la cui venuta nessuno potrà negare.
003_00	abbasserà innalzerà.
004_00	Quando la terra sarà agitata da una scossa.
005_00	e le montagne sbriciolate
006_00	saranno polvere dispersa.
007_00	sarete allora in tre gruppi.
008_00	i compagni della destra …, e chi sono i compagni della destra.
009_00	i compagni della sinistra …, e chi sono i compagni della sinistra.
010_00	i primi …, sono davvero i primi.
011_00	Saranno i ravvicinati.
012_00	nei Giardini delle Delizie.
013_00	molti tra gli antichi
014_00	pochi tra i recenti.
015_00	su divani rivestiti d'oro.
016_00	sdraiati gli uni di fronte agli altri.
017_00	Vagheranno tra loro fanciulli di eterna giovinezza.
018_00	coppe, brocche e calici di bevanda sorgiva.
019_00	che non darà mal di testa né ebbrezza.
020_00	e i frutti che sceglieranno.
021_00	e le carni d'uccello che desidereranno.
022_00	E le fanciulle dai grandi occhi neri.
023_00	simili a perle nascoste.
024_00	compenso per quel che avranno fatto.
025_00	Colà non sentiranno né vaniloqui né oscenità.
026_00	ma solo «Pace, Pace».
027_00	E i compagni della destra; chi sono i compagni della destra.
028_00	tra i loti senza spine.
029_00	e banani dai caschi ben colmi .
030_00	tra ombra costante.
031_00	e acqua corrente.
032_00	e frutti abbondanti.
033_00	inesauribili e non proibiti.
034_00	su letti elevati.
035_00	Le abbiamo create perfettamente.
036_00	le abbiamo fatte vergini.
037_00	amabili e coetanee.
038_00	per i compagni della destra.
039_00	Molti tra gli antichi.
040_00	e molti tra gli ultimi venuti.
041_00	E i compagni della sinistra, chi sono i compagni della sinistra.
042_00	un vento bruciante, all'acqua bollente.
043_00	all'ombra di un fumo nero
044_00	non fresca, non piacevole.
045_00	Già furono genti agiate.
046_00	e persistevano nel grande peccato
047_00	e dicevano: «Dopo che saremo morti e ridotti in polvere ed ossa, saremo forse resuscitati.
048_00	E i nostri avi?».
049_00	Di': «In verità sia i primi che gli ultimi
050_00	saranno riuniti nel convegno del Giorno stabilito».
051_00	Quindi in verità voi traviati, voi negatori.
052_00	mangerete dall'albero Zaqqum .
053_00	ve ne riempirete il ventre.
054_00	e ci berrete sopra acqua bollente.
055_00	berrete come cammelli morenti di sete.
056_00	Ecco cosa sarà offerto loro nel Giorno del Giudizio.
057_00	Siamo Noi che vi abbiamo creato. Perché non prestate fede.
058_00	Non riflettete su quello che eiaculate.
059_00	siete forse voi a crearlo o siamo Noi il Creatore.
060_00	Abbiamo decretato per voi la morte e non potremo essere sopravanzati
061_00	nel sostituirvi con altri simili a voi e nel farvi rinascere che ancora non conoscete.
062_00	Già conoscete la prima creazione! Perché non ve ne ricordate.
063_00	Non riflettete su quello che coltivate.
064_00	siete voi a seminare o siamo Noi i Seminatori.
065_00	Certamente se volessimo ne faremmo paglia secca e allora stupireste.
066_00	«Siamo oberati di debiti.
067_00	del tutto diseredati!».
068_00	Non riflettete sull'acqua che bevete.
069_00	siete forse voi a farla scendere dalla nuvola o siamo Noi che la facciamo scendere.
070_00	Se volessimo la renderemmo salmastra: perché mai non siete riconoscenti.
071_00	Non riflettete sul fuoco che ottenete sfregando.
072_00	siete stati voi a far crescere l'albero o siamo stati Noi.
073_00	Ne abbiamo fatto un monito e un'utilità per i viaggiatori del deserto.
074_00	Glorifica dunque il Nome del tuo Signore, il Supremo.
075_00	Lo giuro per il declino delle stelle
076_00	– e questo è giuramento solenne, se lo sapeste –
077_00	che questo è in verità un Corano nobilissimo.
078_00	in un Libro custodito
079_00	che solo i puri toccano.
080_00	È una Rivelazione del Signore dei mondi.
081_00	Di questo discorso vorreste sospettare.
082_00	La vostra riconoscenza sarà tacciarlo di menzogna.
083_00	Perché mai, quando risale alla gola
084_00	sotto i vostri occhi.
085_00	e Noi gli siamo più vicini, ma non ve ne accorgete.
086_00	perché mai, se non dovete essere giudicati
087_00	e se siete sinceri, non la ricondurrete .
088_00	Se fa parte dei ravvicinati.
089_00	avrà riposo, profumi e un Giardino di delizie.
090_00	Se è stato uno dei compagni della destra.
091_00	«Pace da parte dei compagni della destra!».
092_00	Ma se è stato uno di quelli che tacciavano di menzogna e che si erano traviati.
093_00	sarà nell'acqua bollente.
094_00	e precipitato nella Fornace .
095_00	Questa è la certezza assoluta.
096_00	Rendi dunque gloria al Nome del tuo Signore, il Supremo
