Le File
001_00	Glorifica Allah ciò che è nei cieli e sulla terra. Egli è l'Eccelso, il Saggio.
002_00	O credenti, perché dite quel che non fate.
003_00	Presso Allah è grandemente odioso che diciate quel che non fate.
004_00	In verità Allah ama coloro che combattono per la Sua causa in ranghi serrati come fossero un solido edificio.
005_00	quando Mosè disse al suo popolo: «O popol mio, perché mi tormentate nonostante sappiate che sono veramente il Messaggero di Allah a voi?».
005_01	Quando poi deviarono, Allah fece deviare i loro cuori. Allah non guida la gente malvagia.
006_00	E quando Gesù figlio di Maria disse: «O Figli di Israele, io sono veramente un Messaggero di Allah a voi, per confermare la Toràh che mi ha preceduto,
006_01	e per annunciarvi un Messaggero che verrà dopo di me, il cui nome sarà Ahmad Ma quando questi giunse loro con le prove incontestabili, dissero: «Questa è magia evidente».
007_00	Chi è più iniquo di colui che inventa menzogne contro Allah, nonostante venga chiamato all'IsIàm? Allah non guida gli ingiusti.
008_00	Vogliono spegnere la luce di Allah con le loro bocche, ma Allah completerà la Sua luce a dispetto dei miscredenti.
009_00	Egli è Colui Che ha inviato il Suo Messaggero con la Guida e la Religione della verità, affinché essa prevalga su ogni religione a dispetto degli associatori.
010_00	O voi che credete, vi indichi un commercio che vi salverà da un doloroso castigo.
011_00	Credete in Allah e nel Suo Inviato e lottate con i vostri beni e le vostre persone sulla Via di Allah. Ciò è meglio per voi, se lo sapeste.
012_00	perdonerà i vostri peccati e vi farà entrare nei Giardini dove scorrono i ruscelli e nelle piacevoli dimore dei Giardini di Eden. Ecco il più grande successo.
013_00	E un'altra cosa che avrete desiderato: l'aiuto di Allah e una rapida vittoria. Danne la lieta novella ai credenti.
014_00	O credenti, siate gli ausiliari di Allah, così come Gesù figlio di Maria chiedeva agli apostoli: «Chi sono i miei ausiliari Allah?».
014_01	Risposero gli apostoli: «Noi siamo gli ausiliari di Allah».
014_02	Una parte dei Figli di Israele credette, mentre un'altra parte non credette. Aiutammo coloro che credettero contro il loro nemico ed essi prevalsero.
