La Sovranità
001_00	Benedetto Colui nella Cui mano è la sovranità, Egli è onnipotente.
002_00	Colui Che ha creato la morte e la vita per mettere alla prova chi di voi meglio opera, Egli è l'Eccelso, il Perdonatore.
003_00	Colui Che ha creato sette cieli sovrapposti senza che tu veda alcun difetto nella creazione del Compassionevole. Osserva, vedi una qualche fenditura.
004_00	Osserva ancora due volte: il tuo sguardo ricadrà, stanco e sfinito.
005_00	Invero abbellimmo di luminarie il cielo più vicino, e ne abbiamo fatto strumenti; per lapidare i dèmoni per i quali abbiamo preparato la Fiamma.
006_00	Per coloro che non credono nel loro Signore, c'è il castigo dell'Inferno: qual tristo divenire.
007_00	Quando vi sono precipitati, ne sentono il fragore mentre ribolle.
008_00	manca poco a che scoppi di rabbia. Ogni volta che un gruppo vi è precipitato, i suoi guardiani chiedono: «Non vi è forse giunto un ammonitore?».
009_00	Risponderanno: «Sì, ci era giunto un ammonitore, ma noi lo tacciammo di menzogna e dicemmo: "Allah non ha fatto scendere alcunché, voi siete in evidente errore!"».
010_00	E diranno: «Se avessimo ascoltato o compreso, non saremmo tra i compagni della Fiamma».
011_00	Riconoscono il loro peccato. Che siano ridotti in polvere i compagni della Fiamma.
012_00	Coloro che invece temono il loro Signore in ciò che è invisibile, avranno perdono e ricompensa grande.
013_00	Sia che nascondiate i vostri intenti o li palesiate, Egli ben conosce quello che contengono i petti.
014_00	Non conoscerebbe ciò che Egli stesso ha creato, quando Egli è il Sottile , il Ben informato.
015_00	Egli è Colui Che vi ha fatto remissiva la terra: percorretela in lungo e in largo, e mangiate della Sua provvidenza. Verso di Lui è la Resurrezione.
016_00	Siete forse sicuri che Colui Che sta nel cielo non vi faccia inghiottire dalla terra quando trema.
017_00	O siete sicuri che Colui Che sta nel cielo non scateni contro di voi un uragano? Conoscerete allora il Mio avvertimento.
018_00	Invero coloro che li precedettero già tacciarono di menzogna. Quale fu la mia riprovazione.
019_00	Non hanno visto, sopra di loro, gli uccelli spiegare e ripiegare le ali? Non li sostiene altri che il Compassionevole. In verità Egli osserva ogni cosa.
020_00	Chi potrebbe costituire un esercito per voi, e soccorrervi all'infuori del Compassionevole? I miscredenti sono in preda all'inganno.
021_00	Chi provvederà a voi, se Egli tratterrà la Sua provvidenza? No, essi persistono nell'insolenza e nel rifiuto.
022_00	Colui che cammina con il volto rivolto al suolo è forse meglio guidato di colui che si erge camminando sulla retta via .
023_00	Di': «Egli è Colui Che vi ha creati e vi ha dato l'udito, gli occhi e i cuori». Quanto poco Gli siete riconoscenti.
024_00	Di': «Egli è Colui Che vi ha sparsi sulla terra e verso di Lui sarete riuniti».
025_00	Dicono: «A quando questa promessa? se siete veridici».
026_00	Di': «La conoscenza appartiene ad Allah. Io non sono altro che un ammonitore esplicito».
027_00	Quando la vedranno da vicino, saranno stravolti i visi dei miscredenti e sarà detto loro: «Ecco ciò che vi ostinavate a chiedere!».
028_00	Di': «Cosa credete? Sia che Allah faccia perire me e quelli che sono con me sia che ci usi misericordia, chi potrà proteggere i miscredenti da un doloroso castigo?».
029_00	Di': «Egli è il Compassionevole! Crediamo in Lui e in Lui confidiamo. Presto saprete chi è in errore evidente».
030_00	Di': «Cosa credete? Se la vostra acqua rientrasse nelle profondità chi vi procurerebbe acqua sorgiva?».
