001_00	Hà', Mìm.
002_00	La rivelazione del Libro proviene da Allah, l'Eccelso, il Saggio.
003_00	In verità nei cieli e sulla terra ci sono segni per coloro che credono.
004_00	nella vostra creazione e negli animali che dissemina, ci sono segni per coloro che credono con fermezza.
005_00	Nell'alternarsi della notte e del giorno, nell'acqua che Allah fa scendere dal cielo e per mezzo della quale vivifica la terra dopo che era morta, nel dispiegarsi dei venti, ci sono segni per coloro che ragionano.
006_00	Ecco i versetti di Allah, che noi ti recitiamo in tutta verità. In quale discorso e in quali segni potranno credere, oltre a di Allah.
007_00	Guai ad ogni bugiardo peccatore.
008_00	che ode recitare davanti a sé i versetti di Allah, ma insiste nella sua superbia, come se non li avesse affatto uditi! Annunciagli dunque un doloroso castigo.
009_00	Se impara qualcuno dei Nostri versetti, li volge in scherno. Ecco coloro che avranno l'umiliante tormento.
010_00	li attende l'Inferno. Non servirà a niente quel che avranno fatto, né gli alleati che si sono presi all'infuori di Allah. Avranno un castigo terribile.
011_00	Questa è la guida. Coloro che non credono nei segni del loro Signore avranno doloroso supplizio.
012_00	Allah è Colui Che ha messo il mare al vostro servizio, affinché vi scivoli la nave per ordine Suo e voi vi procuriate la Sua grazia, affinché siate riconoscenti.
013_00	E vi ha sottomesso tutto quello che è nei cieli e sulla terra: tutto da Lui. In verità in ciò vi sono segni per coloro che riflettono.
014_00	Di' ai credenti di perdonare coloro che non sperano nei Giorni di Allah: compenserà ogni popolo per quello che si è meritato.
015_00	Chi fa il bene, lo fa per se stesso, e chi fa il male lo fa contro di sé. Infine sarete tutti ricondotti al vostro Signore.
016_00	Già abbiamo dato ai Figli di Israele la Scrittura, la saggezza e la profezia. Concedemmo loro cibi eccellenti e li preferimmo agli altri popoli.
017_00	Demmo loro prove evidenti del Ordine ; non si divisero, astiosi gli uni con gli altri se non dopo che giunse loro la scienza.
017_01	In verità nel Giorno della Resurrezione il tuo Signore giudicherà tra di loro, a proposito delle loro divergenze.
018_00	In seguito ti abbiamo posto sulla via dell'Ordine. Seguila e non seguire le passioni di coloro che non conoscono nulla.
019_00	Non potranno giovarti in nulla contro Allah. In verità gli ingiusti sono alleati gli uni degli altri, mentre Allah è alleato dei timorati.
020_00	Questo per gli uomini è un appello al veder chiaro, una guida e una misericordia per coloro che credono fermamente.
021_00	Coloro che commettono il male credono che Noi li tratteremo alla stessa stregua di coloro che credono e compiono il bene, come se fossero uguali nella loro vita e nella loro morte ? Come giudicano male.
022_00	Allah creò in tutta verità i cieli e la terra, affinché ogni uomo sia compensato per quel che avrà fatto. Nessuno subirà un torto.
023_00	Non hai visto quello che assume a divinità le sue passioni ? Allah scientemente lo allontana, suggella il suo udito e il suo cuore e stende un velo sui suoi occhi.
023_01	Chi lo potrà dirigere dopo che Allah? Non rifletterete dunque.
024_00	Dicono: «Non c'è che questa vita terrena: viviamo e moriamo; quello che ci uccide è il tempo che passa». Invece non possiedono nessuna scienza, non fanno altro che illazioni.
025_00	Quando vengono recitati a loro i Nostri versetti espliciti, non hanno altro argomento eccetto: «Fate risorgere i nostri avi, se siete sinceri».
026_00	Di': «Allah vi dà la vita e poi vi dà la morte, quindi vi riunirà nel Giorno della Resurrezione. Non c'è dubbio in proposito, ma la maggior parte degli uomini non lo sa».
027_00	ad Allah la sovranità dei cieli e della terra; e nel Giorno in cui scoccherà l'Ora, saranno perduti i seguaci della falsità.
028_00	E vedrai ogni comunità genuflessa. Ogni comunità sarà convocata davanti al suo libro : «Oggi sarete compensati per quello che avete fatto».
029_00	Ecco il Nostro Libro che rivela la verità su di voi: sì, abbiamo tenuto nota di ciò che facevate.
030_00	Quanto a coloro che avranno creduto e compiuto il bene, il Signore li accoglierà nella Sua misericordia. Questo è il successo evidente.
031_00	A coloro che invece non avranno creduto: «Non vi sono stati recitati i Miei versetti? Ma eravate superbi ed eravate un popolo di malvagi».
032_00	Quando si diceva: «In verità la promessa di Allah è veritiera e non c'è dubbio alcuno sull'Ora», voi rispondevate: «Non sappiamo cos'è l'Ora, facciamo solo supposizioni, senza peraltro esserne convinti».
033_00	Appariranno loro di quel che avranno fatto e ciò di cui si burlavano li avvolgerà.
034_00	E sarà detto loro: «Oggi Noi vi dimentichiamo, come voi dimenticavate l'incontro di questo vostro Giorno. Il vostro soggiorno sarà il Fuoco e non avrete chi vi soccorra.
035_00	Ciò perché schernivate i segni di Allah e vi seduceva la vita terrena». In quel Giorno, non saranno fatti uscire e non saranno accettate le loro scuse.
036_00	La lode appartiene ad Allah, Signore dei cieli e della terra, Signore dei mondi.
037_00	a Lui la magnificenza dei cieli e della terra. Egli è l'Eccelso, il Saggio.
