001_00	Neka je uzvišen Onaj koji robu Svome objavljuje Kur'an da bi svjetovima bio opomena,
002_00	Onaj kome pripada vlast na nebesima i na Zemlji, koji nema djeteta, koji u vlasti nema ortaka i koji je sve stvorio i kako treba uredio!
003_00	Neki pored Njega božanstva prihvaćaju koja ništa ne stvaraju, a koja su sama stvorena, koja nisu u stanju od sebe neku štetu otkloniti ni sebi kakvu korist pribaviti i koja nemaju moći život oduzeti, život dati niti oživjeti.
004_00	Oni koji ne vjeruju govore: "Ovo nije ništa drugo do velika laž koju on izmišlja, a u tome mu i drugi ljudi pomažu" – i čine nepravdu i potvoru
005_00	i govore: "To su izmišljotine naroda drevnih; on traži da mu se prepisuju i ujutro i navečer da mu ih čitaju."
006_00	Reci: "Objavljuje ih Onaj kome su poznate tajne nebesa i Zemlje; On mnogo prašta i samilostan je."
007_00	I oni govore: "Šta je ovom 'poslaniku', on hranu uzima i po trgovima hoda; trebao mu se jedan melek poslati da zajedno sa njim opominje,
008_00	ili da mu se spusti kakvo blago ili da ima vrt iz kojeg bi se hranio!" I nevjernici još govore: "Vi samo začarana čovjeka slijedite!"
009_00	Vidi šta o tebi oni govore, pa onda lutaju i Pravi put ne mogu naći.
010_00	Neka je uzvišen Onaj koji ti, ako hoće, može dati bolje od toga: vrtove kroz koje rijeke teku i dvorove.
011_00	Oni, čak, i Čas oživljenja poriču, a Mi smo za one koji Čas oživljenja poriču pripremili vatru razbuktalu –
012_00	kad od njih bude udaljena toliko da je mognu vidjeti, čuće kako gnjevna ključa i od bijesa huči,
013_00	a kad budu bačeni u nju, u tjesnac, vezanih ruku, propast će tamo prizivati.
014_00	"Ne prizivajte danas jednu propast, nego prizivajte mnoge propasti!"
015_00	Reci: "Da li je bolje to ili vječni Džennet koji je obećan onima koji se budu Allaha bojali? On će im nagrada i prebivalište biti,
016_00	u njemu će dovijeka sve što zažele imati; to je obećanje Gospodara tvoga; oni će imati pravo to iskati od Njega."
017_00	A na Dan kada ih On sakupi, a i one kojima su pored Allaha robovali, te upita: "Jeste li vi ove robove Moje u zabludu zaveli, ili su oni sami s Pravoga puta zalutali?" –
018_00	oni će reći: "Hvaljen nek si Ti, nezamislivo je da smo mi pored Tebe ikakve zaštitnike uzimali, nego, Ti si ovima i precima njihovim dao da uživaju, pa su zaboravili da Te se sjećaju; oni su propast zaslužili!"
019_00	Oni će poreći to što vi govorite, a vi nećete biti u mogućnosti da mučenje otklonite niti da pomoć nađete. A onome od vas koji je Njemu druge ravnim smatrao daćemo da patnju veliku iskusi.
020_00	Mi prije tebe nismo poslali nijednog poslanika koji nije jeo i po trgovima hodao.
020_01	Mi činimo da jedni druge u iskušenje dovodite, pa izdržite! A Gospodar tvoj vidi sve.
021_00	Oni koji ne vjeruju da će pred Nas stati – govore: "Zašto nam se ne pošalju meleki ili zašto Gospodara svoga ne vidimo?" Oni su, zaista, u dušama svojim oholi, a u nepravičnosti su sve granice prešli.
022_00	Onoga Dana kada ugledaju meleke grješnici se neće radovati i uzviknuće: "Sačuvaj nas Bože!"
023_00	I Mi ćemo pristupiti djelima njihovim koja su učinili i u prah i pepeo ih pretvoriti.
024_00	Stanovnici Dženneta će tog dana najbolje prebivalište i najljepše odmaralište imati.
025_00	A na Dan kada se nebo rastvori i samo tanak oblak pojavi i kada se meleki sigurno spuste,
026_00	toga dana će istinska vlast biti samo u Milostivoga, a biće to mučan dan za nevjernike.
027_00	Na Dan kada nevjernik prste svoje bude grizao govoreći: "Kamo sreće da sam se uz Poslanika Pravoga puta držao,
028_00	kamo sreće, teško meni, da toga i toga za prijatelja nisam uzeo,
029_00	on me je od Kur'ana odvratio nakon što mi je priopćen bio!" – a šejtan čovjeka uvijek ostavlja na cjedilu –
030_00	Poslanik je rekao: "Gospodaru moj, narod moj ovaj Kur'an izbjegava!"
031_00	Isto tako smo Mi dali da svakom vjerovjesniku nevaljalci neprijatelji budu. A tebi je Gospodar tvoj dovoljan kao vodič i kao pomagač!
032_00	Oni koji ne vjeruju govore: "Trebalo je da mu Kur'an bude objavljen čitav, i to odjednom!" A tako se objavljuje da bismo njime srce tvoje učvrstili, i Mi ga sve ajet po ajet objavljujemo.
033_00	Oni ti neće nijedan prigovor postaviti, a da ti Mi nećemo odgovor i najljepše objašnjenje navesti.
034_00	Oni koji budu lica okrenutih zemlji u Džehennem vučeni biće u najgorem položaju i u najvećoj nevolji.
035_00	Mi smo Musau Knjigu dali i brata mu Haruna pomoćnikom učinili,
036_00	pa rekli: "Otiđite vas dvojica narodu koji dokaze Naše poriče" – i poslije smo taj narod potpuno uništili.
037_00	A i narod Nuhov smo, kad su poslanike u laž utjerivali, potopili i ljudima ih poučnim primjerom učinili, a nevjernicima smo patnju bolnu pripremili,
038_00	i Adu i Semudu i stanovnicima Ressa i mnogim narodima između njih –
039_00	svima smo primjere za pouku navodili, i sve smo poslije sasvim uništili.
040_00	A ovi prolaze pored grada na koji se sručila kobna kiša – zar ga ne vide? – pa ipak ne očekuju proživljenje.
041_00	Kad te vide, rugaju ti se: "Je li ovo onaj kojeg je Allah kao poslanika poslao?
042_00	Umalo da nas od božanstava naših nije odvratio, ali mi im vjerni ostadosmo." A kad dožive patnju, saznaće ko je dalje s Pravoga puta bio skrenuo.
043_00	Kaži ti Meni, hoćeš li ti biti čuvar onome koji je strast svoju za boga svoga uzeo?
044_00	Misliš li ti da većina njih hoće da čuje ili da nastoji shvatiti? Kao stoka su oni, čak su još dalje s Pravog puta skrenuli.
045_00	Zar ne vidiš kako Gospodar tvoj sjenu rasprostire – a da hoće, ostavio bi je da miruje – i kako smo uredili da na nju Sunce utječe,
046_00	a poslije je malo-pomalo Sebi privlačimo.
047_00	On vam je noć učinio pokrivkom, san vam je učinio počinkom, a dan da se krećete.
048_00	I On šalje vjetrove kao radosnu vijest, kao prethodnicu milosti Svoje; i Mi s neba čistu vodu spuštamo
049_00	da njome već mrtav predio oživimo i da mnogu stoku i mnoge ljude koje smo stvorili napojimo.
050_00	Mi smo im o ovome često govorili da bi razmislili, ali većina ljudi poriče blagodati.
051_00	Da hoćemo, u svaki grad bismo poslali nekoga da opominje;
052_00	zato ne čini nevjernicima ustupke i Kur'anom se svim silama protiv njih bori.
053_00	On je dvije vodene površine jednu pored druge ostavio – jedna je pitka i slatka, druga slana i gorka, a između njih je pregradu i nevidljivu branu postavio.
054_00	On od vode stvara ljude i čini da su rod po krvi i po tazbini. Gospodar tvoj je kadar sve.
055_00	Umjesto Allahu oni se klanjaju onima koji nisu u stanju neku korist im pribaviti, niti od njih kakvu štetu otkloniti. Nevjernik je šejtanov saučesnik protiv njegovog Gospodara,
056_00	a Mi smo tebe poslali samo zato da radosne vijesti donosiš i da opominješ.
057_00	Reci: "Za ovo od vas ne tražim druge nagrade, već da onaj koji hoće pođe Putem koji vodi njegovu Gospodaru."
058_00	Ti se pouzdaj u Živog, koji ne može umrijeti, i veličaj Ga, i hvali! A dovoljno je to što grijehe robova Svojih zna Onaj
059_00	koji je za šest vremenskih razdoblja nebesa i Zemlju i ono što je među njima stvorio, a onda cijelim svemirom zavladao; On je Milostivi i upitaj o Njemu onoga koji zna.
060_00	A kad im se rekne: "Padajte ničice pred Milostivim!" – oni pitaju: "A ko je Milostivi? Zar da padamo ničice samo zato što nam ti naređuješ?" I još se više otuđuju.
061_00	Neka je uzvišen Onaj koji je na nebu sazviježđa stvorio i u njima dao svjetiljku i Mjesec koji sja.
062_00	On čini da se noć i dan smjenjuju, to je pouka za onoga koji hoće da razmisli i želi da bude blagodaran.
063_00	A robovi Milostivoga su oni koji po Zemlji mirno hodaju, a kada ih bestidnici oslove, odgovaraju: "Mir vama!",
064_00	i oni koji provode noći pred Gospodarom svojim na tlo padajući i stojeći;
065_00	i oni koji govore: "Gospodaru naš, poštedi nas patnje u Džehennemu, jer je patnja u njemu, doista, propast neminovna,
066_00	on je ružno prebivalište i boravište";
067_00	i oni koji, kad udjeljuju, ne rasipaju i ne škrtare, već se u tome drže sredine;
068_00	i oni koji se mimo Allaha drugom bogu ne klanjaju, i koji, one koje je Allah zabranio,
068_01	ne ubijaju, osim kada pravda zahtijeva, i koji ne bludniče; – a ko to radi, iskusiće kaznu,
069_00	patnja će mu na onome svijetu udvostručena biti i vječno će u njoj ponižen ostati;
070_00	ali onima koji se pokaju i uzvjeruju i dobra djela čine, Allah će njihova hrđava djela u dobra promijeniti, a Allah prašta i samilostan je;
071_00	a onaj ko se bude pokajao i dobra djela činio, on se, uistinu, Allahu iskreno vratio;
072_00	i oni koji ne svjedoče lažno, i koji, prolazeći pored onoga što ih se ne tiče, prolaze dostojanstveno;
073_00	i oni koji, kada budu opomenuti dokazima Gospodara svoga, ni gluhi ni slijepi ne ostanu;
074_00	i oni koji govore: "Gospodaru naš, podari nam u ženama našim i djeci našoj radost i učini da se čestiti na nas ugledaju!" –
075_00	oni će biti, za ono što su trpjeli, odajama džennetskim nagrađeni i u njima će pozdravom i blagoslovom biti susretani,
076_00	u njima će vječno ostati, a kako su one divno prebivalište i boravište!
077_00	Reci: "Allah vam poklanja pažnju samo zbog vaše molitve, a pošto ste vi poricali, neminovno vas čeka patnja."
