001_00	Elif Lām Mīm.
002_00	Misle li ljudi da će biti ostavljeni na miru ako kažu: "Mi vjerujemo!" i da u iskušenje neće biti dovedeni?
003_00	A Mi smo u iskušenje dovodili i one prije njih, da bi Allah sigurno ukazao na one koji govore istinu i na one koji lažu.
004_00	Zar misle oni koji zla djela rade da će Nama umaći? – Loše prosuđuju!
005_00	Onaj ko se boji susreta sa Allahom – pa, doći će, sigurno, Dan obećani; a On sve čuje i sve zna!
006_00	A onaj ko se bori – bori se samo za sebe, jer Allah sigurno može bez svih svjetova biti.
007_00	Onima koji vjeruju i dobra djela čine preći ćemo, sigurno, preko hrđavih postupaka njihovih, i za ono što su radili doista ćemo ih najljepšom nagradom nagraditi.
008_00	Mi smo svakog čovjeka zadužili da bude dobar prema roditeljima svojim.
008_01	Ali, ako te oni budu nagovarali da Meni nekoga ravnim smatraš, o kome ti ništa ne znaš, onda ih ne slušaj. Meni ćete se vratiti, pa ću vas Ja o onome što ste radili obavijestiti.
009_00	One koji vjeruju i dobra djela čine sigurno ćemo među one koji su dobri uvrstiti.
010_00	Ima ljudi koji govore: "Vjerujemo u Allaha" – a kad neki Allaha radi bude na muke stavljen, on drži da je ljudsko mučenje isto što i Allahova kazna.
010_01	A ako pobjeda dođe od Gospodara tvoga, sigurno će oni reći: "Bili smo uz vas!" A zar Allah ne zna dobro ono što je u grudima čijim?
011_00	Allah dobro zna one koji vjeruju i dobro zna one koji su dvolični.
012_00	Nevjernici govore vjernicima: "Slijedite naš put, a mi ćemo nositi grijehe vaše!" – a ne bi ponijeli nijedan grijeh njihov, oni samo lažu,
013_00	ali će, sigurno, vlastito breme i breme onih koje su u zabludu odveli nositi, i za laži koje su iznosili doista će na Sudnjem danu odgovarati.
014_00	Mi smo Nuha narodu njegovu poslali i on je među njima ostao hiljadu, manje pedeset, godina, pa ih je potom zadesio potop, zato što su Allahu druge ravnim smatrali.
015_00	I Mi smo njega i one što su bili u lađi – spasili, i poučnim primjerom svjetovima je učinili.
016_00	A i Ibrahima. "Allahu se jedino klanjajte" – govorio je on narodu svome – "i Njega se bojte, to vam je bolje, da znate.
017_00	Vi se, mimo Allaha, kumirima klanjate i laži smišljate.
017_01	Oni kojima se vi, mimo Allaha, klanjate ne mogu vas nikakvom hranom nahraniti; vi hranu od Allaha trážite i Njemu se klanjajte i Njemu zahvalni budite! – Njemu ćete se vratiti." –
018_00	Ako vi smatrate lažnim mene, pa smatrali su lažnim svoje poslanike i narodi prije vas; a poslanik je jedino dužan da jasno obznani.
019_00	Zar ovi ne vide kako Allah sve iz ničega stvara? On će to opet učiniti; Allahu je to, zaista, lahko.
020_00	Reci: "Putujte po svijetu da vidite šta je On iz ničega stvorio. I, Allah će to, poslije, po drugi put stvoriti. Allah, zaista, sve može;
021_00	On kažnjava onoga koga On hoće i milost ukazuje onome kome On hoće, i Njemu ćete se vratiti.
022_00	Njegovoj kazni nećete umaći ni na Zemlji ni na nebu, a nemate, mimo Allaha, ni zaštitnika ni pomagača.
023_00	A onima koji neće da vjeruju u Allahove dokaze i u susret s Njime, njima nije stalo do Moje milosti – njih čeka patnja nesnosna."
024_00	Odgovor naroda njegova bijaše: "Ubijte ga ili spalite!" – ali, Allah ga je iz vatre izbavio. To su, uistinu, dokazi za narod koji vjeruje.
025_00	"Vi ste" – reče on – "mimo Allaha kumire prihvatili da biste u životu na ovome svijetu međusobne prijateljske odnose održavali, a poslije, na
025_01	Sudnjem danu, jedni drugih ćete se odricati i jedni druge ćete proklinjati, vatra će vaše boravište biti, i niko vam u pomoć neće moći priteći."
026_00	I Lut mu jedini povjerova! A Ibrahim reče: "Ja se selim onamo kuda mi je Gospodar moj naredio, jer je On, uistinu, silan i mudar."
027_00	I Mi smo mu Ishaka i Jakuba poklonili i potomcima njegovim vjerovjesništvo i Knjigu dali, a
027_01	njemu na ovom svijetu lijep spomen sačuvali, a na onome će, doista, jedan od onih dobrih biti.
028_00	I Luta. Kada narodu svome reče: "Vi činite takav razvrat kakav prije vas niko na svijetu nije činio:
029_00	s muškarcima općite, po drumovima presrećete, i na skupovima svojim najodvratnije stvari činite"
029_01	– odgovor naroda njegova bijaše: "Učini da nas Allahova kazna stigne, ako istinu govoriš!"
030_00	"Gospodaru moj" – reče on – "pomozi mi protiv naroda grješnog!"
031_00	I kad izaslanici Naši Ibrahimu radosnu vijest donesoše, rekoše: "Mi ćemo uništiti stanovnike onoga grada, jer su njegovi stanovnici nevjernici."
032_00	"U njemu je Lut" – reče Ibrahim. – "Mi dobro znamo ko je u njemu" – rekoše oni – "mi ćemo njega i porodicu njegovu sigurno spasiti, osim žene njegove, ona će ostati s onima koji će kaznu iskusiti."
033_00	I kad izaslanici Naši dođoše Lutu, on se zbog njih sneveseli i uznemiri.
033_01	"Ne boj se i ne brini se" – rekoše oni – "mi ćemo tebe i porodicu tvoju spasiti, osim žene tvoje; ona će ostati s onima koji će kaznu iskusiti.
034_00	A na stanovnike ovoga grada spustićemo strašnu kaznu s neba zbog toga što su razvratnici."
035_00	I od njega smo ostavili vidljive ostatke ljudima koji budu pameti imali.
036_00	A u Medjen brata njihova Šuajba: "O narode moj" – govorio je on – "Allahu se jedino klanjajte i činite ono za što ćete dobiti nagradu na onome svijetu, a po Zemlji, nered praveći, zlo ne radite!"
037_00	Ali mu oni ne povjerovaše, pa ih zadesi strašan potres i oni osvanuše u zemlji svojoj mrtvi, nepomični.
038_00	A i Ada i Semuda – ostaci domova njihovih su vam vidljivi – šejtan im je lijepim njihove postupke predočio, pa ih, iako su razumni bili, od Pravog puta odvratio;
039_00	I Karuna i faraona i Hamana; Musa im je jasne dokaze donio, ali su se oni na Zemlji oholo ponijeli i kaznu nisu izbjegli.
040_00	I sve smo prema grijesima njihovim kaznili: na neke vjetar, pun pijeska,
040_01	poslali, a neke strašnim glasom uništili; neke u zemlju utjerali, a neke
040_02	potopili. – Allah im nije učinio nepravdu, sami su sebi nepravdu nanijeli.
041_00	Oni koji, mimo Allaha, zaštitnike uzimaju slični su pauku koji sebi
041_01	isplete kuću, a najslabija je kuća, uistinu, paukova kuća, neka znaju!
042_00	Allah dobro zna da ovi kojima se oni, pored Njega, klanjaju ništa ne predstavljaju; On je Silni i Mudri!
043_00	To su primjeri koje Mi ljudima navodimo, ali ih samo učeni shvaćaju.
044_00	Allah je nebesa i Zemlju s razlogom stvorio; to je, doista, pouka onima koji vjeruju.
045_00	Kazuj Knjigu koja ti se objavljuje i obavljaj molitvu, molitva, zaista, odvraća od razvrata i od svega što je ružno; obavljanje molitve je najveća poslušnost!
045_01	– A Allah zna šta radite.
046_00	I sa sljedbenicima Knjige raspravljajte na najljepši način, ali ne i sa onima među njima koji su nepravedni – i recite: "Mi vjerujemo u ono
