001_00	Hā Mīm.
002_00	Tako Mi Knjige jasne,
003_00	Mi je objavljujemo kao Kur'an, na arapskom jeziku, da biste razumjeli,
004_00	a on je u Glavnoj Knjizi, u Nas, cijenjen i pun mudrosti.
005_00	Zar da odustanemo da vas opominjemo zato što svaku mjeru zla prelazite?
006_00	A koliko smo Mi prijašnjim narodima vjerovjesnika poslali
007_00	i nijedan im vjerovjesnik nije došao, a da mu se nisu narugali!
008_00	Zato smo uništavali one koji su od ovih moćniji bili, a ranije su isticane vijesti o narodima drevnim.
009_00	A ako ih upitaš ko je stvorio nebesa i Zemlju, oni će, sigurno, reći: "Stvorio ih je Allah" – Da, Silni i Sveznajući,
010_00	Onaj koji vam je Zemlju kolijevkom učinio i po njoj vam prolaze stvorio, da stignete kuda naumite;
011_00	Onaj koji s neba s mjerom spušta vodu, pomoću koje u život vraćamo mrtve predjele – tako ćete i vi biti oživljeni;
012_00	Onaj koji stvara stvorenja svake vrste i daje vam lađe i kamile da putujete,
013_00	da se leđima njihovim služite i da se, kad na njima jahali budete, blagodati Gospodara svoga sjetite i da reknete: "Hvaljen neka je Onaj koji je dao da nam one služe, mi to sami ne bismo mogli postići,
014_00	i mi ćemo se, sigurno, Gospodaru svome vratiti!"
015_00	A oni Njemu od robova Njegovih pripisuju dijete. Čovjek je, zaista, očiti nezahvalnik.
016_00	Zar da između onih koje On stvara uzima Sebi kćeri, a vas da daruje sinovima? –
017_00	a kad nekog od njih obraduju viješću da mu se rodila onā koju pripisuje Milostivom, lice mu se pomrači i postaje potišten.
018_00	Zar one koje u ukrasima rastu i koje su u prepirci bespomoćne?
019_00	Oni meleke, koji su robovi Milostivoga, ženama nazivaju. Zar su oni prisustvovali stvaranju njihovu? – Njihova tvrđenja biće zapisana i oni će odgovarati!
020_00	"Da Milostivi hoće" – govore oni – "mi im se ne bismo klanjali." Oni o tome ništa ne znaju, oni samo lažu.
021_00	Zar smo im prije Kur'ana dali Knjigu pa se nje pridržavaju?
022_00	Oni čak govore: "Mi smo zatekli pretke naše kako ispovijedaju vjeru i prateći ih u stopu mi smo na Pravom putu."
