001_00	Ta-Sin-Mim.
002_00	Dies sind die Zeichen des deutlichen Buches.
003_00	Wir verlesen dir von der Kunde über Musa und Fir'aun der Wahrheit entsprechend, für Leute, die glauben.
004_00	Gewiß, Fir'aun zeigte sich überheblich im Land und machte seine Bewohner zu Lagern, von denen er einen Teil unterdrückte, indem er ihre Söhne abschlachtete und (nur) ihre Frauen am Leben ließ.
004_01	Gewiß, er gehörte zu den Unheilstiftern.
005_00	Wir aber wollten denjenigen, die im Land unterdrückt wurden, eine Wohltat erweisen und sie zu Vorbildern machen und zu Erben machen,
006_00	ihnen eine feste Stellung im Land verleihen und Fir'aun, Haman und deren Heerscharen durch sie das erfahren lassen, wovor sie sich immer vorzusehen suchten.
007_00	Und Wir gaben der Mutter Musas ein: "Stille ihn.
007_01	Und wenn du um ihn fürchtest, dann setze ihn in das Wasser und fürchte dich nicht und sei nicht traurig. Wir werden ihn dir zurückbringen und ihn zu einem der Gesandten machen."
008_00	Da lasen ihn die Angehörigen Fir'auns auf, damit er ihnen zum Feind und (Grund zum) Kummer werde. Gewiß, Fir'aun, Haman und deren Heerscharen pflegten verfehlt zu handeln.
009_00	Die Frau Fir'auns sagte: "(Er wird) für mich und dich ein Grund zur Freude sein. Tötet ihn nicht. Vielleicht nützt er uns oder wir nehmen ihn als Kind an." Dabei merkten sie nicht (, was sie taten).
010_00	Und das Herz der Mutter Musas wurde leer. Beinahe hätte sie ihn fürwahr offen bekanntgegeben, wenn Wir nicht ihr Herz gestärkt hätten, damit sie zu den Gläubigen gehöre.
011_00	Und sie sagte zu seiner Schwester: "Folge seiner Spur." Sie beobachtete ihn von fern, ohne daß sie merkten.
012_00	Nun hatten Wir ihm zuvor die Ammenbrüste verwehrt. Da sagte sie: "Soll ich euch auf Hausleute hinweisen, die ihn für euch betreuen und ihm aufrichtig zugetan sein würden?"
013_00	So brachten Wir ihn zu seiner Mutter zurück, damit sie frohen Mutes und nicht mehr traurig sei und damit sie wissen sollte, daß Allahs Versprechen wahr ist. Aber die meisten von ihnen wissen nicht.
014_00	Und als er seine Vollreife und sein Ebenmaß erlangt hatte, gaben Wir ihm Urteil(skraft) und Wissen. So vergelten Wir den Gutes Tuenden.
015_00	Und er betrat die Stadt zu einer Zeit, als ihre Bewohner unachtsam waren. Da fand er darin zwei Männer, die miteinander kämpften, der eine war von seinem (eigenen) Lager, der andere von seinen Feinden.
015_01	Da rief ihn derjenige, der von seinem Lager war, zu Hilfe gegen denjenigen, der von den Feinden war. Dann schlug ihn Musa mit der Faust und brachte ihn so um.
015_02	Er sagte: "Das gehört zum Werk des Satans. Gewiß, er ist ein deutlicher Feind, der in die Irre führt."
016_00	Er sagte: "Mein Herr, ich habe mir selbst Unrecht zugefügt; so vergib mir." Da vergab Er ihm, denn Er ist ja der Allvergebende und Barmherzige.
017_00	Er sagte: "Mein Herr, darum, daß Du mir Gunst erwiesen hast, werde ich den Übeltätern nicht mehr Beistand leisten."
018_00	Am Morgen war er in der Stadt furchtsam und hielt (immer wieder) Ausschau. Auf einmal schrie derjenige, der ihn am Tag zuvor um Hilfe gebeten hatte, zu ihm um Beistand. Musa sagte zu ihm: "Du bist offenkundig einer, der wahrlich (zu Gewalttaten) verleitet."
019_00	Als er nun mit Gewalt denjenigen packen wollte, der ihrer beider Feind war, sagte dieser: "O Musa, willst du denn mich töten, wie du gestern eine (Menschen)seele getötet hast?
019_01	Du willst ja nur ein Gewalttäter im Land sein, und du willst nicht zu den Heilstiftern gehören."
020_00	Und es kam ein Mann vom äußersten Ende der Stadt gelaufen. Er sagte: "O Musa, die führende Schar berät über dich, um dich zu töten. So geh fort, gewiß, ich gehöre zu denjenigen, die dir guten Rat geben."
021_00	So ging er furchtsam aus ihr fort und hielt (immer wieder) Ausschau. Er sagte: "Mein Herr, errette mich von dem ungerechten Volk."
022_00	Und als er sich Madyan zuwandte, sagte er: "Vielleicht wird mein Herr mich den rechten Weg leiten."
023_00	Als er nun zum Wasser von Madyan kam, fand er dort eine (ganze) Gemeinschaft von Menschen, die (ihr Vieh) tränkten. Und er fand außer ihnen zwei Frauen, die (ihre Tiere) fernhielten.
023_01	Er sagte: "Was ist mit euch beiden?" Sie sagten: "Wir tränken (unsere Tiere) nicht, bis die Hirten (ihr Vieh) weggetrieben haben. Und unser Vater ist ein hochbetagter Greis."
024_00	Da tränkte er ihnen (ihre Tiere). Hierauf zog er sich zurück in den Schatten und sagte: "Mein Herr, ich bin dessen bedürftig, was Du auch immer an Gutem zu mir herabsendest."
025_00	Da kam die eine von den beiden zu ihm, indem sie verschämt einherging.
025_01	Sie sagte: "Mein Vater ruft dich, um dir den Lohn dafür zu entrichten, daß du uns (die Tiere) getränkt hast." Nachdem er zu ihm gekommen war und ihm die Geschichte berichtet hatte, sagte er: "Fürchte dich nicht; du bist dem ungerechten Volk entkommen."
026_00	Die eine von den beiden sagte: "O mein lieber Vater, nimm ihn in Dienst, denn der Beste, den du in Dienst nehmen kannst, ist der Starke und Vertrauenswürdige."
027_00	Er sagte: "Ich will dich mit einer dieser meiner beiden Töchter verheiraten unter der Bedingung, daß du acht Jahre in meinen Dienst trittst. Wenn du sie aber auf zehn vollmachst, so steht es bei dir.
027_01	Ich will dir keine Härte auferlegen. Du wirst mich, wenn Allah will, als einen der Rechtschaffenen finden."
028_00	Er sagte: "Dies sei zwischen mir und dir (abgemacht). Welche der beiden Fristen ich auch erfülle, so darf es keine Bedrängnis gegen mich geben. Und Allah ist Sachwalter über das, was wir (hier) sagen."
029_00	Als Musa die Frist erfüllt hatte und mit seinen Angehörigen fortzog, nahm er auf der Seite des Berges ein Feuer wahr.
029_01	Er sagte zu seinen Angehörigen: "Bleibt hier. Ich habe ein Feuer wahrgenommen; vielleicht kann ich euch davon eine Nachricht oder ein Stück brennendes Holz aus dem Feuer bringen, auf daß ihr euch (daran) wärmen könnt."
030_00	Als er dort ankam, wurde ihm vom rechten Ufer des Tales im gesegneten Fleck (Land) aus dem Baum zugerufen: "O Musa, gewiß, Ich bin Allah, der Herr der Weltenbewohner."
031_00	Und: "Wirf deinen Stock hin." Doch als er sah, daß er sich hin und her bewegte, als wäre er eine flinke Schlange, kehrte er den Rücken und wandte sich nicht mehr um. - "O Musa, komm her und fürchte dich nicht, denn du sollst zu denjenigen gehören, die in Sicherheit sind.
032_00	(Und) stecke die Hand in deinen Brustschlitz, so kommt sie weiß, jedoch nicht von Übel befallen, heraus. - Und zieh deinen Arm an dich gegen den Schreck.
032_01	- Dies sind zwei Beweise von deinem Herrn, (gerichtet) an Fir'aun und seine führende Schar. Gewiß, sie sind ein Volk von Frevlern."
033_00	Er sagte: "Mein Herr, ich habe eine (Menschen)seele von ihnen getötet, und so fürchte ich, daß sie mich töten.
034_00	Auch hat mein Bruder Harun eine redegewandtere Zunge. So sende ihn mit mir zur Unterstützung, mich zu bestätigen, denn ich furchte, daß sie mich der Lüge bezichtigen."
035_00	Er sagte: "Wir werden deinen Arm durch deinen Bruder festigen und euch beiden eine Ermächtigung erteilen, so daß sie nicht zu euch gelangen (können). Mit Unseren Zeichen werdet ihr und diejenigen, die euch folgen, Sieger sein."
036_00	Als nun Musa mit Unseren Zeichen als klare Beweise kam, sagten sie: "Das ist nur ersonnene Zauberei. Und wir haben so etwas bei unseren Vorvätern nicht gehört."
037_00	Musa sagte: "Mein Herr weiß besser, wer von Ihm her die Rechtleitung bringt und wem die letztendliche Wohnstätte gehören wird. Gewiß, den Ungerechten wird es nicht wohl ergehen."
038_00	Und Fir'aun sagte: "O ihr führende Schar, keinen anderen Gott weiß ich für euch als mich (selbst).
038_01	So entfache mir, o Haman, einen Brand auf Lehm, und mache mir einen Hochbau, auf daß ich zum Gott Musas emporsteige. Ich glaube fürwahr, daß er zu den Lügnern gehört."
039_00	Er und seine Heerscharen verhielten sich ohne Recht hochmütig auf der Erde und glaubten, daß sie (dereinst) nicht zu Uns zurückgebracht würden.
040_00	Da ergriffen Wir ihn und seine Heerscharen und warfen sie dann in das große Gewässer. So schau, wie das Ende der Ungerechten war.
041_00	Und Wir machten sie zu Anführern, die zum (Höllen)feuer einladen. Und am Tag der Auferstehung wird ihnen keine Hilfe zuteil werden.
042_00	Und Wir ließen ihnen einen Fluch im Diesseits nachfolgen, und am Tag der Auferstehung werden sie zu den Verabscheuten gehören.
043_00	Und Wir gaben ja Musa die Schrift -, nachdem Wir die früheren Geschlechter vernichteten, - als einsichtbringende Zeichen für die Menschen und als Rechtleitung und Barmherzigkeit, auf daß sie bedenken mögen.
044_00	Du warst nicht auf der westlichen Seite', als Wir Musa die Angelegenheit auftrugen, und du warst nicht zugegen.
045_00	Wir aber ließen Geschlechter entstehen, und es war ihnen ein langes Leben beschieden. Und du hattest dich nicht unter den Leuten von Madyan niederge lassen, um ihnen Unsere Zeichen zu verlesen. Wir aber entsandten immer wieder (Propheten).
046_00	Und du warst nicht auf der Seite des Berges, als Wir zuriefen. Aber (die Offenbarung ist) als Barmherzigkeit von deinem Herrn (zu dir gekommen), damit du Leute warnst, zu denen noch kein Warner vor dir gekommen ist, auf daß sie be denken mögen.
047_00	(Hätten Wir dich nicht entsandt), würden sie sagen, wenn sie ein Unglück trifft wegen dessen, was ihre Hände vorausgeschickt haben: "Unser Herr, hättest Du doch einen Gesandten zu uns gesandt, so daß wir Deinen Zeichen hätten folgen können und zu den Gläubigen'hätten gehören können!"
048_00	Als nun die Wahrheit von Uns her zu ihnen kam, sagten sie: "Wäre ihm doch das gleiche gegeben worden, was Musa gegeben wurde!" Haben sie denn nicht das verleugnet, was zuvor Musa gegeben wurde?
048_01	Sie sagen: "Zwei Zauberwerke, die einander beistehen." Und sie sagen: "Wir verleugnen sie alle (beide)."
049_00	Sag: Bringt doch eine Schrift von Allah bei, die eine bessere Rechtleitung enthält als diese beiden, so will ich ihr folgen, wenn ihr wahrhaftig seid.
050_00	Wenn sie nicht auf dich hören, so wisse, daß sie nur ihren Neigungen folgen.
050_01	Und wer ist weiter abgeirrt als jemand, der seiner Neigung folgt ohne Rechtleitung von Allah. Gewiß, Allah leitet das ungerechte Volk nicht recht.
051_00	Und Wir haben ihnen ja das Wort aufeinanderfolgend übermittelt, auf daß sie bedenken mögen.
052_00	Diejenigen, denen Wir vor ihm die Schrift gaben, glauben an ihn.
053_00	Und wenn er ihnen verlesen wird, sagen sie: "Wir glauben an ihn. Gewiß, es ist die Wahrheit von unserem Herrn. Wir waren ja schon vor ihm (Allah) ergeben."
054_00	Diese erhalten ihren Lohn zweimal dafür, daß sie standhaft waren. Und sie wehren mit dem Guten das Böse ab und geben von dem aus, womit Wir sie versorgt haben.
055_00	Und wenn sie unbedachte Rede hören, wenden sie sich davon ab und sagen: "Wir haben unsere Taten und ihr habt eure Taten (zu verantworten). Friede sei auf euch! Wir trachten nicht nach (dem Umgang mit) den Toren."
056_00	Gewiß, du kannst nicht rechtleiten, wen du gern (rechtgeleitet sehen) möchtest. Allah aber leitet recht, wen Er will. Er kennt sehr wohl die Rechtgeleiteten.
057_00	Und sie sagen: "Wenn wir der Rechtleitung mit dir folgen, werden wir von unserem Land fortgerissen." Haben Wir ihnen denn nicht eine feste Stellung in einem sicheren geschützten Bezirk verliehen, zu dem die Früchte jeder Art zusammengetragen werden als Versorgung von Uns aus?
057_01	Aber die meisten von ihnen wissen nicht.
058_00	Und wie (so) manche Stadt, die sich übermütig ihres Lebensunterhaltes erfreute, haben Wir vernichtet! Da sind nun ihre Wohnorte, die nach ihnen nicht mehr bewohnt wurden, bis auf wenige. Und Wir sind es, die Erben (all dessen) geworden sind.
059_00	Und dein Herr hätte nimmer die Städte vernichtet, bevor Er nicht in ihrem Mittelpunkt einen Gesandten hätte erstehen lassen, der ihnen Unsere Zeichen verliest. Und Wir hätten die Städte nimmer vernichtet, wenn ihre Bewohner nicht ungerecht gewesen wären.
060_00	Und was immer euch gegeben geworden ist, ist Genuß und Schmuck des diesseitigen Lebens. Was aber bei Allah ist, ist besser und beständiger. Begreift ihr denn nicht?
061_00	Ist denn einer, dem Wir ein schönes Versprechen gegeben haben und der es auch vorfinden wird, einem gleich, den Wir den Genuß des diesseitigen Lebens genießen lassen, der hierauf aber am Tag der Auferstehung zu den Vorgeführten gehören wird?
062_00	Und am Tag, da Er ihnen zuruft und sagt: "Wo sind (nun) Meine Teilhaber, die ihr stets angegeben habt?"
063_00	Diejenigen, gegen die sich das Wort bewahrheitet hat, sagen: "Unser Herr, diese, die wir in Verirrung haben fallen lassen, haben wir (nur) in Verirrung fallen lassen, wie wir selbst in Verirrung gefallen waren.
063_01	(Von ihnen) sagen wir uns vor Dir los. Nicht uns dienten sie ja."
064_00	Und es wird gesagt werden: "Ruft eure Teilhaber." Sie werden sie anrufen, aber sie werden ihnen nicht antworten. Und sie werden die Strafe sehen. Wenn sie sich hätten rechtleiten lassen (, wären sie gerettet gewesen).
065_00	Und am Tag, da Er ihnen zurufen wird und sagt: "Was habt ihr den Gesandten geantwortet?"
066_00	Ihren Blicken werden an jenem Tag die Beweise entzogen sein, und so fragen sie sich nicht mehr gegenseitig.
067_00	Was aber jemanden angeht, der bereut und glaubt und rechtschaffen handelt, der wird vielleicht zu denjenigen gehören, denen es wohl ergeht.
068_00	Und dein Herr erschafft, was Er will, und wählt. Ihnen aber steht es nicht zu, zu wählen. Preis sei Allah! Erhaben ist Er über das, was sie (Ihm) beigesellen.
069_00	Und dein Herr weiß, was ihre Brüste verhehlen und was sie offenlegen.
070_00	Und Er ist Allah. Es gibt keinen Gott außer Ihm. (Alles) Lob gehört Ihm in der diesseitigen und in der jenseitigen Welt! Ihm gehört das Urteil, und zu Ihm werdet ihr zurückgebracht.
071_00	Sag: Was meint ihr, wenn Allah auf euch die Nacht als Dauerzustand legen würde bis zum Tag der Auferstehung, wer wäre (dann) Gott außer Allah, Der euch Licht bringen würde? Wollt ihr denn nicht hören?
072_00	Sag: Was meint ihr, wenn Allah auf euch den Tag als Dauerzustand legen würde bis zum Tag der Auferstehung, wer wäre (dann) Gott außer Allah, Der euch eine Nacht bringen würde, in der ihr ruht?
072_01	Wollt ihr denn nicht einsichtig sein?
073_00	In Seiner Barmherzigkeit hat Er euch die Nacht und den Tag gemacht, damit ihr darin ruht und damit ihr (auch) nach etwas von Seiner Huld trachtet, und auf daß ihr dankbar sein möget.
074_00	Und am Tag, da Er ihnen zurufen wird und dann sagt: "Wo sind denn Meine Teilhaber, die ihr stets angegeben habt?"
075_00	Und Wir nehmen aus jeder Gemeinschaft einen Zeugen heraus, und da sagen Wir: "Bringt euren Beweis vor." Dann werden sie wissen, daß die Wahrheit Allah gehört. Und entschwunden wird ihnen sein, was sie zu ersinnen pflegten.
076_00	Gewiß, Qarun gehörte zum Volk Musas, doch unterdrückte er sie.
