001_00	Alif-Lam-Mim.
002_00	Die Römer sind besiegt worden
003_00	im nächstliegenden Land. Aber sie werden nach ihrer Niederlage (selbst) siegen,
004_00	in einigen Jahren. Allah gehört der Befehl vorher und nachher. An jenem Tag werden die Gläubigen froh sein
005_00	über Allahs Hilfe. Er hilft, wem Er will, und Er ist der Allmächtige und Barmherzige.
006_00	Das (ist) Allahs Versprechen. Allah bricht Sein Versprechen nicht, aber die meisten Menschen wissen nicht.
007_00	Sie kennen nur das Äußerliche vom diesseitigen Leben, während sie des Jenseits unachtsam sind.
008_00	Denken sie denn nicht in ihrem Inneren (darüber) nach?
008_01	Allah hat die Himmel und die Erde und was dazwischen ist nur in Wahrheit und (auf) eine festgesetzte Frist erschaffen. Aber viele von den Menschen verleugnen fürwahr die Begegnung mit ihrem Herrn.
009_00	Sind sie denn nicht auf der Erde umhergereist, so daß sie schauen (konnten), wie das Ende derjenigen war, die vor ihnen waren?
009_01	Sie hatten eine stärkere Kraft als sie, pflügten und bevölkerten das Land noch mehr, als sie es bevölkerten.
009_02	Und ihre Gesandten kamen zu ihnen mit den klaren Beweisen. Aber nimmer ist es Allah, der ihnen Unrecht getan hat, sondern sie selbst haben sich Unrecht zugefügt.
010_00	Hierauf war das Ende derjenigen, die Böses taten, das Schlechteste dafür, daß sie Allahs Zeichen für Lüge erklärt hatten und sich über sie lustig zu machen pflegten.
011_00	Allah macht die Schöpfung am Anfang und wiederholt sie hierauf. Dann werdet ihr zu Ihm zurückgebracht.
012_00	Und am Tag, da sich die Stunde erhebt, werden die Übeltäter ganz verzweifelt sein.
013_00	Sie haben dann an ihren Teilhabern keine Fürsprecher und werden ihre Teilhaber verleugnen.
014_00	Am Tag, da sich die Stunde erhebt, an jenem Tag werden sie sich in (Gruppen) teilen.
015_00	Was nun diejenigen angeht, die geglaubt und rechtschaffene Werke getan haben, so wird ihnen in einem Lustgarten Freude bereitet.
016_00	Was aber diejenigen angeht, die ungläubig waren und Unsere Zeichen und die Begegnung mit dem Jenseits für Lüge erklärt haben, sie werden zur Strafe vorge führt werden.
017_00	Preis sei daher Allah, wenn ihr den Abend erreicht und auch wenn ihr den Morgen erreicht!
018_00	Und Ihm gehört (alles) Lob in den Himmeln und auf der Erde, und abends, und wenn ihr den Mittag erreicht!
