001_00	Ha-Mim
002_00	Bei dem deutlichen Buch!
003_00	Wir haben es wahrlich in einer gesegneten Nacht herabgesandt - Wir haben ja (die Menschen) immer wieder gewarnt -,
004_00	in der jede weise Angelegenheit einzeln entschieden wird
005_00	als eine Angelegenheit von Uns aus - Wir haben ja immer wieder (Warner) gesandt -,
006_00	als eine Barmherzigkeit von deinem Herrn - gewiß, Er ist der Allhörende und Allwissende -,
007_00	dem Herrn der Himmel und der Erde und dessen, was dazwischen ist, wenn ihr überzeugt seid.
008_00	Es gibt keinen Gott außer Ihm. Er macht lebendig und läßt sterben, (Er), euer Herr und der Herr eurer Vorväter.
009_00	Aber nein! Sie sind im Zweifel und treiben ihr Spiel.
010_00	So erwarte den Tag, an dem der Himmel deutlichen Rauch hervorbringt,
011_00	der die Menschen überdecken wird. Das ist eine schmerzhafte Strafe.
012_00	"Unser Herr, nimm die Strafe von uns hinweg; wir sind (jetzt) ja gläubig."
013_00	Wie soll ihnen (jetzt) die Selbstbesinnung nützen, wo bereits ein deutlicher Gesandter zu ihnen kam,
014_00	sie sich hierauf aber von ihm abkehrten und sagten: "Einer, dem vorgesagt wird, ein Besessener"?
015_00	Wir werden die Strafe ein wenig hinwegnehmen. Ihr werdet sicher zurückkehren.
016_00	Am Tag, da Wir mit der größten Gewalt zupacken werden, gewiß, da werden Wir Vergeltung üben.
017_00	Und Wir setzten bereits vor ihnen das Volk Fir'auns der Versuchung aus. Zu ihnen kam ein edler Gesandter:
018_00	"Übergebt mir Allahs Diener. Gewiß, ich bin für euch ein vertrauenswürdiger Gesandter.
019_00	Und seid Allah gegenüber nicht überheblich. Gewiß, ich bringe euch eine deutliche Ermächtigung.
020_00	Und gewiß, ich nehme Zuflucht bei meinem Herrn und eurem Herrn davor, daß ihr mich steinigt.
021_00	Und wenn ihr mir nicht glaubt, dann haltet euch (wenigstens) fern von mir."
022_00	Da rief er zu seinem Herrn: "Diese sind ein Volk von Übeltätern."
023_00	- "Zieh bei Nacht mit Meinen Dienern fort; ihr werdet ja verfolgt werden.
024_00	Und laß das Meer in Ruhe zurück'. Gewiß, sie sind eine Heerschar, die ertränkt werden soll."
025_00	Wie viele Gärten und Quellen ließen sie zurück
026_00	und Getreidefelder und treffliche Stätte
027_00	und ein angenehmes Leben, in dem sie vergnügt waren!
028_00	So (war es). Und Wir gaben es anderen Leuten zum Erbe.
029_00	Weder Himmel noch Erde weinte über sie, und ihnen wurde kein Aufschub gewährt.
030_00	Und Wir erretteten bereits die Kinder lsra'ils von der schmachvollen Qual,
031_00	von Fir'aun. Er war überheblich und einer der Maßlosen.
032_00	Und Wir erwählten sie ja mit Wissen vor den (anderen) Weltenbewohnern
033_00	und ließen ihnen von den Zeichen solche zukommen, die eine deutliche Prüfung enthielten.
034_00	Diese sagen fürwahr:
035_00	"Es gibt nur unseren ersten Tod. Und wir werden nicht auferstehen.
036_00	Bringt doch unsere Väter zurück, wenn ihr wahrhaftig seid."
037_00	Sind sie etwa besser oder das Volk Tubba's und diejenigen vor ihnen? Wir vernichteten sie; sie waren ja Übeltäter.
038_00	Und Wir haben die Himmel und die Erde und was dazwischen ist, nicht zum Spiel erschaffen.
039_00	Wir haben sie nur in Wahrheit erschaffen. Aber die meisten von ihnen wissen nicht.
040_00	Gewiß, der Tag der Entscheidung ist ihrer aller festgesetzte Zeit,
041_00	der Tag, an dem kein Schutzherr seinem Schützling etwas nützen kann und ihnen keine Hilfe zuteil wird,
042_00	außer demjenigen, dessen Allah sich erbarmt. Er ist ja der Allmächtige und Barmherzige.
043_00	Gewiß, der Zaqqum-Baum
044_00	ist die Speise des Sünders;
045_00	wie siedendes Öl kocht er in den Bäuchen,
046_00	wie das heiße Wasser kocht.
047_00	"Nehmt ihn und schleppt ihn mitten in den Höllenbrand hinein.
048_00	Hierauf gießt über seinen Kopf von der Strafe des heißen Wassers.
049_00	Koste (doch); du bist ja der Mächtige und Edle!"
050_00	"Das ist (es) ja, worüber ihr zu zweifeln pflegtet."
051_00	Gewiß, die Gottesfürchtigen befinden sich an sicherer Stätte,
052_00	in Gärten und an Quellen.
053_00	Sie tragen (Gewänder) aus Seidenbrokat und schwerem Brokat (,) und (sie liegen) einander gegenüber.
054_00	So ist es. Und Wir geben ihnen als Gattinnen Huris mit schönen, großen Augen.
055_00	Sie rufen darin nach Früchten aller Art (und sind dort) in Sicherheit.
056_00	Sie kosten darin nicht den Tod, außer dem ersten Tod. Und Er bewahrt sie vor der Strafe des Höllenbrandes
057_00	als Huld von deinem Herrn. Das ist der großartige Erfolg.
058_00	Wir haben ihn in deiner Sprache wahrlich leicht gemacht, auf daß sie bedenken mögen.
059_00	Warte nun ab; auch sie warten ab.
