001_00	Denjenigen, die ungläubig sind und von Allahs Weg abhalten, läßt Er ihre Werke fehlgehen.
002_00	Denjenigen aber, die glauben und rechtschaffene Werke tun und an das glauben, was Muhammad offenbart worden ist - und es ist (ja) die Wahrheit von ihrem Herrn -, tilgt Er ihre bösen Taten und bessert ihren Gemütszustand.
003_00	Dies, weil diejenigen, die ungläubig sind, dem Falschen folgen, und diejenigen, die glauben, der Wahrheit von ihrem Herrn folgen. So prägt Allah den Menschen ihre Gleichnisse.
004_00	Wenn ihr auf diejenigen, die ungläubig sind, (im Kampf) trefft, dann schlagt den Hals. Wenn ihr sie schließlich schwer niedergeschlagen habt, dann legt (ihnen) die Fesseln fest an. Danach (laßt sie) als Wohltat frei oder gegen Lösegeld, bis der Krieg seine Lasten ablegt.
004_01	Dies (soll so sein)! Und wenn Allah wollte, würde Er sie wahrlich (allein) besiegen . Er will aber damit die einen von euch durch die anderen prüfen. Und denjenigen, die auf Allahs Weg getötet werden, wird Er ihre Werke nicht fehlgehen lassen;
005_00	Er wird sie rechtleiten und ihren Gemütszustand bessern
006_00	und sie in den (Paradies)garten eingehen lassen, den Er ihnen kenntlich gemacht hat.
007_00	O die ihr glaubt, wenn ihr Allah(s Sache) helft, hilft Er euch und festigt eure Füße.
008_00	Diejenigen aber, die ungläubig sind, so sollen sie (in Unglück) fallen! Und Er wird ihre Werke fehlgehen lassen.
009_00	Dies, weil ihnen zuwider ist, was Allah (als Offenbarung) herabgesandt hat, und so läßt Er ihre Werke hinfällig werden.
010_00	Sind sie denn nicht auf der Erde umhergereist, so daß sie schauen (konnten), wie das Ende derjenigen vor ihnen war? Allah hat über sie Zerstörung gebracht. Für die Ungläubigen wird es etwas dergleichen geben.
011_00	Dies, weil Allah der Schutzherr derjenigen ist, die glauben, und weil die Ungläubigen keinen Schutzherrn haben.
012_00	Allah läßt diejenigen, die glauben und rechtschaffene Werke tun, in Gärten eingehen, durcheilt von Bächen'.
012_01	Diejenigen aber, die ungläubig sind, genießen und essen (im Diesseits), wie das Vieh frißt; das (Höllen)feuer wird ein Aufent haltsort für sie sein.
013_00	Und wie viele Städte, die eine stärkere Kraft hatten als deine Stadt, die dich vertrieben hat, haben Wir vernichtet; und da hatten sie keine Helfer.
014_00	Ist denn einer, der sich auf einen klaren Beweis von seinem Herrn stützt, wie jemand, dem sein böses Tun ausgeschmückt wird (,) und (wie diejenigen,) die ihren Neigungen folgen?
015_00	Das Gleichnis des (Paradies)gartens, der den Gottesfürchtigen versprochen ist: Darin sind Bäche mit Wasser, das nicht schal wird, und Bäche mit Milch, deren Geschmack sich nicht ändert, und Bäche mit Wein, der köstlich ist für diejenigen, die (davon) trinken, und Bäche mit geklärtem Honig.
015_01	Und sie haben darin von allen Früchten und Vergebung von ihrem Herrn.
015_02	(Sind diese denn) jemandem gleich, der im (Höllen)feuer ewig bleibt und dem heißes Wasser zu trinken gegeben wird, das seine Gedärme zerreißt?
016_00	Und unter ihnen gibt es manche, die dir zuhören.
016_01	Wenn sie aber von dir hinausgehen, sagen sie zu denjenigen, denen das Wissen gegeben worden ist: "Was hat er eben gesagt?" Das sind diejenigen, deren Herzen Allah versiegelt hat und die ihren Neigungen folgen.
017_00	Und denjenigen, die rechtgeleitet sind, mehrt Er die Rechtleitung und verleiht ihnen ihre Gottesfurcht.
018_00	Erwarten sie denn etwas anderes, als daß die Stunde plötzlich über sie kommt? So sind ihre Vorzeichen bereits eingetroffen. Wie soll ihnen dann ihre Selbstbesinnung nützen, wenn sie über sie kommt?
019_00	Wisse also, daß es keinen Gott außer Allah gibt. Und bitte um Vergebung für deine Sünde und für die gläubigen Männer und die gläubigen Frauen. Allah kennt euren Wandel und euren Aufenthalt.
020_00	Und diejenigen, die glauben, sagen: "Wäre doch eine Sura offenbart worden!" Wenn aber eine eindeutige
020_01	Sura herabgesandt wird und darin der Kampf erwähnt wird, siehst du diejenigen, in deren Herzen
020_02	Krankheit ist, dich anschauen, wie einer schaut, der im Sterben ohnmächtig wird. Näherliegender wären für sie
021_00	Gehorsam und geziemende Worte. Wenn die Angelegenheit beschlossen ist, dann wäre es wahrlich besser für sie, sie würden Allah gegenüber wahrhaftig sein.
022_00	Werdet ihr vielleicht, wenn ihr euch abkehrt, auf der Erde Unheil stiften und eure Verwandtschaftsbande zerreißen?
023_00	Das sind diejenigen, die Allah verflucht; so macht Er sie taub und läßt ihr Augenlicht erblinden.
024_00	Denken sie denn nicht sorgfältig über den Qur'an nach? Oder sind an (diesen) Herzen deren Verriegelungen (angebracht)?
025_00	Gewiß, diejenigen, die den Rücken kehren, nachdem ihnen die Rechtleitung klar geworden ist, denen hat der Satan (etwas) eingeredet und Hoffnung auf Aufschub gemacht.
026_00	Dies, weil sie zu denjenigen sagen, denen zuwider ist, was Allah offenbart hat: "Wir werden euch in einigen Angelegenheiten gehorchen." Aber Allah weiß, was sie im geheimen sagen.
027_00	Wie (wird es sein), wenn die Engel sie abberufen, wobei sie ihre Gesichter und ihre Rücken schlagen?
028_00	Dies, weil sie dem folgen, was Allah mißfällt, und ihnen Sein Wohlgefallen zuwider ist, und so läßt Er ihre Werke hinfällig werden.
029_00	Oder meinen diejenigen, in deren Herzen Krankheit ist, Allah würde ihren Groll nicht zum Vorschein bringen?
