001_00	Bei den heftig Zerstreuenden,
002_00	dann den eine Last Tragenden,
003_00	dann den leicht Dahinziehenden,
004_00	dann den Angelegenheiten Regelnden,
005_00	sicherlich, was euch angedroht wird, ist wahr,
006_00	und das Gericht wird gewiß hereinbrechen.
007_00	Beim Himmel in seiner Vollkommenheit;
008_00	ihr äußert fürwahr unterschiedliche Reden.
009_00	Abwendig machen läßt sich davon, wer sich abwendig machen läßt.
010_00	Tod den Mutmaßern,
011_00	die in Versenkung zerstreut sind.
012_00	Sie fragen: "Wann wird denn der Tag des Gerichts sein?"
013_00	- Am Tag, da sie im Feuer geprüft werden.
014_00	"Kostet (nun) eure Prüfung. Das ist, was ihr zu beschleunigen wünschtet."
015_00	Gewiß, die Gottesfürchtigen werden in Gärten und an Quellen sein,
016_00	sie nehmen, was ihr Herr ihnen gegeben hat, denn sie pflegten davor Gutes zu tun.
017_00	Nur ein wenig pflegten sie in der Nacht zu schlafen,
018_00	und im letzten Teil der Nacht pflegten sie um Vergebung zu bitten,
019_00	und (sie gestanden) an ihrem Besitz dem Bettler und dem Unbemittelten ein Anrecht (zu).
020_00	Und auf der Erde gibt es Zeichen für die Überzeugten
021_00	und (auch) in euch selbst. Seht ihr denn nicht?
022_00	Und im Himmel ist eure Versorgung und das, was euch versprochen wird.
023_00	Beim Herrn des Himmels und der Erde, das ist gewiß so wahr, gleichermaßen wie ihr reden könnt.
024_00	Ist zu dir die Geschichte von den geehrten Gästen Ibrahims gekommen?
025_00	Als sie bei ihm eintraten und sagten: "Frieden!" Er sagte: "Friede! - Fremde Leute."
026_00	Er schlich sich zu seinen Angehörigen und brachte (zum Essen) dann ein ansehnliches Kalb her.
027_00	Er setzte es ihnen vor; er sagte: "Wollt ihr nicht essen?"
028_00	Er empfand in sich Furcht vor ihnen. Sie sagten: "Fürchte dich nicht." Und sie verkündeten ihm einen kenntnisreichen Jungen.
029_00	Da kam seine Frau in großem Geschrei herbei. Sie schlug sich ins Gesicht und sagte: "(Ich bin doch) eine alte, unfruchtbare Frau!"
030_00	Sie sagten: "So hat (es) dein Herr gesagt. Gewiß, Er ist der Allweise und Allwissende."
031_00	Er sagte: "Was ist nun euer Auftrag, ihr Boten?"
032_00	Sie sagten: "Wir sind zu einem Volk von Übeltätern gesandt,
033_00	um über sie Steine aus Lehm niederkommen zu lassen,
034_00	gekennzeichnet bei deinem Herrn für die Maßlosen."
035_00	Und so ließen Wir wer in ihr gläubig war, fortziehen.
036_00	Da fanden wir in ihr aber nur ein (einziges) Haus von (Allah) Ergebenen.
037_00	Und Wir hinterließen in ihr ein Zeichen für diejenigen, die die schmerzhafte Strafe fürchten.
038_00	Und in Musa, als Wir ihn zu Fir'aun mit einer deutlichen Ermächtigung sandten.
039_00	Da aber kehrte er sich ab samt seiner Stütze und sagte: "Ein Zauberer oder ein Besessener."
040_00	Da ergriffen Wir ihn und seine Heerscharen und warfen sie dann in das große Gewässer, denn er hatte sich Tadel zugezogen.
041_00	Und (auch) in den 'Ad, als Wir gegen sie den unheilvollen Wind sandten.
042_00	Nichts von (all) dem, worüber er kam, ließ er zurück, ohne es wie Zerfallenes werden zu lassen.
043_00	Und (auch) in den Tamud, als zu ihnen gesagt wurde: "Genießt für eine gewisse Zeit."
044_00	Sie lehnten sich gegen den Befehl ihres Herrn auf. Da ergriff sie der Donnerschlag, während sie hinschauten,
045_00	so konnten sie nicht (mehr) aufstehen und es wurde ihnen keine Hilfe zuteil.
046_00	Und (Wir vernichteten) zuvor (auch) das Volk Nuhs; gewiß, sie waren ein Volk von Frevlern.
047_00	Und den Himmel haben Wir mit Kraft aufgebaut, und Wir weiten (ihn) wahrlich (noch) aus.
048_00	Und die Erde haben Wir ausgebreitet. Wie trefflich haben Wir (sie) geebnet!
049_00	Und von allem haben Wir ein Paar erschaffen, auf daß ihr bedenken möget.
050_00	So flüchtet (nun) zu Allah. Gewiß, ich bin euch von Ihm ein deutlicher Warner.
051_00	Und setzt neben Allah keinen anderen Gott. Gewiß, ich bin euch von Ihm ein deutlicher Warner.
052_00	So kam auch zu denjenigen, die vor ihnen waren, kein Gesandter, ohne daß sie gesagt hätten: "Ein Zauberer oder ein Besessener."
053_00	Haben sie es denn einander eindringlich empfohlen? Nein! Vielmehr sind sie ein das Maß (an Frevel) überschreitendes Volk.
054_00	So kehre dich von ihnen ab; du bist (hierin) nicht zu tadeln.
055_00	Und ermahne, denn die Ermahnung nützt den Gläubigen.
056_00	Und Ich habe die Ginn und die Menschen nur (dazu) erschaffen, damit sie Mir dienen.
057_00	Ich will weder von ihnen irgendeine Versorgung, noch will Ich, daß sie Mir zu essen geben.
058_00	Gewiß, Allah ist der Versorger, der Besitzer von Kraft und der Feste .
059_00	Gewiß, für diejenigen, die Unrecht tun, wird es einen vorgesehenen Anteil geben wie den Anteil ihrer Gefährten; so sollen sie Mich nicht um Beschleunigung (der Strafe) bitten.
060_00	So wehe denjenigen, die ungläubig sind, vor ihrem Tag, der ihnen angedroht ist!
