001_00	Wir sandten ja Nuh zu seinem Volk: "Warne dein Volk, bevor schmerzhafte Strafe über sie kommt."
002_00	Er sagte: "O mein Volk, ich bin euch ja ein deutlicher Warner,
003_00	(euch zu mahnen:) Dient Allah und fürchtet Ihn, und gehorcht mir,
004_00	so wird Er euch (etwas) von euren Sünden vergeben und euch auf eine festgesetzte Frist zurückstellen. Gewiß, Allahs Frist, wenn sie kommt, kann nicht zurückgestellt werden, wenn ihr nur wüßtet!"
005_00	Er sagte: "Mein Herr, ich habe mein Volk bei Nacht und bei Tag aufgerufen.
006_00	Aber mein Rufen hat sie nur in ihrer Flucht bestärkt.
007_00	Gewiß, jedesmal, wenn ich sie aufrief, damit Du ihnen vergibst, steckten sie ihre Finger in ihre Ohren, überdeckten sich mit ihren Gewändern, verharrten (im Irrtum) und verhielten sich sehr hochmütig.
008_00	Hierauf richtete ich an sie den Ruf dann öffentlich.
009_00	Hierauf sprach ich zu ihnen offen und ganz im geheimen.
010_00	Ich sagte: .Bittet euren Herrn um Vergebung - Er ist ja Allvergebend -,
011_00	so wird Er den Regen auf euch ergiebig (herab)senden
012_00	und euch mit Besitz und Söhnen unterstützen und für euch Gärten machen und für euch Bäche machen.
013_00	Was ist mit euch, daß ihr nicht glaubt, von Allah würdevoll behandelt zu werden,
014_00	wo Er euch doch in Entwicklungsabschnitten erschaffen hat?
015_00	Seht ihr nicht, wie Allah sieben Himmel in Schichten (übereinander) erschaffen hat,
016_00	den Mond darin zu einem Licht gemacht und die Sonne zu einem Leuchtkörper gemacht hat?
017_00	Und Allah hat euch aus der Erde heranwachsen lassen.
018_00	Hierauf wird Er euch in sie zurückbringen und gewiß (wieder aus ihr) hervorbringen.
019_00	Und Allah hat euch die Erde zu einer ausgebreiteten Unterlage gemacht,
020_00	damit ihr auf ihr dahinziehen könnt - auf Wegen als breiten Durchgängen'."
021_00	Nuh sagte: "Mein Herr, sie haben sich mir widersetzt und sind jemandem gefolgt, dem sein Besitz und seine Kinder nur den Verlust mehren.
022_00	Und sie haben ungeheure Ränke geschmiedet.
023_00	Und sie haben gesagt: .Verlaßt doch nicht eure Götter; verlaßt doch nicht Wadd, noch Suwa", noch Yagut,Ya'uq und Nasr.'
024_00	Sie haben ja viele in die Irre geführt. So lasse die Ungerechten nur noch tiefer in die Irre gehen."
025_00	Wegen ihrer Verfehlungen wurden sie ertränkt und dann in ein (Höllen)feuer hineingebracht. Und da fanden sie für sich außer Allah keine Helfer.
026_00	Und Nuh sagte: "Mein Herr, lasse auf der Erde von den Ungläubigen nicht einen einzigen Bewohner.
027_00	Denn, gewiß, wenn Du sie (leben) läßt, führen sie Deine Diener in die Irre und zeugen nur Sittenlose und sehr beharrliche Ungläubige.
028_00	Mein Herr, vergib mir und meinen Eltern und demjenigen, der als Gläubiger mein Haus betritt, und den gläubigen Männern und den gläubigen Frauen. Und stürze die Ungerechten nur noch tiefer ins Verderben."
