001_00	O du Zugedeckter,
002_00	stehe auf und warne;
003_00	und deinen Herrn, Den preise als den Größten,
004_00	und deine Gewänder, die reinige,
005_00	und die (Unreinheit des) Götzen(dienstes), die meide,
006_00	und halte nicht (deinen Verdienst) vor, und halte ihn nicht für zu groß,
007_00	und ertrage standhaft (alles) für deinen Herrn.
008_00	Wenn dann ins Horn gestoßen wird,
009_00	so wird jener Tag ein schwerer Tag sein
010_00	für die Ungläubigen nicht leicht.
011_00	Lasse Mich (allein) mit wem Ich allein erschaffen habe,
012_00	und dem Ich ausgedehnten Besitz gegeben habe
013_00	und Söhne (als ständige Begleiter) anwesend
014_00	und dem Ich alles schön zurechtgemacht habe;
015_00	doch begehrt er hierauf, daß Ich (ihm) noch mehr gebe.
016_00	Keineswegs! Er ist gegen Unsere Zeichen wiederholt widerspenstig gewesen.
017_00	Ich werde ihn mit Beschwerlichem bedrücken.
018_00	Er hat ja nachgedacht und abgewogen.
019_00	Tod ihm, wie er abgewogen hat!
020_00	Abermals: Tod ihm, wie er abgewogen hat!
021_00	Hierauf hat er geschaut,
022_00	hierauf hat er düster geblickt und ein finsteres Gesicht gemacht,
023_00	hierauf hat er den Rücken gekehrt und ist hochmütig geblieben.
024_00	Er sagt: "Das ist nur Zauberei, die überliefert wird.
025_00	Das sind nur die Worte von Menschenwesen."
026_00	Ich werde ihn der Saqar aussetzen.
027_00	Und was läßt dich wissen, was Saqar ist?
028_00	Sie läßt nichts übrig und läßt nichts bestehen.
029_00	Sie verändert die Menschen ganz.
030_00	Über ihr gibt es neunzehn (Wächter).
031_00	Wir haben als Wächter des (Höllen)feuers nur Engel eingesetzt, und Wir haben ihre Zahl nur zu einer Versuchung gemacht für diejenigen, die ungläubig sind, damit diejenigen Überzeugung
031_01	gewinnen, denen die Schrift gegeben wurde, und damit diejenigen, die glauben, an Glauben zunehmen, und damit diejenigen, denen die Schrift gegeben wurde, und (auch) die Gläubigen nicht
031_02	zweifeln und damit diejenigen, in deren Herzen Krankheit ist, und (auch) die Ungläubigen sagen: "Was will denn Allah damit als Gleichnis?" So läßt Allah in die Irre
031_03	gehen, wen Er will, und leitet recht, wen Er will. Aber niemand weiß über die Heerscharen deines Herrn Bescheid außer Ihm. Und es ist nur eine Ermahnung für die Menschenwesen.
032_00	Keineswegs! Beim Mond
033_00	und (bei) der Nacht, wenn sie den Rücken kehrt,
034_00	und (bei) dem Morgen, wenn er erstrahlt,
035_00	sie ist wahrlich eine der größten (Heimsuchungen)
036_00	zur Warnung für die Menschenwesen,
037_00	für jemanden von euch, der vorankommen oder zurückbleiben will.
038_00	Jede Seele haftet für das, was sie erworben hat,
039_00	außerdem die Gefährten von der rechten Seite;
040_00	sie werden sich in Gärten befinden, und sie werden einander fragen
041_00	nach den Übeltätern:
042_00	"Was hat euch in Saqar geführt?"
043_00	Sie werden sagen: "Wir gehörten nicht zu denjenigen, die beteten,
044_00	und wir pflegten nicht den Armen zu speisen,
045_00	und wir pflegten auf schweifende Reden mit denjenigen einzugehen, die solche führten,
046_00	und wir erklärten stets den Tag des Gerichts für Lüge
047_00	bis die Gewißheit zu uns kam."
048_00	Nun nützt ihnen die Fürsprache derjenigen nicht, die Fürsprache einlegen (können).
049_00	Was ist denn mit ihnen, daß sie sich von der Ermahnung abwenden,
050_00	als wären sie aufgeschreckte Wildesel,
051_00	die vor einem Löwen fliehen?
052_00	Aber nein! Jedermann von ihnen will, daß ihm aufgeschlagene Blätter zukommen.
053_00	Keineswegs! Vielmehr fürchten sie nicht das Jenseits.
054_00	Keineswegs! Er ist ja eine Erinnerung.
055_00	Wer nun will, gedenkt seiner.
056_00	Sie werden aber (seiner) nicht gedenken, außer daß Allah es will. Ihm gebührt die Gottesfurcht und Ihm gebührt die Vergebung.
