001_00	Alif, Lam, Ra.Esos son los signos del Libro claro.
002_00	Lo hemos hecho descender como una recitación* árabe para que quizás razonéis.
003_00	Vamos a contarte la más hermosa de las historias al inspirarte esta Recitación, antes de la cual estabas inadvertido.
004_00	Cuando Yusuf dijo a su padre: ¡Padre mío! He visto once estrellas, al sol y a la luna; y los he visto postrados ante mí.
005_00	Dijo: ¡Hijo mío! No cuentes tu visión a tus hermanos porque si lo haces tramarán algo contra ti, verdaderamente el Shaytán es un claro enemigo para el hombre.
006_00	Así es como tu Señor te ha escogido y te enseñará parte de la interpretación de los relatos, completando Su bendición sobre ti y sobre la familia de Yaqub, como ya hizo anteriormente con tus abuelos Ibrahim e Ishaq.
006_01	Es cierto que tu Señor es Conocedor y Sabio.
007_00	Y ciertamente que en Yusuf y sus hermanos hay signos para los que preguntan.
008_00	Cuando dijeron: Yusuf y su hermano son más amados para nuestro padre que nosotros a pesar de que somos todo un clan; nuestro padre está en un claro error.
009_00	Matad a Yusuf o abandonadlo en una tierra cualquiera para que así el rostro de vuestro padre se vuelva únicamente a vosotros. Y una vez que lo hayáis hecho podréis ser gente recta*.
010_00	Y dijo uno de ellos: ¡No matéis a Yusuf! Arrojadlo al fondo del aljibe y así podrá recogerlo algún viajero, ya que estáis decididos a hacerlo.
011_00	Dijeron: ¡Padre! ¿Qué te ocurre que no nos confías a Yusuf cuando nosotros somos para él buenos consejeros?
012_00	Mándalo mañana con nosotros, pastoreará y jugará y estaremos al cuidado de él.
013_00	Dijo: Me entristece que os lo llevéis y temo que se lo coma el lobo mientras estáis descuidados de él.
014_00	Dijeron: Si el lobo se lo comiera siendo, como somos, todo un clan, sería nuestra perdición.
015_00	Y una vez que se lo hubieron llevado y hubieron acordado que lo arrojarían al fondo del aljibe, le inspiramos: "Algún día les harás saber lo que han hecho y no se darán cuenta."
016_00	Al anochecer se presentaron ante su padre llorando.
017_00	Dijeron: ¡Padre! Nos fuimos a hacer carreras y dejamos a Yusuf junto a nuestras cosas y el lobo se lo comió y aunque no nos vas a creer, decimos la verdad.
018_00	Y enseñaron una túnica con sangre falsa. Dijo: ¡No! Vuestras almas os han inducido a algo, pero hermosa paciencia y en Allah es en Quien hay que buscar ayuda contra lo que contáis.
