001_00	¡Hombres! Temed a vuestro Señor, pues en verdad el temblor de la Hora será algo terrible.
002_00	El día que la veáis, las mujeres que estén amamantando se despreocuparán de lo que estén amamantando y las embarazadas darán a luz
002_01	lo que lleven en sus vientres y verás a los hombres ebrios pero no estarán ebrios, sino que el castigo de Allah será intenso.
003_00	Pero hay algunos que te discuten sobre Allah sin conocimiento y siguen a todo demonio rebelde.
004_00	Se ha prescrito en relación a él, que quien lo tome por protector, será extraviado y lo conducirá al castigo del Sa´ir.
005_00	¡Hombres! Si estáis en duda sobre la vuelta a la vida... Ciertamente os creamos a partir de tierra, de una gota de esperma,
005_01	de un coágulo, de carne bien formada o aún sin formar, para hacéroslo claro.Y en las matrices vamos conformando lo que queremos hasta
005_02	que se cumple un plazo determinado y luego hacemos que salgáis siendo niños y que después alcancéis la madurez; y de vosotros hay
005_03	unos que son llevados y otros a los que dejamos llegar hasta la edad más decrépita de la vida para que después de
005_04	haber sabido no sepan nada.Y ves la tierra yerma, pero cuando hacemos caer agua sobre ella se agita, se hincha y da toda clase de espléndidas especies.
006_00	Eso es porque Allah es la Verdad y porque Él da vida a lo muerto y tiene poder sobre todas las cosas.
007_00	Y porque la Hora viene, no hay duda en ello, y Allah levantará a los que están en las tumbas.
008_00	Hay hombres que discuten sobre Allah sin tener conocimiento, ni guía, ni Libro luminoso.
009_00	Dando la espalda con soberbia para extraviarse del camino de Allah. Tendrán deshonra en esta vida, y en el Día del Levantamiento el castigo del Hariq.
010_00	Esto es por lo que sus manos presenten y porque Allah no es injusto con los siervos.
011_00	Y hay hombres que adoran a Allah como al borde de un precipicio; si les viene un bien se tranquilizan con ello pero si les viene una prueba cambian de cara perdiendo esta vida y la otra.
011_01	Esa es la auténtica perdición.
012_00	Invocan fuera de Allah lo que ni les daña ni les beneficia. Ese es el profundo extravío.
013_00	Invocan a aquel cuyo daño está más próximo que su beneficio. ¡Qué mal protector y qué mal compañero!
014_00	Es cierto que Allah hará entrar a quienes creen y practican las acciones de bien en jardines por cuyo suelo corren los ríos. Verdaderamente Allah hace lo que quiere.
015_00	Quien piense que Allah no va a ayudarle* en esta vida y en la Última que eche una cuerda al techo* y se ahorque, y que mire si con esa treta elimina lo que le mortificaba.
016_00	Así es como lo hemos hecho descender en signos claros, es cierto que Allah guía a quien quiere.
017_00	Los que creen, los que practican el judaísmo, los sabeos, los cristianos, los adoradores del fuego y los que asocian...
017_01	Allah hará distinciones entre ellos el Día del Levantamiento, realmente Allah es Testigo de cada cosa.
018_00	¿Es que no ves que ante Allah se postra cuanto hay en los cielos y en la tierra, el sol, la luna, las estrellas, los árboles, las bestias y muchos de los hombres?
018_01	Y hay muchos también que deben ser castigados.A quien Allah envilece no hay quien lo honre, es cierto que Allah hace lo que quiere.
019_00	Son dos adversarios que discuten sobre su Señor.A los que no creyeron se les cortarán vestidos de fuego y se les derramará agua hirviendo sobre la cabeza.
020_00	Con ella se derretirá lo que haya en sus vientres y la piel.
021_00	Y habrá para ellos mazas de hierro.
022_00	Cada vez que angustiados quieran salir de allí, serán devueltos. ¡Gustad el castigo del Hariq!
023_00	Es cierto que Allah hará que los que creen y practican las acciones de bien entren en jardines por
023_01	cuyo suelo corren los ríos; allí serán adornados con brazaletes de oro y perlas y su vestido será seda.
024_00	Dirigíos a la palabra buena, dirigíos al camino digno de alabanza.
025_00	En verdad que a los que se niegan a creer y apartan del camino de Allah y de la Mezquita Inviolable que hemos establecido para los hombres,
025_01	tanto para el residente en ella como para el visitante, y a los que busquen en ella cualquier desviación con injusticia, les haremos probar un doloroso castigo.
026_00	Y cuando preparamos para Ibrahim el lugar de la Casa: No asocies nada conmigo, purifica Mi casa para los que dan vueltas alrededor de ella y los que rezan en pie, inclinados y postrados.
027_00	Y llama a la gente a la Peregrinación, que vengan a ti a pie o sobre cualquier montura, que vengan desde cualquier remoto camino.
028_00	Para que den testimonio de los beneficios que han recibido y mencionen el nombre de Allah en días determinados sobre los animales de rebaño que les ha proporcionado.
028_01	Así pues comed de ellos y alimentad al desvalido y al necesitado.
029_00	Luego que se limpien de la suciedad, que cumplan sus votos y que den las vueltas a la Casa Antigua.
030_00	Así ha de ser, y quien sea reverente con las cosas inviolables de Allah, será mejor para él ante su Señor.
030_01	Son lícitos para vosotros los animales de rebaño con la excepción de los que se os han mencionado. Pero absteneos de la abominación que son los ídolos así como de la palabra falsa.
031_00	Reconociendo la unidad de Allah* y sin asociarle nada.Quien asocia algo a Allah es como si se cayera del cielo y las aves de rapiña se lo llevaran o el viento lo remontara hasta un lugar lejano.
032_00	Así es; y quien sea reverente con los ritos de Allah... ello es parte del temor de los corazones.
033_00	En ellos hay beneficios para vosotros hasta un término fijado, luego su conclusión* tiene lugar en la Casa Antigua.
034_00	Para cada comunidad hemos instituido un lugar de ritos, para que mencionen el nombre de Allah sobre las cabezas de ganado que les hemos proporcionado.Así pues, vuestro dios es un Único Dios, someteos a Él.
034_01	Y anuncia las buenas noticias a los sumisos.
035_00	Esos cuyo corazón se estremece cuando el nombre de Allah es mencionado y tienen paciencia con lo que les viene.Esos que establecen el salat y gastan de la provisión que les damos.
036_00	Y hemos hecho para vosotros los camellos corpulentos como parte de los ritos de Allah, en ellos tenéis un bien.
036_01	Recordad el nombre de Allah sobre ellos cuando estén alineados y una vez hayan caído sobre sus costados; después comed de ellos y alimentad a los necesitados y a los mendigos. Así es como os los hemos subyugado para que quizás fuerais agradecidos.
037_00	Ni su sangre ni su carne ascienden a Allah, lo que llega a Allah es vuestro temor de Él.
037_01	Así es como os los ha puesto a vuestro servicio para que ensalcéis a Allah por haberos guiado.Y da las buenas noticias a los que hacen el bien.
038_00	Es cierto que Allah defiende a los que creen. Allah no ama a ningún traidor, renegado.
039_00	A quienes luchen por haber sido víctimas de alguna injusticia, les está permitido luchar y verdaderamente Allah tiene poder para ayudarles.*
040_00	Los que fueron expulsados de sus casas sin derecho, sólo porque habían dicho: Nuestro Señor es Allah.
040_01	Si Allah no se hubiera servido de unos hombres para combatir a otros, habrían sido destruidas ermitas, sinagogas, oratorios y mezquitas, donde se menciona en abundancia el nombre de Allah.
040_02	Es cierto que Allah ayudará a quien Le ayude. Verdaderamente Allah es Fuerte y Poderoso.
