001_00	Alif, Lam, Mim
002_00	¿Es que cuentan los hombres con que se les va a dejar decir: creemos y no van a ser puestos a prueba?
003_00	Es verdad que ya probamos a los que les precedieron. Para que Allah sepa quiénes son sinceros y quiénes son los falsos.
004_00	¿O acaso creen los que hacen el mal que podrán escapar de Nosotros? ¡Qué mal juzgan!
005_00	Quien está a la espera del encuentro con Allah... El plazo de Allah llegará y Él es Quien oye y Quien sabe.
006_00	Y quien se esfuerce, no lo hará sino en beneficio propio; realmente Allah es Rico y no necesita de las criaturas.
007_00	Y a los que crean y lleven a cabo las acciones de bien, les cubriremos sus malas acciones y los recompensaremos por lo mejor que hayan hecho.
008_00	Hemos encomendado al hombre tratar con bondad a sus padres, pero si luchan contra ti para que asocies conmigo algo de
008_01	lo que no tienes conocimiento, entonces no los obedezcas.Habréis de volver a Mí y os haré saber lo que hayáis hecho.
009_00	Y a los que creen y llevan a cabo las acciones de bien los incluiremos entre los justos.
010_00	Hay hombres que dicen: Creemos en Allah, pero cuando sufren algún perjuicio por la causa de Allah, equiparan la prueba de los hombres al castigo de
010_01	Allah.Y si viene una victoria gracias a tu Señor, dicen: Realmente estábamos con vosotros.¿Es que no sabe Allah mejor lo que encierran los pechos de las criaturas?
011_00	Y sabe perfectamente quiénes creen y quiénes son hipócritas.
012_00	Y dicen los que se niegan a creer a quienes creen: ¡Seguid nuestro camino y cargaremos con vuestras faltas!Pero ellos no van a cargar con ninguna de sus faltas, son realmente mentirosos.
013_00	Pero lo que sí es cierto es que tendrán que cargar con sus faltas y con otras además y el Día del Levantamiento se les preguntará por lo que inventaban.
014_00	Y he aquí que enviamos a Nuh a su gente y estuvo con ellos mil años menos cincuenta. La inundación los sorprendió mientras eran injustos.
015_00	Pero a él y a los que iban en la nave los pusimos a salvo, e hicimos de ella un signo para todo el mundo.
016_00	E Ibrahim cuando le dijo a su gente: ¡Adorad a Allah y temedle, ello es mejor para vosotros si sabéis!
017_00	En realidad lo que adoráis fuera de Allah sólo son ídolos y estáis creando una mentira; ésos que adoráis fuera de Allah no
017_01	tienen poder para daros sustento; así pues buscad la provisión junto a Allah y adoradlo y agradecedle, porque a Él habéis de volver.
018_00	Pero si negáis la verdad…Ya lo hicieron naciones anteriores a vosotros.Al Mensajero sólo le incumbe transmitir con claridad.
019_00	¿Es que no ven cómo Allah crea una primera vez y luego lo hace de nuevo? Realmente eso es simple para Allah.
020_00	Di: ¡Id por la tierra y mirad cómo empezó la creación!Luego Allah hará surgir la última creación, es cierto que Allah tiene poder sobre todas las cosas.
021_00	Castiga a quien quiere y se apiada de quien quiere.A Él habréis de retornar.
022_00	No tendréis escape ni en la tierra ni en cielo, ni tendréis fuera de Allah ni protector ni defensor.
023_00	Y los que se niegan a creer en los signos de Allah y en el encuentro con Él, ésos desesperan de Mi misericordia y tendrán un doloroso castigo.
