001_00	Ha, Mim.
002_00	Por el Libro clarificador*
003_00	Lo hemos hecho una Recitación árabe para que pudierais entender.
004_00	Está en la madre del Libro*, ante Nos es sublime, sabio.
005_00	¿Acaso íbamos a privaros del Recuerdo* dejándoos de lado porque sois gente que se excede?
006_00	Y ¿cuántos profetas enviamos a las primeras comunidades?
007_00	No les llegó ningún profeta del que no se burlaran.
008_00	Destruimos a los que de ellos tenían más poderío y el ejemplo de los antiguos forma parte del pasado.
009_00	Y si les preguntas quién creó los cielos y la tierra te dirán que los creó el Poderoso, el Conocedor.
010_00	Él que ha hecho de la tierra un lecho para vosotros y en ella os ha puesto caminos para que pudierais guiaros.
011_00	Y Él que hace que caiga agua del cielo en una medida y con ella devolvemos la vida a una tierra muerta.Así seréis sacados (de las tumbas).
012_00	Él que ha creado todas las especies y os ha dado naves y animales en que montar.
013_00	Para que tomarais asiento sobre sus lomos y luego, una vez asentados, recordarais la merced de vuestro Señor y dijerais: Gloria a Aquel que nos subordinó esto, ya que nosotros no habríamos sido capaces de hacerlo.
014_00	Y verdaderamente hemos de retornar a nuestro Señor.
015_00	Sin embargo Le han atribuido de Sus siervos una parte*;realmente el hombre es un ingrato declarado.
016_00	¿O es que iba a tomar, entre Su creación, hijas, escogiendo para vosotros hijos?
017_00	Si cuando a uno de ellos le anuncian (el nacimiento) de lo que atribuye al Misericordioso, se le muda el semblante ensombreciéndose y tiene que contener la ira.
018_00	¿O a quien se cria con adornos y no es claro en la discusión?*
019_00	Y tienen a los ángeles, que están junto al Misericordioso, por hembras. ¿Han sido acaso testigos de su creación? Escribiremos su testimonio y serán preguntados.
020_00	Y dicen: sí el Misericordioso quisiera no los adoraríamos.No tienen conocimiento de esto, sólo hacen conjeturas.
021_00	¿O es que les hemos dado un libro anterior a éste en el que se basan con solidez?
022_00	Pero no, sino que dicen: Encontramos a nuestros padres siguiendo una determinada forma de vida y nos hemos guiado por sus huellas.
023_00	Así mismo, antes de ti, no enviamos ningún advertidor a una ciudad sin que sus magnates no dijeran: Encontramos a nuestros padres en una determinada forma de vida y nos hemos dejado llevar por sus huellas.
024_00	Di: ¿Y si yo os hubiera traído una guía mejor que aquélla en la que encontrasteis a vuestros padres? Dicen: No creemos en aquello con lo que habéis sido enviados.
025_00	Y nos vengamos de ellos. Mira cómo acabaron los que negaron la verdad.
026_00	Y cuando Ibrahim les dijo a sus padres y a su gente: Y estoy libre de lo que adoráis.
027_00	Pero no de Aquel que me ha creado. Él me guiará.
028_00	E hizo de ello una palabra que quedó en su posteridad para que pudieran volverse (a Allah).
029_00	Sin embargo a éstos los he dejado que disfruten, al igual que a sus padres, hasta que les ha llegado la verdad y un mensajero explícito.
030_00	Pero cuando la verdad les ha llegado, han dicho: Esto es magia, nosotros no nos lo creemos.
031_00	Y han dicho: ¿Por qué no se le ha hecho descender esta Recitación a un hombre importante de las dos ciudades*?
032_00	¿Acaso son ellos los que reparten la misericordia de Allah?Nosotros repartimos entre ellos sus medios de vida en este mundo y hemos elevado en
032_01	grados a unos sobre otros, para que unos tomaran a su servicio a otros.Pero la misericordia de tu Señor es mejor que lo que reúnen.
033_00	Y si no fuera porque los hombres acabarían siendo una única comunidad*, habríamos hecho que las casas de los que niegan al Misericordioso tuvieran techos de plata y escalinatas para subir por ellas.
034_00	Y habríamos hecho que sus casas tuvieran puertas y lechos* sobre los que reclinarse
035_00	y adornos de oro. Sin embargo todo esto no es mas que el disfrute de la vida del mundo mientras que la Última Vida, junto a tu Señor, será para los que Le teman.
036_00	Y al que está ciego para el recuerdo del Misericordioso le asignamos un demonio que se convierte en su compañero inseparable.
037_00	Y éstos les apartan del camino mientras ellos se creen guiados.
038_00	Así cuando llega a Nos, le dice: ¡Ay de mí! Ojalá hubiera entre tú y yo la distancia de los dos orientes* ¡Qué mal compañero!
039_00	Hoy no os servirá de nada que estéis asociados en el castigo puesto que fuisteis injustos.
040_00	¿Acaso tú puedes hacer que el sordo oiga o puedes guiar al ciego o al que está en un claro extravío?
041_00	Y si hacemos que te vayas nos vengaremos de ellos.
042_00	O te mostraremos lo que les hemos prometido, realmente tenemos poder sobre ellos.
043_00	Aférrate pues a lo que te hemos inspirado, es cierto que tú estás en un camino recto.
044_00	Y que él* es un recuerdo para ti y para tu gente.Seréis preguntados.
045_00	Pregunta a Nuestros mensajeros, a los que enviamos antes de ti. ¿Acaso establecimos que aparte del Misericordioso hubiera otros dioses que adorar?
046_00	Y así fue como enviamos a Musa con Nuestros signos a Firaún y su consejo, y dijo: Yo soy el mensajero del Señor de los mundos.
047_00	Pero cuando les trajo Nuestros signos, se rieron de ellos.
048_00	A pesar de que no les mostramos ningún signo que no fuera mayor que su compañero. Y los sorprendimos con el castigo para que pudieran volverse, arrepentidos.
049_00	Dijeron: ¡Eh tú, mago!, pide por nosotros a tu Señor en virtud de lo que ha pactado contigo y nosotros seguiremos la guía.
050_00	Pero cuando les levantamos el castigo no cumplieron.
051_00	Y llamó Firaún a su gente, dijo: ¡Gente mía! ¿Acaso no me pertenece la soberanía de Misr* y estos ríos que corren a mis pies? ¿Es que no lo veis?
052_00	¿Acaso no soy yo mejor que éste, que es insignificante y apenas puede explicarse?
053_00	¿Cómo es que no ha recibido ningún brazalete de oro o han venido con él los ángeles en grupo?
054_00	Buscó el punto débil de su pueblo y le obedecieron, realmente eran gente descarriada.
055_00	Y cuando causaron Nuestro enojo, nos vengamos de ellos y los ahogamos a todos.
056_00	E hicimos de ellos un precedente y un ejemplo para los que vinieran después.
057_00	Y cuando se pone como ejemplo al hijo de Maryam, tu gente se aparta de él.
058_00	Y dicen: ¿Son mejores nuestros dioses o él? No te ponen esta comparación sino para discutirte, son gente de disputa*. Entonces los Quraysh se rieron y el Profeta calló hasta que Allah hizo descender la aleya: "Aquellos para los que se ha decretado previamente de Nuestra parte lo más hermoso, el Jardín, serán alejados de él, el Fuego"; y también descendió esta aleya.]
059_00	No es sino un siervo al que favorecimos y al que hicimos un ejemplo para los hijos de Israel.
060_00	Y si hubiéramos querido habríamos puesto en la tierra, en vez de vosotros*, ángeles que se sucedieran unos a otros*.
061_00	Y es cierto que él* es un conocimiento de la Hora, así pues no dudéis de ella y seguidme.Esto es un camino recto.
062_00	Y que el Shaytán no os desvíe, él es para vosotros un claro enemigo.
063_00	Y cuando vino Isa con las evidencias, dijo: He venido a vosotros con la sabiduría y a haceros claro parte de aquello en lo que no estáis de acuerdo; así que temed a Allah y obedecedme.
064_00	Allah es mi Señor y el vuestro, adoradlo; esto es un camino recto.
065_00	Pero las distintas facciones que había entre ellos discreparon.¡Ay de aquéllos que fueron injustos por el castigo de un día doloroso!
066_00	¿Qué esperan sino que les llegue la Hora de repente sin que se den cuenta?
067_00	Ese día los amigos serán enemigos unos de otros, pero no así los que tengan temor (de Allah).
068_00	¡Oh siervos míos! Hoy no tendréis nada que temer ni os entristeceréis.
069_00	Los que creyeron en Nuestros signos y fueron musulmanes.
070_00	Entrad en el Jardín vosotros y vuestras esposas y sed agasajados.
071_00	Circularán entre ellos con platos de oro y copas en las que habrá lo que las almas deseen y les sea dulce a los ojos.En él seréis inmortales.
072_00	Y este es el Jardín que habréis heredado por lo que hayáis hecho.
073_00	En él hay abundante fruta de la que comeréis.
074_00	Es cierto que los que hayan hecho el mal serán inmortales en el castigo de Yahannam.
075_00	No se les aliviará ni tendrán allí esperanza.
076_00	Y no habremos sido injustos con ellos, sino que ellos habrán sido injustos consigo mismos.
077_00	Y pedirán a gritos: ¡Oh Malik*, que tu Señor acabe con nosotros! Dirá: Vosotros habéis de permanecer.
078_00	Os hemos traído la verdad, pero la mayoría de vosotros detesta la verdad.
079_00	¿O acaso se han decidido a hacer algo? Nosotros también Nos hemos decidido*.
080_00	¿O es que creen que no escuchamos su secreto y sus confidencias? Por El contrario, junto a ellos escriben Nuestros mensajeros*.
081_00	Di: Si el Misericordioso tuviera un hijo, yo sería entonces el primero de los adoradores.
082_00	¡Gloria al Señor de los cielos y de la tierra, el Señor del Trono por encima de lo que atribuyen!
083_00	Y déjalos que discutan y jueguen hasta que tengan el encuentro con su día, el que se les ha prometido.
084_00	Él es Quien es Dios en el cielo y es Dios en la tierra y es el Sabio, el Conocedor.
085_00	Y bendito sea Aquel a Quien pertenece la soberanía en los cielos y en la tierra y en lo que entre ambos hay; junto a Él está el conocimiento de la Hora y a Él habréis de regresar.
086_00	Los que invocáis fuera de Él no tienen poder ninguno de interceder*, sólo quienes atestiguan la verdad y tienen conocimiento*.
087_00	Y si les preguntas quién los ha creado, te dirán: Allah.¿Cómo entonces se desvían?
088_00	Y sus palabras*: ¡Señor mío! Realmente esta es una gente que no cree.
089_00	Apártate de ellos y di: Paz. Ya sabréis.*
