001_00	Todo lo que hay en los cielos y en la tierra glorifica a Allah y Él es el Poderoso, el Sabio.
002_00	Él es Quien sacó de sus hogares en la primera concentración*, a aquéllos de la gente del Libro que se habían negado a creer.
002_01	No pensasteis que iban a salir y ellos pensaron que sus fortalezas los defenderían de Allah, sin embargo Allah les llegó por donde no esperaban y arrojó el miedo en sus corazones.
002_02	Arruinaban sus casas con sus propias manos, además de las de los creyentes.*Sacad pues una lección de ello, vosotros que tenéis visión.
003_00	De no haber sido porque Allah había escrito el destierro para ellos, los habría castigado en este mundo.En la Última Vida tendrán el castigo del Fuego.
004_00	Eso es por haberse opuesto a Allah y a Su mensajero.Quien se opone a Allah...Allah es Fuerte castigando.
005_00	Las palmeras que cortasteis, como las que dejasteis en pie sobre sus raíces, fue con permiso de Allah y para humillar a los descarriados.*
006_00	Y lo que Allah le dio a Su mensajero en calidad de botín, procedente de ellos, fue sin que tuvierais que hacer correr caballo o camello alguno.
006_01	Allah da poder a Sus mensajeros por encima de quien quiere.Allah tiene poder sobre todas las cosas.
007_00	Lo que Allah le dio a Su mensajero en calidad de botín*, procedente de los habitantes de las aldeas, pertenece a Allah y al
007_01	Mensajero, a los parientes y a los huérfanos, a los pobres y a los viajeros; para que así no haya privilegios para vuestros ricos.
007_02	Y lo que os da el Mensajero tomadlo, pero lo que os prohíba dejadlo.Y temed a Allah, es cierto que Allah es Fuerte castigando.
008_00	Para los emigrados pobres, los que se vieron forzados a dejar sus hogares y sus bienes en búsqueda del favor y de la aceptación de Allah y los que ayudaron a Allah y a Su mensajero.
008_01	Esos son los sinceros.
009_00	Y los que antes que ellos se habían asentado en la casa* y en la creencia, aman a quienes emigraron a ellos y los prefieren a sí mismos, aún estando en extrema necesidad.
009_01	El que está libre de su propia avaricia...Esos son los que tendrán éxito.
010_00	Y los que han venido después de ellos dicen: ¡Señor nuestro!
010_01	Perdónanos a nosotros y a nuestros hermanos que nos precedieron en creer y no pongas en nuestros corazones ningún rencor hacia los que creen.¡Señor nuestro! Realmente Tú eres Clemente y Compasivo.
011_00	¿Acaso no han visto cómo los hipócritas les decían a sus hermanos, los que de la gente del Libro se habían negado a creer: Si sois
011_01	expulsados, saldremos con vosotros y nunca obedeceremos a nadie en lo que os afecte; y si os combaten, saldremos en vuestra ayuda.Allah atestigua que son unos mentirosos.
012_00	Si son expulsados no saldrán con ellos y si son combatidos no los ayudarán. Y si lo hicieran, darían la espalda y de nada les serviría su ayuda.
013_00	En verdad que vosotros inspiráis más temor en sus pechos que Allah. Eso es porque ellos son gente que no comprende.
014_00	No combatirán juntos contra vosotros a no ser desde aldeas fortificadas o detrás de murallas.Entre ellos hay
014_01	una fuerte hostilidad, los crees unidos pero sus corazones están separados.Eso es porque son gente que no razona.
015_00	Se parecen a sus más cercanos precursores*. Gustaron las malas consecuencias de su asunto y tendrán un doloroso castigo.
016_00	Como el Shaytán cuando le dice al hombre: ¡Niégate a creer! Y cuando se ha negado a creer, le dice: Me desentiendo de ti, yo temo a Allah el Señor de los mundos.
017_00	Pero el final de ambos es el Fuego, donde serán inmortales. Ese es el pago de los injustos.
018_00	¡Vosotros que creéis! Temed a Allah y que cada uno espere para el mañana lo que él mismo se haya buscado.Y temed a Allah, es cierto que Allah está informado de lo que hacéis.
019_00	Y no seáis como aquéllos que olvidaron a Allah y Él los hizo olvidarse de sí mismos. Esos son los descarriados.
020_00	No son iguales los compañeros del Fuego y los compañeros del Jardín.Los compañeros del Jardín son los que han triunfado.
021_00	Si le hubiéramos hecho descender este Corán a una montaña, la habrías visto humillada y partida en dos, por
021_01	temor de Allah.Estos son los ejemplos con los que llamamos la atención de los hombres para que puedan reflexionar.
022_00	Él es Allah, Quien no hay dios sino Él, el Conocedor del No-Visto y de lo Aparente.Él es el Misericordioso, el Compasivo.
023_00	Él es Allah, Quien no hay dios sino Él, el Rey, el Purísimo*, la Paz*, el que da Seguridad*, el Vigilante, el Irresistible, el Compulsivo, el Soberbio*.
023_01	¡Gloria a Allah por encima de lo que asocian!
024_00	Él es Allah, el Creador, el Originador, el Modelador.Suyos son los nombres más hermosos. A Él Lo glorifica cuanto hay en los cielos y en la tierra.Y Él es el Irresistible, el Sabio.
