001_00	A. L̃. M̃.
002_00	Wãncan ne Littãfi, bãbu shakka a cikinsa, shiriya ne ga mãsu taƙawa.
003_00	Waɗanda suke yin ĩmãni game da gaibi, kuma suna tsayar da salla, kuma daga abin da Muka azurta su suna ciyarwa.
004_00	Kuma waɗanda suke yin ĩmãni da abin da aka saukar zuwa gare ka, da abin da aka saukar daga gabãninka, kuma game da Lãhira suna yin yaƙĩni.
005_00	Waɗannan suna kan shiriya, daga Ubangjinsu, kuma waɗannan su ne mãsu cin nasara.
006_00	Lalle ne waɗanda suka kãfirta daidai ne a kansu, shin kã yi musu gargaɗi kõ ba ka yi musu gargaɗi ba, ba zã su yi ĩmãni ba.
007_00	Allah Ya sa hãtimi a kan zukãtansu, da a kan jinsu, kuma a Kan ganin su akwai wata yãna; kuma suna da wata azãba mai girma.
008_00	Kuma akwai daga mutãne wanda yake cewa: "Mun yi imani da Allah kuma da Yinin Lãhira." Alhãli kuwa su ba muminai ba ne.
009_00	Suna yaudarayya da Allah da waɗanda suka yi ĩmãni, alhãli bã su yaudarar kõwa fãce kansu, kuma bã su sakankancẽwa!
010_00	A cikin zukãtansu akwai wata cũta. Sai Allah Ya ƙãramusu wata cũta, kuma suna da azãba mai raɗaɗi sabõda ãbin da suka kasance suna yi na ƙarya.
011_00	Kuma idan aka ce musu: "Kada ku yi ɓarna a cikin ƙasa," sukan ce: "Mũ mãsu kyautatawa kawai ne!"
012_00	To, lalle ne su, sũne mãsu ɓarna, kuma amma bã su sansancewa.
013_00	Kuma idan aka ce musu: "ku yi ĩmãni kamar yadda mutãne suka yi ĩmãni," sukan ce: "Zã mu yi ĩmãni ne kamar yadda wãwãye suka yi ĩmãni?" To, lalle ne su, sũ ne wãwãye, kuma amma bã su sani.
