001_00	Ṣ̃, Inã rantsuwa da Al-ƙur'ãni mai hukunce-hukunce.
002_00	Ã'a, waɗanda suka kãfirta sunã cikin girman kai (ga rikon al'ãdunsu) da sãɓãni (tsakãnin jũnansu).
003_00	Da yawa Muka halakar da wani ƙarni, a gabãninsu, suka yi kira (nẽman cẽto), bãbu lõkacin kuɓucewa.
004_00	Kuma suka yi mãmãki dõmin Mai gargaɗi, daga cikinsu, ya je musu. Kuma kãfirai sukace, "Wannan mai sihiri ne, maƙaryaci."
005_00	"Shin, yã sanya gumãka duka su zama abin bautawa guda? Lalle wannan, haƙĩƙa, abu ne mai ban mãmaki!"
006_00	Shũgabanni daga cikinsu, suka tafi (suka ce),"Ku yi tafiyarku, ku yi haƙuri a kan abũbuwan bautawarku. Lalle wannan, haƙiƙa, wani abu ne ake nufi!"
007_00	"Ba mu taɓa ji ba, game da wannan a cikin addinin ƙarshe. Wannan bai zama ba fãce ƙiren ƙarya."
008_00	"Shin, an saukar da Alƙur'ãni ne a kansa, a tsakãninmu (mũ kuma ba mu gani ba)?" Ã'a, su dai sunã cikin shakka daga hukunciNa Ã'a, ba su i da ɗanɗanar azãba ba.
009_00	Ko kuma a wurinsu ne ake ajiye taskõkin rahamar Ubangijinka, Mabuwãyi, Mai yawan kyauta?
010_00	Kõ kuma sũ ne da mallakar sammai da ƙasã da abin da ke a tsakãninsu? To sai su hau a cikin sammai (dõmin, su hana saukar Alƙur'ãni ga Muhammadu).
011_00	Rundunõni ne abin da ke can, rusassu, na ƙungiyõyinsu.
012_00	Mutãnen Nũhu sun ƙaryata, a gabãninsu, da Ãdãwa da Fir'auna mai turãkun (da suka kafe mulkinsa).
013_00	Da Samũdãwa da mutãnen Luɗu da ma'abũta ƙunci, waɗancan ne ƙungiyõyin.
014_00	Bãbu kõwa a cikinsu fãce ya ƙaryata Manzanni, sabõda haka azãbãTa ta wajaba.
015_00	Kuma waɗannan bã su jiran kõme fãce tsãwã guda, wadda bã ta da hani.
016_00	Kuma suka ce: "Ya Ubangijinmu! Ka gaggauta mana da rabonmu, a gabãnin rãnar bincike."
017_00	Ka yi haƙuri bisa ga abin da suke faɗa (na izgili), kuma ka ambaci bãwanMu Dãwũda ma'abũcin ƙarfin ibãda. Lalle, shi, mai mayar da al'amari ga Allah ne.
018_00	Lalle Mũ, Mun hõre duwãtsu tãre da shi, sunã yin tasbĩhi maraice da fitõwar rãnã.
019_00	Da tsuntsãye waɗanda ake tattarawa, kõwannensu mai kõmãwa ne a gare shi.
020_00	Kuma Muka ƙarfafa mulkinsa, kuma Muka bã shi hikima da rarrabẽwar magana.
021_00	Kuma shin, lãbãrin mãsu husũma ya zo maka, a lõkacin da suka haura gãrun masallaci?
022_00	A lõkacin da suka shiga ga Dãwũda, sai ya firgita daga gare su. Suka ce: "Kada kaji tsõro, masu husuma biyu ne; sãshenmu ya zãlunci sãshe.
022_01	Sabõda haka, ka yi hakunci a tsakãninmu da gaskiya. Kada ka ƙẽtare haddi kuma ka shiryar da mu zuwa, ga tsakar hanya."
023_00	"Lalle wannan dan'uwãna ne, yanã da tunkiya casa'in da tara, kuma inã da tunkiya guda, sai ya ce: 'Ka lãmunce mini ita. Kuma ya buwãye ni ga magana."
024_00	(Dãwũda) ya ce: "Lalle, haƙiƙa ya zãlunce ka game da tambayar tunkiyarka zuwa ga tumakinsa. Kuma lalle ne mãsu yawa daga abõkan
024_01	tarayya, haƙiƙa, sãshensu na zambatar sãshe fãce waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai." Kuma Dãwũda ya tabbata cẽwa Mun
024_02	fitine shi ne, sabõda haka, ya nẽmi Ubangijinsa gãfara, kuma ya fãɗi yanã mai sujada, kuma ya mayar da al'amari ga Allah.
025_00	Sabõda haka Muka gãfarta masa wancan, kuma lalle yanã da wata kusantar daraja a wurinMu, da kyaun makõma.
026_00	Yã Dãwũda! Lalle Mũ Mun sanya ka Halĩfa a cikin ƙasã.
026_01	To, ka yi hukunci tsakãnin mutãne da gaskiya, kuma kada ka biye wa son zũciyar, har ya ɓatar dakai daga hanyar Allah. Lalle waɗanda ke ɓacẽwa daga hanyar Allah sunã da wata azãba mai tsanani dõmin abin da suka manta, a rãnar hisãbi
027_00	Kuma ba Mu halitta sama da ƙasã da abin da ke a tsakãninsu ba a kan ƙarya. Wannan shĩ ne zaton waɗanda suka kãfirta. To, bone ya tabbata ga waɗanda suka kãfirta daga wutã.
028_00	Kõ zã Mu sanya waɗanda suka yi ĩmãni, kuma suka aikata ayyukan ƙwarai kamar waɗanda suke mãsu barna ne a cikin ƙasa? Ko kuma za Mu sanya masu bin Allah da taƙawa kamar fãjirai makarkata?
029_00	(Wannan) Littãfi ne, Mun saukar da shi zuwa gare ka, yanã, mai albarka, dõmin su lũra da ãyõyinsa, kuma don mãsu hankali su riƙa yin tunãni.
030_00	Kuma Muka bai wa Dãwũda Sulaimãn. Mãdalla da bãwanMu, shi. Lalle shi (Sulaimãn) mai mayar da al'amari ne ga Allah.
031_00	A lõkacin da aka gitta masa dawãki mãsu asali, a lõkacin maraice.
032_00	Sai ya ce: "Lalle nĩ, na fĩfĩta son dũkiya daga tunãwar Ubangijina, har (rãnã) ta faku da shãmaki!"
033_00	"Ku mayar da su a gare ni." Sai ya shiga yankansu da takõbi ga ƙwabrukansu da wuyõyinsu.
034_00	Kuma lalle haƙĩƙa, Mun fitini Sulaiman kuma Muka jẽfa wani jikin mutum a kan karagarsa. Sa'an nan ya mayar da al'amari zuwa gare Mu.
035_00	Ya ce: "Ya Ubangijĩna! Ka gãfarta mini, kuma Ka bã ni mulki wanda bã ya kamãta da kõwa daga bãyãna. Lalle Kai, Kai ne Mai yawan kyauta.
036_00	Sabõda haka Muka hõre masa iska tanã gudu da umurninsa, tãna tãshi da sauƙi, inda ya nufa.
037_00	Da shaiɗanu dukan mai gini, da mai nutsa (a cikin kõguna.)
038_00	Waɗansu, ɗaɗɗaure a cikin marũruwa.
039_00	Wannan kyautarMu ce. Sai ka yi kyauta ga wanda kake so, ko kuma ka riƙe, bãbu wani bincike.
040_00	Kuma lalle, haƙĩƙa yanã da kusantar daraja a wurinMu da kyaun makõma.
041_00	Kuma ka ambaci bãwanMu Ayyũba a lõkacin da ya kirãyi Ubangijinsa, ya ce: "Lalle nĩ, Shaiɗan yã shãfe ni da wahala da kuma wata azãba."
042_00	Ka shura da ƙafarka. Wannan abin wanka ne mai sanyi da abin shã.
