001_00	Idan sama ta kẽce,
002_00	Ta saurari Ubangijinta, kuma aka wajabta mata yin saurãron,
003_00	Kuma idan ƙasã aka mĩƙe ta,
004_00	Kuma ta jẽfar da abin da yake a cikinta, tã wõfinta daga kõme.
005_00	Kuma ta saurãri Ubangijinta, aka wajabta mata yin saurãren,
006_00	Ya kai mutum! Lalle ne kai mai aikin wahal da kai ne zuwa ga Ubangijinka, wahala mai tsanani, To, kai mai haɗuwa da Shi ne.
007_00	To, amma wanda aka bai wa littãfinsa da damansa.
008_00	To, za a yi masa hisãbi, hisãbi mai sauƙi.
009_00	Kuma ya jũya zuwa ga iyãlinsa (a cikin Aljanna), yanã mai raha.
010_00	Kuma amma wanda aka bai wa littãfinsa, daga wajen bãyansa.
011_00	To, zã shi dinga kiran halaka!
012_00	Kuma ya shiga sa'ĩr.
013_00	Lal1e ne shi, yã kasance (a dũniya) cikin iyãlinsa yanã mai raha.
014_00	Lalle ne yã yi zaton bã zai kõmo ba.
015_00	Na'am! Lalle ne, Ubangijinsa Ya kasance Mai gani gare shi.
016_00	To, ba sai Nã rantse da shafaƙi ba.
017_00	Da dare, da abin da ya ƙunsa.
018_00	Da watã idan (haskensa) ya cika.
019_00	Lalle ne kunã hawan wani hãli daga wani hãli.
020_00	To, mẽ ya sãme su, ba su yin ĩmãni?
021_00	Kuma idan an karanta Alkur'ãni a kansu, bã su yin tawãli'u?
022_00	Ba haka ba! waɗanda suka kãfirta, sai ƙaryatãwa suke yi.
023_00	Alhãli Allah Shĩ ne Mafi sani ga abin a suke tãrãwa.
024_00	Saboda haka, ka yi musu bushãra da azãba mai raɗaɗi.
025_00	Fãce waɗanda suka yi ĩmãni, suka aikata ayyukan ƙwarai, sunã da wani sakamako wanda bã ya yankẽwa.
