001_00	Thaahaa.
002_00	Kami tidak menurunkan Al Quran ini kepadamu agar kamu menjadi susah;
003_00	tetapi sebagai peringatan bagi orang yang takut (kepada Allah),
004_00	yaitu diturunkan dari Allah yang menciptakan bumi dan langit yang tinggi.
005_00	(Yaitu) Tuhan Yang Maha Pemurah. Yang bersemayam di atas 'Arsy.
006_00	Kepunyaan-Nya-lah semua yang ada di langit, semua yang di bumi, semua yang di antara keduanya dan semua yang di bawah tanah.
007_00	Dan jika kamu mengeraskan ucapanmu, maka sesungguhnya Dia mengetahui rahasia dan yang lebih tersembunyi.
008_00	Dialah Allah, tidak ada Tuhan (yang berhak disembah) melainkan Dia. Dia mempunyai al asmaaul husna (nama-nama yang baik),
009_00	Apakah telah sampai kepadamu kisah Musa?
010_00	Ketika ia melihat api, lalu berkatalah ia kepada keluarganya: "Tinggallah kamu (di sini), sesungguhnya aku melihat api, mudah-mudahan aku dapat membawa sedikit daripadanya kepadamu atau aku akan mendapat petunjuk di tempat api itu".
011_00	Maka ketika ia datang ke tempat api itu ia dipanggil: "Hai Musa.
012_00	Sesungguhnya Aku inilah Tuhanmu, maka tanggalkanlah kedua terompahmu; sesungguhnya kamu berada dilembah yang suci, Thuwa.
013_00	Dan Aku telah memilih kamu, maka dengarkanlah apa yang akan diwahyukan (kepadamu).
014_00	Sesungguhnya Aku ini adalah Allah, tidak ada Tuhan (yang hak) selain Aku, maka sembahlah Aku dan dirikanlah shalat untuk mengingat Aku.
015_00	Segungguhnya hari kiamat itu akan datang Aku merahasiakan (waktunya) agar supaya tiap-tiap diri itu dibalas dengan apa yang ia usahakan.
016_00	Maka sekali-kali janganlah kamu dipalingkan daripadanya oleh orang yang tidak beriman kepadanya dan oleh orang yang mengikuti hawa nafsunya, yang menyebabkan kamu jadi binasa".
017_00	Apakah itu yang di tangan kananmu, hai Musa?
018_00	Berkata Musa: "Ini adalah tongkatku, aku bertelekan padanya, dan aku pukul (daun) dengannya untuk kambingku, dan bagiku ada lagi keperluan yang lain padanya".
019_00	Allah berfirman: "Lemparkanlah ia, hai Musa!"
020_00	Lalu dilemparkannyalah tongkat itu, maka tiba-tiba ia menjadi seekor ular yang merayap dengan cepat.
021_00	Allah berfirman: "Peganglah ia dan jangan takut, Kami akan mengembalikannya kepada keadaannya semula,
022_00	dan kepitkanlah tanganmu ke ketiakmu, niscaya ia ke luar menjadi putih cemerlang tanpa cacad, sebagai mukjizat yang lain (pula),
