001_00	Haa miim.
002_00	Demi Kitab (Al Quran) yang menjelaskan,
003_00	sesungguhnya Kami menurunkannya pada suatu malam yang diberkahi dan sesungguhnya Kami-lah yang memberi peringatan.
004_00	Pada malam itu dijelaskan segala urusan yang penuh hikmah,
005_00	(yaitu) urusan yang besar dari sisi Kami. Sesungguhnya Kami adalah Yang mengutus rasul-rasul,
006_00	sebagai rahmat dari Tuhanmu. Sesungguhnya Dialah Yang Maha Mendengar lagi Maha Mengetahui,
007_00	Tuhan Yang memelihara langit dan bumi dan apa yang ada di antara keduanya, jika kamu adalah orang yang meyakini.
008_00	Tidak ada Tuhan (yang berhak disembah) melainkan Dia, Yang menghidupkan dan Yang mematikan (Dialah) Tuhanmu dan Tuhan bapak-bapakmu yang terdahulu.
009_00	Tetapi mereka bermain-main dalam keragu-raguan.
010_00	Maka tunggulah hari ketika langit membawa kabut yang nyata,
011_00	yang meliputi manusia. Inilah azab yang pedih.
012_00	(Mereka berdoa): "Ya Tuhan kami, lenyapkanlah dari kami azab itu. Sesungguhnya kami akan beriman".
013_00	Bagaimanakah mereka dapat menerima peringatan, padahal telah datang kepada mereka seorang rasul yang memberi penjelasan,
014_00	kemudian mereka berpaling daripadanya dan berkata: "Dia adalah seorang yang menerima ajaran (dari orang lain) lagi pula seorang yang gila".
015_00	Sesungguhnya (kalau) Kami akan melenyapkan siksaan itu agak sedikit sesungguhnya kamu akan kembali (ingkar).
016_00	(Ingatlah) hari (ketika) Kami menghantam mereka dengan hantaman yang keras. Sesungguhnya Kami adalah Pemberi balasan.
017_00	Sesungguhnya sebelum mereka telah Kami uji kaum Fir'aun dan telah datang kepada mereka seorang rasul yang mulia,
018_00	(dengan berkata): "Serahkanlah kepadaku hamba-hamba Allah (Bani Israil yang kamu perbudak). Sesungguhnya aku adalah utusan (Allah) yang dipercaya kepadamu,
019_00	dan janganlah kamu menyombongkan diri terhadap Allah. Sesungguhnya aku datang kepadamu dengan membawa bukti yang nyata.
020_00	Dan sesungguhnya aku berlindung kepada Tuhanku dan Tuhanmu, dari keinginanmu merajamku,
021_00	dan jika kamu tidak beriman kepadaku maka biarkanlah aku (memimpin Bani Israil)".
022_00	Kemudian Musa berdoa kepada Tuhannya: "Sesungguhnya mereka ini adalah kaum yang berdosa (segerakanlah azab kepada mereka)".
023_00	(Allah berfirman): "Maka berjalanlah kamu dengan membawa hamba-hamba-Ku pada malam hari, sesungguhnya kamu akan dikejar,
024_00	dan biarkanlah laut itu tetap terbelah. Sesungguhnya mereka adalah tentara yang akan ditenggelamkan".
025_00	Alangkah banyaknya taman dan mata air yang mereka tinggalkan,
026_00	dan kebun-kebun serta tempat-tempat yang indah-indah,
027_00	dan kesenangan-kesenangan yang mereka menikmatinya,
028_00	demikianlah. Dan Kami wariskan semua itu kepada kaum yang lain.
029_00	Maka langit dan bumi tidak menangisi mereka dan merekapun tidak diberi tangguh.
030_00	Dan sesungguhnya telah Kami selamatkan Bani Israil dari siksa yang menghinakan,
031_00	dari (azab) Fir'aun. Sesungguhnya dia adalah orang yang sombong, salah seorang dari orang-orang yang melampaui batas.
032_00	Dan sesungguhnya telah Kami pilih mereka dengan pengetahuan (Kami) atas bangsa-bangsa.
033_00	Dan Kami telah memberikan kepada mereka di antara tanda-tanda kekuasaan (Kami) sesuatu yang di dalamnya terdapat nikmat yang nyata.
034_00	Sesungguhnya mereka (kaum musyrik) itu benar-benar berkata,
035_00	"tidak ada kematian selain kematian di dunia ini. Dan kami sekali-kali tidak akan dibangkitkan,
036_00	maka datangkanlah (kembali) bapak-bapak kami jika kamu memang orang-orang yang benar".
037_00	Apakah mereka (kaum musyrikin) yang lebih baik ataukah kaum Tubba' dan orang-orang yang sebelum mereka. Kami telah membinasakan mereka karena sesungguhnya mereka adalah orang-orang yang berdosa.
038_00	Dan Kami tidak menciptakan langit dan bumi dan apa yang ada antara keduanya dengan bermain-main.
039_00	Kami tidak menciptakan keduanya melainkan dengan haq, tetapi kebanyakan mereka tidak mengetahui.
040_00	Sesungguhnya hari keputusan (hari kiamat) itu adalah waktu yang dijanjikan bagi mereka semuanya,
041_00	yaitu hari yang seorang karib tidak dapat memberi manfaat kepada karibnya sedikitpun, dan mereka tidak akan mendapat pertolongan,
042_00	kecuali orang yang diberi rahmat oleh Allah. Sesungguhnya Dialah Yang Maha Perkasa lagi Maha Penyayang.
043_00	Sesungguhnya pohon zaqqum itu,
044_00	makanan orang yang banyak berdosa.
045_00	(Ia) sebagai kotoran minyak yang mendidih di dalam perut,
046_00	seperti mendidihnya air yang amat panas.
047_00	Peganglah dia kemudian seretlah dia ke tengah-tengah neraka.
048_00	Kemudian tuangkanlah di atas kepalanya siksaan (dari) air yang amat panas.
049_00	Rasakanlah, sesungguhnya kamu orang yang perkasa lagi mulia.
050_00	Sesungguhnya ini adalah azab yang dahulu selalu kamu meragu-ragukannya.
051_00	Sesungguhnya orang-orang yang bertakwa berada dalam tempat yang aman,
052_00	(yaitu) di dalam taman-taman dan mata-air-mata-air;
053_00	mereka memakai sutera yang halus dan sutera yang tebal, (duduk) berhadap-hadapan,
054_00	demikianlah. Dan Kami berikan kepada mereka bidadari.
055_00	Di dalamnya mereka meminta segala macam buah-buahan dengan aman (dari segala kekhawatiran),
056_00	mereka tidak akan merasakan mati di dalamnya kecuali mati di dunia. Dan Allah memelihara mereka dari azab neraka,
057_00	sebagai karunia dari Tuhanmu. Yang demikian itu adalah keberuntungan yang besar.
058_00	Sesungguhnya Kami mudahkan Al Quran itu dengan bahasamu supaya mereka mendapat pelajaran.
059_00	Maka tunggulah; sesungguhnya mereka itu menunggu (pula).
