001_00	Demi bukit,
002_00	dan Kitab yang ditulis,
003_00	pada lembaran yang terbuka,
004_00	dan demi Baitul Ma'mur,
005_00	dan atap yang ditinggikan (langit),
006_00	dan laut yang di dalam tanahnya ada api,
007_00	sesungguhnya azab Tuhanmu pasti terjadi,
008_00	tidak seorangpun yang dapat menolaknya,
009_00	pada hari ketika langit benar-benar bergoncang,
010_00	dan gunung benar-benar berjalan.
011_00	Maka kecelakaan yang besarlah di hari itu bagi orang-orang yang mendustakan,
012_00	(yaitu) orang-orang yang bermain-main dalam kebathilan,
013_00	pada hari mereka didorong ke neraka Jahannam dengan sekuat-kuatnya.
014_00	(Dikatakan kepada mereka): "Inilah neraka yang dahulu kamu selalu mendustakannya".
015_00	Maka apakah ini sihir? Ataukah kamu tidak melihat?
016_00	Masukklah kamu ke dalamnya (rasakanlah panas apinya); maka baik kamu bersabar atau tidak, sama saja bagimu; kamu diberi balasan terhadap apa yang telah kamu kerjakan.
017_00	Sesungguhnya orang-orang yang bertakwa berada dalam surga dan kenikmatan,
018_00	mereka bersuka ria dengan apa yang diberikan kepada mereka oleh Tuhan mereka; dan Tuhan mereka memelihara mereka dari azab neraka.
019_00	(Dikatakan kepada mereka): "Makan dan minumlah dengan enak sebagai balasan dari apa yang telah kamu kerjakan",
020_00	mereka bertelekan di atas dipan-dipan berderetan dan Kami kawinkan mereka dengan bidadari-bidadari yang cantik bermata jeli.
021_00	Dan orang-oranng yang beriman, dan yang anak cucu mereka mengikuti mereka dalam keimanan, Kami hubungkan anak cucu mereka dengan mereka, dan Kami tiada mengurangi sedikitpun dari pahala amal mereka.
021_01	Tiap-tiap manusia terikat dengan apa yang dikerjakannya.
022_00	Dan Kami beri mereka tambahan dengan buah-buahan dan daging dari segala jenis yang mereka ingini.
023_00	Di dalam surga mereka saling memperebutkan piala (gelas) yang isinya tidak (menimbulkan) kata-kata yang tidak berfaedah dan tiada pula perbuatan dosa.
024_00	Dan berkeliling di sekitar mereka anak-anak muda untuk (melayani) mereka, seakan-akan mereka itu mutiara yang tersimpan.
025_00	Dan sebahagian mereka menghadap kepada sebahagian yang lain saling tanya-menanya.
026_00	Mereka berkata: "Sesungguhnya kami dahulu, sewaktu berada di tengah-tengah keluarga kami merasa takut (akan diazab)".
027_00	Maka Allah memberikan karunia kepada kami dan memelihara kami dari azab neraka.
028_00	Sesungguhnya kami dahulu menyembah-Nya. Sesungguhnya Dialah yang melimpahkan kebaikan lagi Maha Penyayang.
029_00	Maka tetaplah memberi peringatan, dan kamu disebabkan nikmat Tuhanmu bukanlah seorang tukang tenung dan bukan pula seorang gila.
030_00	Bahkan mereka mengatakan: "Dia adalah seorang penyair yang kami tunggu-tunggu kecelakaan menimpanya".
031_00	Katakanlah: "Tunggulah, maka sesungguhnya akupun termasuk orang yang menunggu (pula) bersama kamu".
032_00	Apakah mereka diperintah oleh fikiran-fikiran mereka untuk mengucapkan tuduhan-tuduhan ini ataukah mereka kaum yang melampaui batas?
033_00	Ataukah mereka mengatakan: "Dia (Muhammad) membuat-buatnya". Sebenarnya mereka tidak beriman.
034_00	Maka hendaklah mereka mendatangkan kalimat yang semisal Al Quran itu jika mereka orang-orang yang benar.
035_00	Apakah mereka diciptakan tanpa sesuatupun ataukah mereka yang menciptakan (diri mereka sendiri)?
036_00	Ataukah mereka telah menciptakan langit dan bumi itu?; sebenarnya mereka tidak meyakini (apa yang mereka katakan).
037_00	Ataukah di sisi mereka ada perbendaharaan Tuhanmu atau merekakah yang berkuasa?
038_00	Ataukah mereka mempunyai tangga (ke langit) untuk mendengarkan pada tangga itu (hal-hal yang gaib)? Maka hendaklah orang yang mendengarkan di antara mereka mendatangkan suatu keterangan yang nyata.
039_00	Ataukah untuk Allah anak-anak perempuan dan untuk kamu anak-anak laki-laki?
040_00	Ataukah kamu meminta upah kepada mereka sehingga mereka dibebani dengan hutang?
041_00	Apakah ada pada sisi mereka pengetahuan tentang yang gaib lalu mereka menuliskannya?
042_00	Ataukah mereka hendak melakukan tipu daya? Maka orang-orang yang kafir itu merekalah yang kena tipu daya.
043_00	Ataukah mereka mempunyai tuhan selain Allah. Maha Suci Allah dari apa yang mereka persekutukan.
044_00	Jika mereka melihat sebagian dari langit gugur, mereka akan mengatakan: "Itu adalah awan yang bertindih-tindih".
045_00	Maka biarkanlah mereka hingga mereka menemui hari (yang dijanjikan kepada) mereka yang pada hari itu mereka dibinasakan,
046_00	(yaitu) hari ketika tidak berguna bagi mereka sedikitpun tipu daya mereka dan mereka tidak ditolong.
047_00	Dan sesungguhnya untuk orang-orang yang zalim ada azab selain daripada itu. Tetapi kebanyakan mereka tidak mengetahui.
048_00	Dan bersabarlah dalam menunggu ketetapan Tuhanmu, maka sesungguhnya kamu berada dalam penglihatan Kami, dan bertasbihlah dengan memuji Tuhanmu ketika kamu bangun berdiri,
049_00	dan bertasbihlah kepada-Nya pada beberapa saat di malam hari dan di waktu terbenam bintang-bintang (di waktu fajar).
