001_00	Nun, demi kalam dan apa yang mereka tulis,
002_00	berkat nikmat Tuhanmu kamu (Muhammad) sekali-kali bukan orang gila.
003_00	Dan sesungguhnya bagi kamu benar-benar pahala yang besar yang tidak putus-putusnya.
004_00	Dan sesungguhnya kamu benar-benar berbudi pekerti yang agung.
005_00	Maka kelak kamu akan melihat dan mereka (orang-orang kafir)pun akan melihat,
006_00	siapa di antara kamu yang gila.
007_00	Sesungguhnya Tuhanmu, Dialah Yang Paling Mengetahui siapa yang sesat dari jalan-Nya; dan Dialah Yang Paling Mengetahui orang-orang yang mendapat petunjuk.
008_00	Maka janganlah kamu ikuti orang-orang yang mendustakan (ayat-ayat Allah).
009_00	Maka mereka menginginkan supaya kamu bersikap lunak lalu mereka bersikap lunak (pula kepadamu).
010_00	Dan janganlah kamu ikuti setiap orang yang banyak bersumpah lagi hina,
011_00	yang banyak mencela, yang kian ke mari menghambur fitnah,
012_00	yang banyak menghalangi perbuatan baik, yang melampaui batas lagi banyak dosa,
013_00	yang kaku kasar, selain dari itu, yang terkenal kejahatannya,
014_00	karena dia mempunyai (banyak) harta dan anak.
015_00	Apabila dibacakan kepadanya ayat-ayat Kami, ia berkata: "(Ini adalah) dongeng-dongengan orang-orang dahulu kala".
016_00	Kelak akan Kami beri tanda dia di belalai(nya).
017_00	Sesungguhnya Kami telah mencobai mereka (musyrikin Mekah) sebagaimana Kami telah mencobai pemilik-pemilik kebun, ketika mereka bersumpah bahwa mereka sungguh-sungguh akanmemetik (hasil)nya di pagi hari,
018_00	dan mereka tidak menyisihkan (hak fakir miskin),
019_00	lalu kebun itu diliputi malapetaka (yang datang) dari Tuhanmu ketika mereka sedang tidur,
020_00	maka jadilah kebun itu hitam seperti malam yang gelap gulita.
021_00	lalu mereka panggil memanggil di pagi hari:
022_00	"Pergilah diwaktu pagi (ini) ke kebunmu jika kamu hendak memetik buahnya".
023_00	Maka pergilah mereka saling berbisik-bisik.
024_00	"Pada hari ini janganlah ada seorang miskinpun masuk ke dalam kebunmu".
025_00	Dan berangkatlah mereka di pagi hari dengan niat menghalangi (orang-orang miskin) padahal mereka (menolongnya).
026_00	Tatkala mereka melihat kebun itu, mereka berkata: "Sesungguhnya kita benar-benar orang-orang yang sesat (jalan),
027_00	bahkan kita dihalangi (dari memperoleh hasilnya)".
028_00	Berkatalah seorang yang paling baik pikirannya di antara mereka: "Bukankah aku telah mengatakan kepadamu, hendaklah kamu bertasbih (kepada Tuhanmu)?"
029_00	Mereka mengucapkan: "Maha Suci Tuhan kami, sesungguhnya kami adalah orang-orang yang zalim".
030_00	Lalu sebahagian mereka menghadapi sebahagian yang lain seraya cela mencela.
031_00	Mereka berkata: "Aduhai celakalah kita; sesungguhnya kita ini adalah orang-orang yang melampaui batas".
032_00	Mudah-mudahan Tuhan kita memberikan ganti kepada kita dengan (kebun) yang lebih baik daripada itu; sesungguhnya kita mengharapkan ampunan dari Tuhan kita.
033_00	Seperti itulah azab (dunia). Dan sesungguhnya azab akhirat lebih besar jika mereka mengetahui.
034_00	Sesungguhnya bagi orang-orang yang bertakwa (disediakan) surga-surga yang penuh kenikmatan di sisi Tuhannya.
035_00	Maka apakah patut Kami menjadikan orang-orang Islam itu sama dengan orang-orang yang berdosa (orang kafir)?
036_00	Atau adakah kamu (berbuat demikian): bagaimanakah kamu mengambil keputusan?
037_00	Atau adakah kamu mempunyai sebuah kitab (yang diturunkan Allah) yang kamu membacanya?,
038_00	bahwa di dalamnya kamu benar-benar boleh memilih apa yang kamu sukai untukmu.
039_00	Atau apakah kamu memperoleh janji yang diperkuat dengan sumpah dari Kami, yang tetap berlaku sampai hari kiamat; sesungguhnya kamu benar-benar dapat mengambil keputusan (sekehendakmu)?
040_00	Tanyakanlah kepada mereka: "Siapakah di antara mereka yang bertanggung jawab terhadap keputusan yang diambil itu?"
041_00	Atau apakah mereka mempunyai sekutu-sekutu? Maka hendaklah mereka mendatangkan sekutu-sekutunya jika mereka adalah orang-orang yang benar.
042_00	Pada hari betis disingkapkan dan mereka dipanggil untuk bersujud; maka mereka tidak kuasa,
043_00	(dalam keadaan) pandangan mereka tunduk ke bawah, lagi mereka diliputi kehinaan. Dan sesungguhnya mereka dahulu (di dunia) diseru untuk bersujud, dan mereka dalam keadaan sejahtera.
044_00	Maka serahkanlah (ya Muhammad) kepada-Ku (urusan) orang-orang yang mendustakan perkataan ini (Al Quran). Nanti Kami akan menarik mereka dengan berangsur-angsur (ke arah kebinasaan) dari arah yang tidak mereka ketahui,
045_00	dan Aku memberi tangguh kepada mereka. Sesungguhnya rencana-Ku amat tangguh.
046_00	Apakah kamu meminta upah kepada mereka, lalu mereka diberati dengan hutang?
047_00	Ataukah ada pada mereka ilmu tentang yang ghaib lalu mereka menulis (padanya apa yang mereka tetapkan)?
048_00	Maka bersabarlah kamu (hai Muhammad) terhadap ketetapan Tuhanmu, dan janganlah kamu seperti orang yang berada dalam (perut) ikan ketika ia berdoa sedang ia dalam keadaan marah (kepada kaumnya).
049_00	Kalau sekiranya ia tidak segera mendapat nikmat dari Tuhannya, benar-benar ia dicampakkan ke tanah tandus dalam keadaan tercela.
050_00	Lalu Tuhannya memilihnya dan menjadikannya termasuk orang-orang yang saleh.
051_00	Dan sesungguhnya orang-orang kafir itu benar-benar hampir menggelincirkan kamu dengan pandangan mereka, tatkala mereka mendengar Al Quran dan mereka berkata: "Sesungguhnya ia (Muhammad) benar-benar orang yang gila".
052_00	Dan Al Quran itu tidak lain hanyalah peringatan bagi seluruh umat.
