001_00	Apabila matahari digulung,
002_00	dan apabila bintang-bintang berjatuhan,
003_00	dan apabila gunung-gunung dihancurkan,
004_00	dan apabila unta-unta yang bunting ditinggalkan (tidak diperdulikan)
005_00	dan apabila binatang-binatang liar dikumpulkan,
006_00	dan apabila lautan dijadikan meluap
007_00	dan apabila ruh-ruh dipertemukan (dengan tubuh)
008_00	dan apabila bayi-bayi perempuan yang dikubur hidup-hidup ditanya,
009_00	karena dosa apakah dia dibunuh,
010_00	dan apabila catatan-catatan (amal perbuatan manusia) dibuka,
011_00	dan apabila langit dilenyapkan,
012_00	dan apabila neraka Jahim dinyalakan,
013_00	dan apabila surga didekatkan,
014_00	maka tiap-tiap jiwa akan mengetahui apa yang telah dikerjakannya.
015_00	Sungguh, Aku bersumpah dengan bintang-bintang,
016_00	yang beredar dan terbenam,
017_00	demi malam apabila telah hampir meninggalkan gelapnya,
018_00	dan demi subuh apabila fajarnya mulai menyingsing,
019_00	sesungguhnya Al Quran itu benar-benar firman (Allah yang dibawa oleh) utusan yang mulia (Jibril),
020_00	yang mempunyai kekuatan, yang mempunyai kedudukan tinggi di sisi Allah yang mempunyai 'Arsy,
021_00	yang ditaati di sana (di alam malaikat) lagi dipercaya.
022_00	Dan temanmu (Muhammad) itu bukanlah sekali-kali orang yang gila.
023_00	Dan sesungguhnya Muhammad itu melihat Jibril di ufuk yang terang.
024_00	Dan dia (Muhammad) bukanlah orang yang bakhil untuk menerangkan yang ghaib.
025_00	Dan Al Quran itu bukanlah perkataan syaitan yang terkutuk,
026_00	maka ke manakah kamu akan pergi?
027_00	Al Quran itu tiada lain hanyalah peringatan bagi semesta alam,
028_00	(yaitu) bagi siapa di antara kamu yang mau menempuh jalan yang lurus.
029_00	Dan kamu tidak dapat menghendaki (menempuh jalan itu) kecuali apabila dikehendaki Allah, Tuhan semesta alam.
