001_00	Alif, Lâm, Mîm.
002_00	Gli uomini credono che li si lascerà dire: “Noi crediamo”, senza metterli alla prova?
003_00	Già mettemmo alla prova coloro che li precedettero. Allah conosce perfettamente coloro che dicono la verità e conosce perfettamente i bugiardi.
004_00	O forse coloro che commettono cattive azioni credono di poterci sfuggire? Quanto giudicano male!
005_00	Chi spera di incontrare Allah [sappia che] in verità, il termine di Allah si avvicina. Egli è Colui che tutto ascolta e conosce.
006_00	E chi lotta, è per se stesso che lotta. Ché in verità Allah basta a Se stesso, non ha bisogno del creato.
007_00	Cancelleremo i peccati di coloro che credono e compiono il bene e li ricompenseremo delle loro azioni migliori.
008_00	Ordinammo all'uomo di trattare bene suo padre e sua madre; e: “...se essi ti vogliono obbligare ad associarMi ciò di cui non hai conoscenza alcuna, non obbedir loro”.
008_01	A Me ritornerete e vi informerò su quello che avete fatto.
009_00	E coloro che credono e compiono il bene, li faremo entrare tra i devoti.
010_00	Fra gli uomini vi è chi dice: “Noi crediamo in Allah”; ma non appena soffrono[per la causa di] Allah, considerano la persecuzione degli uomini un castigo di Allah.
010_01	Quando giunge poi l'ausilio del loro Signore, dicono: “Noi eravamo con voi!”. Forse, che Allah non conosce meglio cosa c'è nei petti delle creature?
011_00	Allah conosce perfettamente i credenti e perfettamente conosce gli ipocriti.
012_00	I miscredenti dicono a coloro che credono: “Seguite il nostro sentiero: porteremo noi [il peso del]le vostre colpe”. Ma non porteranno affatto il peso delle loro colpe. In verità sono dei bugiardi.
013_00	Porteranno i loro carichi e altri carichi oltre i loro. Nel Giorno della Resurrezione saranno interrogati su quello che inventavano.
014_00	Già inviammo Noè al suo popolo; rimase con loro mille anni meno cinquant'anni. Li colpì poi il Diluvio perché erano ingiusti.
015_00	Salvammo lui e i compagni dell'Arca. Ne facemmo un segno per i mondi.
016_00	E [ricorda] Abramo, quando disse al suo popolo: “Adorate Allah e temeteLo. È il bene per voi, se lo sapeste!”.
017_00	Voi adorate idoli in luogo di Allah e inventate una menzogna.
017_01	Coloro che adorate all'infuori di Allah, non sono in grado di provvedere a voi in nulla. Cercate provvidenza presso Allah, adorateLo e siateGli riconoscenti: a Lui sarete ricondotti.
018_00	E se tacciate di menzogna, già altre comunità lo fecero prima di voi. Al Messaggero non [incombe] che la trasmissione esplicita.
019_00	Non vedono come Allah inizia la creazione e la reitera? Ciò è facile per Allah.
020_00	Di': “Percorrete la terra e guardate come Egli ha dato inizio alla creazione. Poi sarà Allah a dare origine all'ultima generazione. Allah è onnipotente”.
021_00	Castiga chi vuole e usa misericordia a chi vuole. A Lui sarete ricondotti.
022_00	Non potrete sminuire la Sua potenza, né sulla terra, né in cielo; all'infuori di Allah, non c'è per voi né padrone, né difensore.
023_00	Quelli che non credono nei segni di Allah e nell'incontro con Lui, non hanno speranza nella Mia misericordia. Avranno doloroso castigo.
024_00	La sola risposta del suo popolo fu: “Uccidetelo o bruciatelo”; ma Allah lo salvò dal fuoco. Questi sono segni per un popolo che crede.
025_00	Disse: “Invero, non avete adottato gli idoli, all'infuori di Allah, se non per amore reciproco in questo mondo.
025_01	Poi, nel Giorno della Resurrezione, gli uni disconosceranno gli altri e gli uni malediranno gli altri; vostra dimora sarà il fuoco e non avrete chi vi soccorrerà”.
026_00	Lot credette in lui e disse: “Sì, emigro verso il mio Signore; Egli è l'Eccelso, il Saggio”.
027_00	Concedemmo [ad Abramo] Isacco e Giacobbe e nella sua progenie stabilimmo la profezia e il Libro.
027_01	Gli pagammo la sua mercede in questa vita e nell'altra sarà tra i giusti.
028_00	E quando Lot disse al suo popolo: “Davvero commettete una turpitudine che mai nessuno al mondo ha commesso prima di voi.
