001_00	Per il Monte,
002_00	per un Libro scritto
003_00	su pergamena distesa,
004_00	per la Casa visitata,
005_00	per la volta elevata,
006_00	per il mare ribollente.
007_00	Il castigo del tuo Signore avverrà inevitabilmente,
008_00	nessuno potrà impedirlo.
009_00	Il Giorno in cui il cielo tremante, tremerà
010_00	e le montagne si metteranno in marcia,
011_00	guai in quel Giorno, a coloro che tacciano di menzogna,
012_00	a coloro che si dilettano nella vanità!
013_00	Il Giorno in cui saranno spinti brutalmente nel fuoco dell'Inferno,
014_00	[sarà detto loro]: “Ecco il fuoco che tacciavate di menzogna!
015_00	È magia questa? O siete voi che non vedete?
016_00	Entrateci! Che lo sopportiate oppure no, sarà per voi la stessa cosa. Sarete compensati solo di quello che avrete fatto”.
017_00	In verità i timorati saranno nei Giardini, nelle delizie,
018_00	a godersi quello che il loro Signore avrà dato loro. Il loro Signore li avrà preservati dal castigo della Fornace.
019_00	[Sarà detto loro]: “Mangiate e bevete in serenità, [ricompensa questa] per quel che avete fatto!”.
020_00	[Staranno] appoggiati su divani disposti in ranghi e daremo loro in spose le fanciulle dai grandi occhi neri.
021_00	Coloro che avranno creduto e che saranno stati seguiti nella fede dalla loro progenie, Noi li riuniremo ai loro figli.
021_01	Non diminuiremo in nulla il merito delle loro azioni, poiché ognuno è pegno di quello che si sarà guadagnato.
022_00	Provvederemo loro i frutti e le carni che desidereranno.
023_00	Si scambieranno un calice immune da vanità o peccato.
024_00	E per servirli circoleranno tra loro giovanetti simili a perle nascoste.
025_00	Si andranno vicendevolmente incontro, interpellandosi.
026_00	Diranno: “Vivevamo tra la nostra gente nel timore [di Allah]
027_00	ma Allah ci ha favorito e ci ha protetti dal castigo del Soffio Infuocato.
028_00	Già noi Lo invocavamo. Egli è veramente il Caritatevole, il Misericordioso”.
029_00	Ammonisci dunque, poiché per grazia del tuo Signore non sei né un indovino né un folle.
030_00	Diranno: “È un poeta, aspettiamo che subisca qualche vicissitudine mortale”.
031_00	Di': “Aspettate, ché anch'io aspetterò con voi”.
032_00	È la loro ragione che li induce a ciò, o sono un popolo di superbi?
033_00	Diranno: “Lo ha inventato lui stesso”. Piuttosto [sono loro che] non vogliono credere.
034_00	Producano dunque un discorso simile a questo, se sono sinceri.
035_00	Sono stati forse creati dal nulla oppure sono essi stessi i creatori?
036_00	O hanno creato i cieli e la terra? In realtà non sono affatto convinti.
037_00	Hanno presso di loro i tesori del tuo Signore o sono loro i dominatori?
038_00	Hanno forse una scala per ascoltare? Chi ascolta per conto loro, lo provi irrefutabilmente.
039_00	[Allah] avrebbe forse figlie e voi figli?
040_00	Forse chiedi loro un compenso, [tale] che si sentano gravati da un peso insopportabile?
041_00	Possiedono l'invisibile in modo tale da descriverlo?
042_00	Vogliono tramare un'insidia? Saranno piuttosto i miscredenti ad essere ingannati.
043_00	Oppure hanno un altro dio all'infuori di Allah? Gloria a Lui, Egli è ben al di sopra di quanto [Gli] associano.
044_00	Se vedessero cadere un pezzo di cielo, direbbero: “È un cumulo di nuvole”.
045_00	Lasciali [stare] dunque, finché non incontreranno quel loro Giorno in cui saranno folgorati,
046_00	il Giorno in cui la loro astuzia non gioverà loro in alcunché e non saranno aiutati.
047_00	In verità gli ingiusti saranno puniti già prima di quello. Ma la maggior parte di loro non lo sa.
048_00	Sopporta con pazienza il decreto del tuo Signore, poiché in verità sei sotto i Nostri occhi. Glorifica e loda il tuo Signore quando ti alzi,
049_00	e glorificaLo durante la notte e al declinare delle stelle.
