001_00	Il Compassionevole,
002_00	ha insegnato il Corano,
003_00	ha creato l'uomo
004_00	e gli ha insegnato ad esprimersi.
005_00	Il sole e la luna [si muovono] secondo calcolo [preciso].
006_00	E si prosternano le stelle e gli alberi.
007_00	Ha elevato il cielo e ha eretto la bilancia,
008_00	affinché non frodiate nella bilancia:
009_00	stabilite il peso con equità e non falsate la bilancia.
010_00	La terra l'ha disposta per le creature:
011_00	vi crescono frutti e palme dalle spate protette
012_00	e cereali nei loro involucri e piante aromatiche.
013_00	Quale dunque dei benefici del vostro Signore negherete?
014_00	Creò l'uomo di argilla risonante come terraglia
015_00	e i dèmoni da fiamma di un fuoco senza fumo.
016_00	Quale dunque dei benefici del vostro Signore negherete?
017_00	Il Signore dei due Orienti e il Signore dei due Occidenti.
018_00	Quale dunque dei benefici del vostro Signore negherete?
019_00	Ha lasciato liberi mari affinché si incontrassero,
020_00	[ma] fra loro vi è una barriera che non possono oltrepassare.
021_00	Quale dunque dei benefici del vostro Signore negherete?
022_00	Da entrambi si estraggono la perla e il corallo.
023_00	Quale dunque dei benefici del vostro Signore negherete?
024_00	A Lui [appartengono] le navi, alte sul mare come colline.
025_00	Quale dunque dei benefici del vostro Signore negherete?
026_00	Tutto quel che è sulla terra è destinato a perire,
027_00	[solo] rimarrà il Volto del tuo Signore, pieno di Maestà e di Magnificenza.
028_00	Quale dunque dei benefici del vostro Signore negherete?
029_00	Lo invocano tutti quelli che sono nei cieli e sulla terra. È ogni giorno in [nuova] opera.
030_00	Quale dunque dei benefici del vostro Signore negherete?
031_00	Presto ci occuperemo di voi, o due pesi!
032_00	Quale dunque dei benefici del vostro Signore negherete?
033_00	O consesso dei dèmoni e degli uomini, se potrete varcare i limiti dei cieli e della terra, fatelo. Non fuggirete senza un'autorità [proveniente da Allah].
034_00	Quale dunque dei benefici del vostro Signore negherete?
035_00	Sarà inviata contro entrambi fiamma ardente e rame fuso e non sarete soccorsi.
036_00	Quale dunque dei benefici del vostro Signore negherete?
037_00	Quando si fenderà il cielo e sarà come cuoio rossastro,
038_00	quale dunque dei benefici del vostro Signore negherete?
039_00	In quel Giorno né gli uomini, né i dèmoni, saranno interrogati sui loro peccati.
040_00	Quale dunque dei benefici del vostro Signore negherete?
041_00	Gli empi saranno riconosciuti dai loro segni e afferrati per il ciuffo e per i piedi.
042_00	Quale dunque dei benefici del vostro Signore negherete?
043_00	[Sarà detto loro:] “Ecco l'Inferno che i colpevoli negavano!”
044_00	Vagheranno tra esso e il magma ribollente.
045_00	Quale dunque dei benefici del vostro Signore negherete?
046_00	Per chi avrà temuto di presentarsi [al cospetto] del suo Signore ci saranno due Giardini.
047_00	Quale dunque dei benefici del vostro Signore negherete?
048_00	Di fresche fronde.
049_00	Quale dunque dei benefici del vostro Signore negherete?
050_00	In entrambi sgorgano due fonti.
051_00	Quale dunque dei benefici del vostro Signore negherete?
052_00	In entrambi due specie di ogni frutto.
053_00	Quale dunque dei benefici del vostro Signore negherete?
054_00	Saranno appoggiati, [i loro ospiti], su divani rivestiti internamente di broccato, e i frutti dei due giardini saranno a portata di mano.
055_00	Quale dunque dei benefici del vostro Signore negherete?
056_00	Vi saranno colà quelle dagli sguardi casti, mai toccate da uomini o da dèmoni.
057_00	Quale dunque dei benefici del vostro Signore negherete?
058_00	Saranno simili a rubino e corallo.
059_00	Quale dunque dei benefici del vostro Signore negherete?
060_00	Qual altro compenso del bene se non il bene?
061_00	Quale dunque dei benefici del vostro Signore negherete?
062_00	E [ci saranno] altri due giardini oltre a quelli.
063_00	Quale dunque dei benefici del vostro Signore negherete?
064_00	Entrambi di un verde scurissimo.
065_00	Quale dunque dei benefici del vostro Signore negherete?
066_00	In entrambi due sorgenti sgorganti.
067_00	Quale dunque dei benefici del vostro Signore negherete?
068_00	In entrambi frutti, palme e melograni.
069_00	Quale dunque dei benefici del vostro Signore negherete?
070_00	E [fanciulle] pie e belle.
071_00	Quale dunque dei benefici del vostro Signore negherete?
072_00	E fanciulle dai grandi occhi neri ritirate nelle loro tende.
073_00	Quale dunque dei benefici del vostro Signore negherete?
074_00	Che nessun uomo o demone mai han toccato.
075_00	Quale dunque dei benefici del vostro Signore negherete?
076_00	Staranno appoggiati su verdi cuscini e meravigliosi tappeti.
077_00	Quale dunque dei benefici del vostro Signore negherete?
078_00	Sia benedetto il Nome del tuo Signore, colmo di Maestà e di Magnificenza.
