001_00	سوێند به‌ئه‌ستێره کاتێک له‌شوێنی خۆی ده‌ترازێت و به‌خێرایی به‌رده‌بێته‌وه و ئاوا دبێت
002_00	هاوه‌ڵ وهاوڕێی ئێوه محمد (صلی الله علیه وسلم) گومڕاو سه‌رلێشێواو نه‌بووه‌، له‌رێگه‌ی ڕاست و ڕه‌وان نه‌ترازاوه‌
003_00	قسه‌و گوفتاریشی (ئه‌وه‌ی که‌قورئانه‌) له‌ئاره‌زوو بازی و هه‌واو هه‌وه‌سه‌وه‌نیه‌
004_00	ئه‌مه‌ی که‌رای ده‌گه‌یه‌نێت ته‌نها نیگاو وه‌حی خوای یه‌
005_00	جوبره‌ئیلی فریشته خاوه‌نی هێزو توانای زۆر، قورئانی فێر کردووه‌
006_00	ئه‌و جوبره‌ئیله‌ی که‌خاوه‌نی بیرو هۆشێکی زۆر به‌هێزو دیمه‌نێکی جوان بوو، ئینجا له‌سه‌ر شێوه ڕاسته‌قینه‌که‌ی خۆی وه‌ستا
007_00	له‌کاتێکدا له‌ئاسۆی هه‌ره‌به‌رزو بڵنده‌وه سه‌ری هه‌ڵدابوو، ئاسۆی پڕکردبوو
008_00	له‌وه‌ودوا تا ده‌هات نزیک ده‌بۆوه و سه‌ره‌نجام هاته‌خواره‌وه‌بۆ لای پێغه‌مبه‌ر (صلی الله علیه وسلم)
009_00	ئه‌وه‌نده‌لێی نزیک بۆوه نێوانیان به‌قه‌ده‌ر دووکه‌وان یان که‌متریش بوو
010_00	ئینجا خوا له‌ڕێگه‌ی ئه‌وه‌وه‌، نیگای کرد بۆ به‌نده‌ی خۆی، ئای چ نیگایه‌ک بوو!
011_00	ئه‌وسا ئه‌وه‌ی که‌به‌چاوی سه‌ری بینی، له‌ناخ و ده‌رونیه‌وه بڕوای پێی هه‌بوو، ناخ و ده‌روونی ڕاستیه‌کانی به‌درۆنه‌دانی
012_00	جا ئایا ڕاسته‌؟ ئێوه موجاده‌له‌ی له‌گه‌ڵدا ده‌که‌ن له‌سه‌ر شتێک که‌ئه‌و دڵنیایه له‌دیتنی؟
013_00	سوێند به‌خوا بێگومان جارێکی تریش له‌دابه‌زینێکی تردا جوبره‌ئیلی بینیووه (کاتێک هاتووه‌بیبات بۆ شه‌وڕه‌وی)
014_00	له‌کاتێکدا له (سدر‌ه‌المنتهی) دا بوو
015_00	که‌له‌وێدا به‌هه‌شتی (مَڕْوَى) هه‌یه به‌واتای لانه‌و جێگه‌ی حه‌وانه‌وه‌
016_00	کاتێک ئه‌وه‌ی _ سدره‌_ ی داپۆشی مه‌گه‌ر هه‌ر خوا خۆی بزانێت کێن و چین و کاریان چیه...
017_00	جا بینینی ئه‌و به‌دیهێنراوانه له‌و شه‌وه‌دا وه‌نه‌بێت چاوبه‌ست له‌پێغه‌مبه‌ر کرابێت و چاوی لێ لادا بێت
018_00	بێگومان پێغه‌مبه‌ر (چلی الله علیه وسلم) له‌و شه‌وه‌دا له‌به‌ڵگه و نیشانه و موعجیزه گه‌وره‌کانی په‌روه‌ردگاری بینیووه‌، به‌چاوی سه‌ری، به‌هه‌موو هه‌ستی..
019_00	جا هه‌واڵم بده‌نێ ده‌رباره‌ی لات و عوززا و (دوودانه‌بتی ناشرین و ئێسک تاڵی دروستکراو)!
020_00	مه‌ناتی سێهه‌میش!! (ئه‌ویش بتێکی تره‌، ئایا ده‌سه‌ڵاتیان هه‌یه‌).
021_00	ئایا ڕه‌وایه کوڕان بۆ خۆتان و کچان بۆ خوا به‌چاک بزانن (خوای گه‌وره‌ده‌یه‌وێت به‌عه‌قڵی چه‌وتیان ڕه‌خنه‌یان لێبگرێت، ئه‌گینا کوڕو کچ هه‌ردووک دروستکراوی خوان و پێوه‌ی ڕێز ته‌نها خواناسی و پارێزکاریه‌)
022_00	ئه‌گه‌ر وابێت ئه‌و کاته‌ئه‌و دابه‌شکردن و بڕیاره‌تان زۆر دووره‌له‌دادپه‌روه‌ریه‌وه و له‌سنوور ترازانه‌
023_00	ئه‌م بت و په‌یکه‌رانه ته‌نها شتێکه که‌خۆتان و باوو باپیرانتان ناوتان لێ ناون و هیچی تر نین، خوا به‌ڵگه‌یه‌کی
023_01	نه‌ناردووه‌له‌سه‌ر ڕه‌وا بوونیان، سه‌یره‌، ئه‌وانه‌ته‌نها شوێنی گومان و ئاره‌زوی ده‌روونه‌نه‌خۆشیه‌کانیان ده‌که‌ون، له‌کاتێکدا که‌به‌ڕاستی له‌لایه‌ن په‌روه‌ردگاریانه‌وه هیدایه‌ت و ڕێنمووییان پێ گه‌یشتووه!
024_00	نه‌خێر بۆ ئاده‌میزاد نی یه ئه‌وه‌ی داوای ده‌کات، (چونکه‌ئاواته‌کانی نایه‌ته دی له‌دنیادا)؟!
025_00	که‌واته‌هه‌ر خوایه خاوه‌نی دنیا وقیامه‌ت. (ئه‌ی بۆ هه‌وڵی به‌ده‌ستهێنانی ڕه‌زامه‌ندی ئه‌و زاته‌ناده‌ن؟!).
026_00	زۆر فریشته‌ش له‌ئاسمانه‌کاندا هه‌ن که‌تکاو پاڕانه‌وه‌یان ناکام و بێ سووده‌، مه‌گه‌ر خوا مۆڵه‌ت بدات بۆ هه‌رکه‌سێک که‌شایسته‌یه و ڕازی بێت که‌تا بکات، یان تکای بۆ بکرێت
027_00	بێگومان ئه‌وانه‌ی که‌باوه‌ڕ به‌قیامه‌ت و لێپرسینه‌وه ناهێنن ناوی ئافره‌ت ده‌نێن له‌فریشته‌کان، (له‌حاڵێکدا فریشته‌کان دروستکراوانێکی تایبه‌تن)
028_00	ئه‌وانه‌له‌و باره‌یه‌وه هیچ جۆره زانستی و زانیاریه‌کیان نیه‌، به‌ڵکو هه‌ر شوێنی گومانی بێ سه‌رو بن ده‌که‌ون، له‌کاتێکدا که‌گومان به‌هیچ شێوه‌یه‌ک جێگه‌ی حه‌ق و ڕاستی ناگرێته‌وه‌
029_00	گوێ مه‌ده‌به‌و که‌سه‌ی که‌یاخی بووه‌له‌یادو به‌رنامه‌ی ئێمه مه‌به‌ستیشی نه‌بووه‌ته‌نها ژیانی دنیایه نه‌بێت
030_00	ئه‌وانه‌، هه‌ر ئه‌وه‌نده‌ی لێ ده‌زانن و عه‌قلیان هه‌ر ئه‌وه‌نده‌ده‌بڕێت، به‌ڕاستی هه‌ر په‌روه‌ردگاری تۆیه که‌چاک ده‌زانێت کێ له‌رێبازه‌که‌ی لایداوه و گومڕایه کێیش ڕێبازی ئیمان و هیدایه‌تی گرتۆته‌به‌ر و شایسته‌ی ڕێزه‌
031_00	هه‌رچی له‌ئاسمانه‌کان و زه‌ویدا هه‌یه هه‌ر خوا خاوه‌نیه‌تی، (تاقیتان ده‌کاته‌وه‌) بۆ ئه‌وه‌ی تۆڵه‌بسێنێت له‌وانه‌ی که‌خراپه‌یان کردووه‌به‌گوێره‌ی کرده‌وه‌کانیان، پاداشتی ئه‌وانه‌ش که‌چاکه‌یان کردووه‌به‌چاکترین شێوه بداته‌وه‌
032_00	ئه‌وانه‌ی که‌خۆیان ده‌پارێزن له‌گوناهو تاوانه‌گه‌وره‌کان له‌گوفتارو کرداری به‌د جگه‌له‌ورده‌گوناهان، به‌ڕاستی په‌روه‌ردگاری تۆ ئه‌ی پێغنمبه‌ر (چلی الله علیه وسلم) ئه‌ی ئیماندار چاوپۆشی زۆر فراوانه‌، چاک ده‌تانناسێت، له‌کاتێکدا ئێوه‌ی
032_01	له‌زه‌ویدا به‌رپاکردووه‌، له‌و کاته‌شدا ئێوه کۆرپه‌له‌ی بچووک بوون له‌سکی دایکتاندا (ئاگای لێتان بوو)، که‌واته‌خۆتان به‌چاک مه‌زانن و خۆتان به‌پاڵفته دامه‌نێن، هه‌ر خوا ده‌زانێت کێ ته‌قای هه‌یه و پارێزکاره‌
033_00	جا هه‌واڵم بده‌رێ ئایا ئه‌وه‌ی پشتی له‌باوه‌ڕ هه‌لکرد...
034_00	که‌مێکیشی به‌خشی و خێرا ده‌ستی گرته‌وه‌...
035_00	ئایا ئه‌و جۆره که‌سانه‌زانستی و نهێنی ده‌زانن و ئاگاداری شاراوه‌کانن و ده‌یبینن؟!
036_00	ئایا ئاگادار نه‌کرابوو به‌وه‌ی له‌په‌ڕاوه‌کانی موسادا بوو؟!
037_00	یان ئه‌و ئیبراهیمه‌ی که‌هه‌موو په‌یمانه‌کانی به‌جێ هێنا به‌ته‌واوی؟!
038_00	(له‌و په‌ڕاوو کتێبه پیرۆزانه‌دا هاتووه‌): که‌هیچ گوناهبارێک گوناهی تاوانبارێکی تر هه‌ڵناگرێت
039_00	به‌ڕاستی ئاده‌میزاد خاوه‌نی هیچ شتێک نی یه ئه‌وه‌ته‌نها ئه‌وه‌نه‌بێت که‌خۆی کردوویه‌تی
040_00	بێگومان هه‌وڵ و کۆششه‌که‌ی ده‌بینرێته‌وه له‌قیامه‌تدا
041_00	پاشان پاداشت ده‌درێته‌وه به‌تێرو ته‌سه‌لی
042_00	به‌ڕاستی و دڵنیاییه‌وه ده‌ڵێین: که‌کۆتایی ئه‌م ڕێگوزه‌ره له‌لای په‌روه‌ردگارته‌وه‌سه‌رهه‌ڵ ده‌دات
043_00	بێگومان هه‌ر ئه‌و زاته‌ش دیارده‌ی پێکه‌نین و گریانی له‌ئاده‌میزادا به‌دیهێناوه‌
044_00	هه‌روه‌ها هه‌ر خۆی دیارده‌ی مردن و ژیانی دروست کردووه‌
045_00	هه‌ر ئه‌و زاته‌ش دوو جۆری دروست کردووه‌که‌نێرو مێیه....
046_00	له‌نوتفه‌یه‌ک (له‌خاڵێکی زۆر بچووک ئه‌ویش ئه‌گه‌ر ویستی خوای له‌سه‌ربێت) کاتێک له‌جێی خۆیدا داده‌نرێت
047_00	بێگومان له‌سه‌ر خوایشه دروست کردنه‌وه‌ی تریش
048_00	ده‌وڵه‌مه‌ندی و ئه‌وه‌ی پێویست بێت ده‌یبه‌خشێت
049_00	هه‌ر خوایش په‌روه‌ردگاری شیعرایه‌: (ئه‌ستێره‌یه‌که هه‌ندێ له‌عه‌ره‌به‌کان په‌رستویانه‌، قه‌باره‌که‌ی ده‌، ئه‌وه‌نده‌ی خۆره‌، یه‌ک ملیۆن ئه‌وه‌نده‌ی نێوان زه‌وی و خۆر لێمانه‌ووه دووره‌....)
050_00	هه‌ر ئه‌و زاته‌ش قه‌ومی عادی یه‌که‌می له‌ناو برد
051_00	سمودیشی له‌ناو برد و هیچی نه‌هێشتن
052_00	زووتریش قه‌ومی نوحی له‌ناو برد که‌بێگومان ئه‌وانیش سته‌مکارو سه‌رکه‌شتر بوون
053_00	هه‌ر ئه‌و زاته‌تاوانباران و شه‌رواڵ پیسانیشی ژێره‌و ژوورکرد....
054_00	ئینجا ئه‌و دێهاتانه‌ی داپۆشی ئه‌وه‌ی که‌دای پۆشی. (به‌به‌رد باران)
055_00	جا ئیتر ئه‌ی بێ ئیمان تۆ له‌کام یه‌ک له‌نازو نیعمه‌ته‌کانی خوا دوودڵیت...
056_00	ئه‌م پێغه‌مبه‌ره‌ش هۆشیارکه‌ره‌وه‌یه له‌هۆشیارکه‌ره‌وانی پێشوو
057_00	(ئه‌وه‌چاک بزانن) قیامه‌ت و لێپرسینه‌وه نزیک بووته‌وه (نزیکه به‌نیسبه‌ت هه‌ر ئاده‌میزادێکه‌وه هه‌ر که‌مردن ئه‌وه‌قیامه‌ت له‌و به‌رپا بووه‌، قیامه‌تی گه‌وره‌ش کاتێک به‌رپا ده‌بێت هه‌مووان واهه‌ست ده‌که‌ن که‌چه‌ند سه‌عات له‌وه‌وپێش دنیا بوو وا ئێسته‌ش قیامه‌ته‌)!!
058_00	که‌سیش ناتونێت ئه‌و ڕۆژه ده‌ربخات و به‌رپای بکات جگه‌له‌خوای باڵاده‌ست
059_00	جا ئایا ئێوه له‌م قسه‌یه که‌قورئانه‌سه‌رسام ده‌بن؟!
060_00	پێ ده‌که‌نن و گریانتان نایه‌ت (بۆ ئه‌و چاره‌نووسه‌ره‌شه‌ی که‌چاوه‌ڕێتانه‌)
061_00	ئێوه به‌رده‌وام سه‌رگه‌رمی ڕابوردنن و بێ هۆشن؟!
062_00	(ده‌ی که‌واته‌بێداربنه‌وه و داچڵه‌کێن) که‌واته‌سوژده‌بۆ خوای به‌دیهێنه‌ر ببه‌ن، هه‌ر ئه‌ویش بپه‌رستن
