001_00	به‌ڕاستی ماوه‌یه‌کی زۆر له ڕۆژگار به‌سه‌ر ئاده‌میزادا هات که شتێکی وانه‌بوو ناو ببرێت.
002_00	بێگومان ئێمه ئینسانمان دروستکرد له تێکه‌ڵه‌یه‌ك (له سه‌ره‌مێکوته‌یه‌کی بچووك و هێلکۆکه‌یه‌ك) له کاتێکدا ده‌مانه‌وێت تاقی بکه‌ینه‌وه‌، هه‌ر بۆیه ده‌زگای بیستن و بینینمان پێبه‌خشی.
003_00	به‌ڕاستی ئێمه ڕێنمووییمان کرد بۆ ڕێگه‌ی ڕاست، به ئازادی ده‌توانێت ببێته که‌سایه‌تیه‌کی ئیماندارو سوپاسگوزار، یان بێ باوه‌ڕو خوانه‌ناس.
004_00	به‌ڕاستی با بزانێت که ئێمه چه‌نده‌ها کۆت و زنجیرو ئاگری هه‌ڵگیرساومان ئاماده‌کردووه بۆ بێ باوه‌ڕان.
005_00	بێگومان چاکان و پاکانیش له په‌رداخێکی پڕ شه‌رابدا ده‌خۆنه‌وه‌، که ئاوێته‌که‌ی له سه‌رچاوه‌ی کافووره‌وه‌یه‌.
006_00	که کانی یه‌که به‌نده‌کانی خوا لێی ده‌خۆنه‌وه له هه‌ر شوێنێکدا بیانه‌وێت هه‌ڵی ده‌قوڵێنن و فواره ده‌کات.
007_00	ئه‌و به‌خته‌وه‌رانه‌، یه‌کێك له سیفاتیان ئه‌وه‌یه‌: وه‌فا به‌نه‌زر ده‌که‌ن، یاخود به‌ڵێنێکیاندا وه‌فادارن و ئه‌نجامی ده‌ده‌ن و بیمیان هه‌یه له ڕۆژێك که شه‌ڕی لێ ده‌بارێت و پرشو بڵاوه‌...
008_00	هه‌روه‌ها نان و خۆراك ده‌به‌خشن، ئه‌گه‌رچی خۆشه‌ویستیش بێت لایان، به‌هه‌ژارو هه‌تیوو دیله‌کان.
009_00	ده‌ڵێن: بێگومان ئێمه ئه‌م خۆراکه‌تان هه‌ر له‌به‌ر خواو بۆ به‌ده‌ستهێنانی ڕه‌زامه‌ندی ئه‌و پێده‌به‌خشین، نه پاداشتمان لێتان ده‌وێت نه سوپاس.
010_00	هه‌روه‌ها ده‌ڵێن: ئه‌م کاره بۆیه ده‌که‌ین چونکه له ڕۆژێکی تاڵ و گرژو ڕه‌ش و تاریك ده‌ترسین، که په‌روه‌ردگارمان پێشی ده‌هێنێت.
011_00	جا خوای گه‌وره‌ش له شه‌ڕو ناخۆشی و نه‌هامه‌تی ئه‌و ڕۆژه پاڕاستنی و ڕووی گه‌ش و شادمانی پێبه‌خشین.
012_00	له پاداشتی خۆگری و ئارامگریاندا به‌هه‌شت و ئاوریشمی پێبه‌خشین.
013_00	ئه‌و به‌خته‌وه‌رانه له‌سه‌ر کورسی و قه‌نه‌فه ڕازاوه‌کان شانیان داداوه‌، نه گه‌رمای خۆر بێزاریان ده‌کات، نه کزه باو سه‌رما سه‌غڵه‌تیان ده‌کات.
014_00	سێبه‌ری دره‌خته جوانه‌کان به‌سه‌ر شوێنه خۆشه‌کانیاندا سه‌ری فرو هێناوه‌و لێکردنه‌وه‌ی میوه‌کانیش ئاسانه‌و ملکه‌چ کراوه‌.
015_00	هه‌روه‌ها له سوراحی و دۆلکه‌ی زیودا شه‌رابیان بۆ ده‌گێڕن که ده‌کرێته ئه‌و کوپ و په‌رداخانه‌وه که له شووشه‌و کریستاڵی تایبه‌ت دروستکراون.
016_00	هه‌موو دام و ده‌زگای خواردن و خواردنه‌وه‌کان له شووشه‌ی زیوی دروستکراون به‌شێوه‌یه‌کی جوان و دڵڕفێن.
017_00	هه‌روه‌ها شه‌رابێکی تریان پێشکه‌ش ده‌کرێت که ئاوێته‌که‌ی زه‌نجه‌بیله‌.
018_00	که سه‌رچاوه‌یه‌که له به‌هه‌شتدا به سه‌لسه‌بیل ناو ده‌برێت.
019_00	ئینجا نه‌وجه‌وانانی هه‌میشه لاوو ڕووخۆش و جوان و پاك، به‌ناویاندا ده‌گه‌ڕێن (قسه‌ی خۆش و سروودی به‌تام ده‌ڵێن) کاتێك ده‌یانبینیت وا ده‌زانیت مروارین و به‌و ناوه‌دا بڵاو بوونه‌ته‌وه‌.
020_00	کاتێکیش به‌هه‌ر لایه‌کدا چاوده‌گێڕیت، ئه‌وه نازو نیعمه‌تی نه‌بڕاوه‌و بێ ئه‌ندازو ده‌سه‌ڵاتێکی گه‌وره ده‌بینیت له باخ و باخات و کۆشك و ته‌لارو دیمه‌نی جوان و فراوانی بێ سنوور.
021_00	پۆشاکی به‌خته‌وه‌ران ئاوریشمی سه‌وزی ته‌نکه که به‌سه‌ر پۆشاکی ئاوریشمی ئه‌ستووردا له‌به‌ریان کردووه‌، به بازنی زیوی ڕازێنراونه‌ته‌وه‌، ئینجا له‌لایه‌ن په‌روه‌ردگاریانه‌وه شه‌رابی پاك و بێگه‌رد و خاوێنیان پێشکه‌ش کراوه‌.
022_00	پاشان په‌روه‌ردگاریان پێیان ده‌فه‌رموێت: به‌ڕاستی ئه‌م پاداشته شایسته‌ی ئێوه‌یه‌، هه‌وڵ و کۆشش و کارو کرده‌وه‌ی ئێوه شایانی سوپاس و ڕێزه‌.. (بێگومان خوای گه‌وره به‌م سوپاسگوزاریه ئه‌وه‌نده‌ی تر به‌خته‌وه‌ران و دڵخۆش ده‌کات).
023_00	دڵنیاش به ئه‌ی محمد صلی الله علیه وسلم هه‌ر ئێمه قورئانمان بۆ تۆ دابه‌زاندووه به‌ش به‌ش (تا خه‌ڵکی پێ بێدار بکه‌یته‌وه‌).
024_00	که‌واته خۆڕاگربه بۆ فه‌رمانی په‌روه‌ردگارت، نه‌که‌یت ملکه‌چ و فه‌رمانبه‌رداری تاوانباران و بێ باوه‌ڕان بیت له‌وان.
025_00	ئینجا به‌رده‌وام یادی په‌روه‌ردگارت بکه‌و ناوی پیرۆزی با ویردی سه‌رزارت بێت، له به‌ره‌به‌یان و ده‌مه‌و ئێواراندا.
026_00	له شه‌وگاریشدا سوژده‌ی بۆ ببه‌و ته‌سبیحات و ستایشی له هه‌ندێکی شه‌ودا زۆر بکه‌.
027_00	به‌ڕاستی زۆربه‌ی ئه‌و خه‌ڵکه سه‌رگه‌ردانه حه‌زیان له ژیانی ئه‌م دنیا ته‌مه‌ن کۆتایه‌یه که به‌خێرایی تێ ده‌په‌ڕێت و ڕۆژێکی سه‌خت و سه‌نگین پشتگوێ ده‌خه‌ن و حسابی بۆ ناکه‌ن.
028_00	بۆ بیرناکه‌نه‌وه‌، خۆ هه‌ر ئێمه دروستمان کردوون ئه‌ندامه‌کانی له‌شیانمان پێکه‌وه به‌ستووه‌، کاتێکیش بمانه‌وێت ئه‌مانه لاده‌به‌ین و به‌که‌سانی تر سه‌ر زه‌وی ئاوه‌دان ده‌که‌ینه‌وه‌.
029_00	به‌ڕاستی ئه‌م سووره‌ته و سه‌رجه‌م ئایه‌ته‌کانی قورئان ئامۆژگارییه‌، جا ئه‌وه‌ی ئاره‌زووی به‌هه‌شتی هه‌یه‌، ئه‌وه بۆ لای خوا ڕێگه‌و ڕێباز ده‌گرێته به‌ر.
030_00	دڵنیاش بن: ئێوه هیچتان پێناکرێت و هیچ کارێکتان پێ ئه‌نجام نادرێت مه‌گه‌ر خوا ویستی له‌سه‌ربێت، بێگومان ئه‌و خوایه زاناو دانایه ده‌زانێت کێ شایسته‌ی هیدایه‌ته‌، داناشه له هیدایه‌تدانی به‌نده چاکه‌کاندا.
