001_00	کاتێك خۆر ده‌پێچرێته‌وه و ڕووناکی نامێنێت.
002_00	کاتێکیش ئه‌ستێره‌کان (له خو‌لگه‌ی خۆیان) ده‌ترازێن و ده‌ده‌ن به‌یه‌کدا.
003_00	کاتێك کێوه‌کان له شوێنی خۆیان هه‌ڵده‌که‌نرێن و به‌ملاولادا ده‌برێن.
004_00	کا‌تێك حوشترانی ئاوس که ته‌مه‌نی باردارییان ده مانگه گوێیان پێنادرێت (بێگومان ئه‌و وشترانه لای عه‌ره‌ب زۆر نازدارن).
005_00	کاتێك گیانله‌به‌رانی کێوی و وه‌حشی و دڕنده به ده‌وری یه‌کدا کۆده‌کرێنه‌وه (ئه‌وانیش دڕندایه‌تی خۆیانیان له بیر ده‌چێته‌وه له سامناکی ئه‌و ڕۆژه‌).
006_00	کاتێك ده‌ریاکان گڕ ده‌درێن (دیاره که ته‌قینه‌وه‌ی ئه‌تۆمی ڕووده‌دات و ئاوی ده‌ریاکان ده‌بنه‌وه به هایدرۆجین و ئۆکسجین).
007_00	کاتێك گیانی هه‌ر که‌س ده‌گه‌رێته‌وه بۆ لاشه‌ی و جووت ده‌بێته‌وه له‌گه‌ڵیدا.
008_00	کاتێك کچی زینده به‌چاڵکراو پرسیاری لێده‌کرێت.
009_00	به چ گوناهێك، به چ تۆمه‌تێك کوژرا؟!
010_00	کاتێك نامه‌ی کرده‌وه‌کان واڵا ده‌کرێت.
011_00	کاتێك ئاسمان لاده‌برێن و داده‌ماڵرێن.
012_00	کاتێك دۆزه‌خ داده‌گیرسێت و تاوده‌درێت.
013_00	کاتێك به‌‌هه‌شت نزیك ده‌خرێته‌وه (له خواناسان).
014_00	ئیتر ئه‌و کاته هه‌رکه‌س ده‌زانێت چی ئاماده کردووه و چ توێشوویه‌کی پێیه‌.
015_00	سوێند به‌و ئه‌ستێرانه‌ی که په‌نهان ده‌بن و ون ده‌بن له‌چاو، یاخود به‌هۆی سوڕانه‌وه‌ی زه‌وی و خۆیانه‌وه (به‌هۆی هه‌ڵهاتنی خۆره‌وه‌) ون ده‌بن.
016_00	به‌و هه‌سارانه‌ی که په‌نا ده‌گرن و دیار نامێنن.
017_00	به‌و شه‌وه‌ی که دادێت و تاریکایه‌که‌ی ڕوومان تێده‌کات.
018_00	به به‌ره‌به‌یان که پشووی تێدێت، وه‌کو زینده‌وه‌رێك ئاهی تێدێته‌وه و ده‌ست ده‌کات به هه‌ناسه‌دان و ژیان و ڕووناکیه‌که‌ی ده‌رده‌که‌وێت.
019_00	(سوێند به‌وانه هه‌مووی) به‌ڕاستی، بێ دوودڵی ئه‌م قورئانه له‌زاری نێردراوێکی به‌ڕێزه‌وه‌یه (که جوبره‌ئیله‌).
020_00	خاوه‌نی هێزو ده‌سه‌ڵاته و لای خاوه‌نی عه‌رش، فریشته‌یه‌کی پایه‌داره‌.
021_00	فه‌رمانڕه‌وایه له‌وێ، هه‌روه‌ها ئه‌مین و دڵسۆزه له کاره‌کانیدا.
022_00	دڵنیابن که هاورێکه‌تان { محمد (صلی الله علیه وسلم) } شێت نیه و (له‌که‌ماڵی ژیریدایه‌).
023_00	بێگومان محمد (صلی الله علیه وسلم) جوبره‌ئیلی بینی به ئاشکرا له ئاسۆی نومایاندا.
024_00	هه‌رچی پێ ده‌گات، له جیهانی نهێنی و شاراوه‌کانه‌وه‌، لێتان ناشارێته‌وه و ڕاستیتان پێ ڕاده‌گه‌یه‌نێت چونکه هه‌رگیز له گه‌یاندنی په‌یامه‌که‌یدا ڕژدو ڕه‌زیل نیه‌.
025_00	ئه‌م قورئانه گوفتاری شه‌یتانی نه‌فرین لێکراو نیه‌.
026_00	ئیتر بۆ کوێ ده‌چن؟ ڕوو ده‌که‌نه کوێ؟ ڕوو ده‌که‌نه کێ؟
027_00	ئه‌م قورئانه ته‌نها یادخه‌ره‌وه‌یه بۆ سه‌رجه‌م دانیشتووانی زه‌وی (بۆ په‌ری و ئاده‌میزاد له هه‌موو سه‌رده‌مه‌کاندا).
028_00	بۆ ئه‌وانه‌تان که ده‌یانه‌وێت ڕێبازی ڕاست و دروست بگرنه‌به‌ر.
029_00	ویستی ئێوه‌ش نایه‌ته دێته دی مه‌گه‌ر کاتێك خوای په‌روه‌ردگاری جیهانیان بیه‌وێت، (هه‌رکه‌س ویستی خێری هه‌بێت خوای گه‌وره سه‌ربه‌رستی لێ زه‌وت ناکات، له‌گه‌ڵ ئه‌وه‌شدا هه‌ر ئه‌وه پێش دێت که ویستی خوای له‌سه‌ره و توانای تێگه‌یشتنمان له نهێنی و شاراوه‌کا‌ن زۆر سنوورداره‌).
