001_00	Apabila langit terbelah;
002_00	Dan apabila bintang-bintang gugur bertaburan;
003_00	Dan apabila lautan pecah bercampur-baur;
004_00	Dan apabila kubur-kubur dibongkarkan, -
005_00	(Setelah semuanya itu berlaku), tiap-tiap orang akan mengetahui apa yang telah dikerjakan dan ditinggalkannya.
006_00	Wahai manusia! Apakah yang memperdayakanmu - (berlaku derhaka) kepada Tuhanmu yang Maha Pemurah? -
007_00	Tuhan yang telah mencipta dan mengatur kejadianmu, lalu menjadikan anggotamu sesuai (dengan tujuan yang kerananya anggota itu diadakan), serta menjadikan (binaan tubuh badanmu) sama padan dengan kekuatannya;
008_00	Dalam bentuk dan rupa apa sahaja yang dikehendakiNya, Ia menyusun kejadianmu.
009_00	Sebenarnya tidak ada yang memperdayakan kamu (hai golongan yang ingkar)! Bahkan kamu sendiri tidak percayakan adanya hari pembalasan.
010_00	Padahal sesungguhnya, ada malaikat-malaikat yang menjaga dan mengawas segala bawaan kamu,
011_00	(Mereka adalah makhluk) yang mulia (di sisi Allah), lagi ditugaskan menulis (amal-amal kamu);
012_00	Mereka mengetahui apa yang kamu lakukan.
013_00	(Gunanya catitan malaikat-malaikat itu ialah: untuk menyatakan siapa yang berbakti dan siapa yang bersalah) - kerana sesungguhnya: orang-orang yang berbakti (dengan taat dan amal kebajikan), tetap berada dalam Syurga yang penuh nikmat;
014_00	Dan sesungguhnya orang-orang yang bersalah, bertempat dalam neraka yang menjulang-julang.
015_00	Mereka menderita bakaran neraka itu pada hari pembalasan,
016_00	Dan mereka (sentiasa berada dalam azab seksanya), tidak ghaib daripadanya.
017_00	Dan apa jalannya engkau dapat mengetahui kedahsyatan hari pembalasan itu?
018_00	Sekali lagi, apa jalannya engkau dapat mengetahui kedahsyatan hari pembalasan itu?
019_00	(Hari itu ialah) hari seseorang tidak dapat memberikan pertolongan sedikitpun kepada orang lain, dan segala urusan pada hari itu tertentu bagi Allah.
