001_00	Dichter bij voor de mensen is hun afrekening gekomen, terwijl zij zich in onachtzaamheid afwenden.
002_00	En er komt geen nieuwe Vermaning van hun Heer tot hen, of zij luisteren ernaar terwijl zij er de spot mee drijven.
003_00	Achteloos zijn hun harken. En degenen die onrechtvaardig zijn verbergen (hun onrecht) in heimelijk overleg (en zeggen:) "Deze (Boodschapper) is niet anders dan een mens zoals jullie." Nemen jullie dan tovenarij aan, terwijl jullie het doorzien?
004_00	Hij (Moehammad) zei: "Mijn Heer weet wat er in de hemelen en op de aarde gesproken wordt, en Hij is de Alhorende, de Alwetende."
005_00	Zij (de ongelovigen) zeggen zelfs: "Het verwardste gedroom is (deze Koran), hij verzon hem zelfs, hij is zelfs een dichter! Laat hem dan een Teken tot ons brengen zoals aan de voorafgaanden gezonden werd!"'
006_00	Zij geloofden niet, degenen v??r hen uit de steden die Wü vernietigden: zullen zij dan geloven?
007_00	En Wij hebben (niemnd) v??r jou gezonden of zij waren slechts mannen aan wie Wij openbaarden. Vraagt dan de bezitters van kennis, indien jullie het Riet weten.
008_00	En Wij schiepen hen niet met lichamen die geen voedsel aten en zij leefden niet eeuwig.
009_00	Dawop vervulden Wij voor ben de belofte en Wij redden ben en wie Wij wensten. En Wij vemietigden de buitensporigen.
010_00	Voorzeker, Wij hebben aan jullie een Boek doen neerdalen met daarin jullie eer. Begrijpom jullie het niet?
011_00	En hoevelen uit de steden vernietigden Wij niet die onrecht pleegden, na wie Wij een ander volk deden opstaan?
012_00	En wanneef zij dan Onze besüafflng aan voelden komen, dan (probeerden) zij ervan weg te rennen.
013_00	Rent niet weg, maar keert terug naar wat jullie van de goede dingen van het leven gegeven was en jullie huizen, opdat jullie ondervraagd zullen worden.
014_00	Zij zeiden: "Wee ons: voorwaar, wij waren onrechtvaardigen!"
015_00	En die weeklacht van hen hield niet op voordat Wij hen als neergemaaid, uitgestorven maakten.
016_00	En Wij schiepen de hemelen en de aarde en wat tussen hen is niet als vermaak.
017_00	Indien Wij gewild zouden hebben het als vermaak te nemen, dan zouden Wij het van Onze Zijde gernomen hebben, als Wij (zoiets al) gedaan zouden hebben.
018_00	Welnee, Wij werpen de Waarheid tegen het valse, waarop het vernietigd wordt en dan verdwijnt het. En wee jullie voor wat jullie toeschrijven (aan Allah).
