001_00	Tha Sîn. Dit zijn de Verzen van de Koran en een duidelijk Boek.
002_00	Als Leiding en een verheugende tijding voor de gelovigen.
003_00	Degenen die de shalât verrichten en de zakât geven, en die overtuigd zijn van het Hiernamals.
004_00	Voorwaar, voor degenen die niet in het Hiernamaals geloven, doen Wij hun daden schoen toeschijnen, daarop verkeren zij rusteloos in hun dwaling.
005_00	Zij zijn degenen voor wie er de slechte bestraffing is en in het Hiernamaals zijn zij de grootste verliezers.
006_00	En voorwaar, jij ontvangt de Koran van de Zijde van de Alwijze, de Alwetende.
007_00	(Gedenk) toen Môesa tot zijn familie zei: "Ik heb een vuur gezien. Ik zal jullie er snel over berichten, of ik breng jullie er een fakkel van, zodat jullie je kunnen verwarmen."
008_00	Maar toen hij er aankwam, werd bij geroepen: "Gezegend is hij (Môesa) die op de plaats van het vuur is en die er omheen zijn. En Heilig is Allah, de Heer der Werelden.
009_00	O Môesa, Ik ben het, Allah, de Almachtige, de Alwijze.
010_00	Werp jouw staf neer." Maar toen hij deze zag, bewoog zij alsof het een slang was, toen keerde hij haastig omen keek niet om. (Allah zei:) "O Môesa, wees niet bang, want voorwaar, bij Mij zijn de Boodschappen niet bang."
011_00	En wie onrecht pleegde en vervolgens een slechte daad voor een goede daad inruilde: dan ben Ik waarlijk Vergevensgezind, Meest Barmhartig.
012_00	(Allah zei tot Môesa:) "En stop jouw hand onder jouw kraag en deze schijnt wit, zonder ziek te zijn: als één van de negen wonderen tegen Fir'aun en zijn volk. Voorwaar, zij zijn een zwaw zondig volk."
013_00	Toen Onze Tekenen ter verduidelijking tot hen kwamen, zeiden zij: "Dit is duidelijke tovenarij."
014_00	En zij ontkenden ze, hoewel zij zelf ervan overtuigd waren, uit onrechtvaardigheid en hoogmoed. Zie dan hoe het einde van de verderfzaaiers was!
015_00	En voorzeker, Wij gaven kennis aan Dâwôed en Soelaimân, en beiden zeiden zij: "Alle lof zij Allah, Degene Die ons heeft bevoorrecht boven velen van Zijn gelovige dienaren."
016_00	En Soelaimân volgde Dâwôed op. En hij zei: "O mensen, aan ons is de taal van de vogels onderwezen, en ons is alles gegeven. Voorwaar, dit is zeker de duidelijke gunst."
017_00	En voor Soelaimân werden zijn troepen verzameld: de Djinn's en de mensen en de vogels, en zij werden in rijen opgesteld.
