001_00	Alif Lâm Mîm.
002_00	De neerzending van het Boek waaraan geen twijfel is, is van de Heer der Werelden.
003_00	Zij zeggen zelfs: "Hij (Moehammad) heeft hem verzonnen." Nee! Het is de Waarheid van jouw Heer, zodat jij een volk waarschuwt tot wie v??r jou geen waarschuwer is gekomen. Hopelijk zulten zij Leiding volgen.
004_00	Allah is Degene Die de hemelen en de aarde en wat tussen hen is heeft geschapen, in zes dagen (perioden), en Hij zetelde Zich op de Troon.
004_01	Er is voor jullie buiten Allah geen beschermer en geen voorspreker. Laten jullie je dan niet vermanen?
005_00	Hij regelt het bestuur vanuit de hemel naar de aarde, waarna die naar Hem opstijgt in een dag waarvan de tijdmaat duizend jaar is, zoals jullie rekenen.
006_00	Dat is de Kenner van het onwaarneembare en het waarneembare, de Almachtige, de Meest Barmhartige.
007_00	Degene Die alles wat Hij schiep op de beste manier heeft geschapen. En Hij begon de schepping van de mens uit klei.
008_00	Daarna maakte Hij zijn nageslacht van een uittreksel van nederig water (sperma).
009_00	Daarop voltooide Hij hem en blies in hem van de Ziel en Hij maakte voor jullie het gehoor en het gezichtsvermogen en de harten. Weinig dankbaarheid tonen jullie!
010_00	En zij zeggen: "Wanneer wij in de aarde zijn vergaan, zullen wij dan zeker tot een nieuwe schepping worden? Zij zijn zelfs ongelovig aan de ontmoeting met hun Heer.
011_00	Zeg (O Moehammad): "De Engel des doods die over jullie is aangesteld, zal jullie wegnemen. Vervolgens worden jullie tot jullie Heer teruggekeerd."
012_00	En als jij het kon zien wanneer de zondaren hun hoofden buigen voor hun Heer (en zeggen:) "Onze Heer, wij hebben gezien en gehoord, breng ons daarom terug, opdat wij goede werken verrichten. Voorwaar, wij zijn overtuigd."
013_00	En als Wij wilden, dan zouden Wij zeker iedere ziel haar Leiding geven, maar het Woord is door Mij bepaald: "Ik zal de Hel zeker vullen met Djinn's en mensen, allemaal"
014_00	Proeft dan (de bestraffing), omdat jullie ie de ontmoeting van deze Dag van jullie vergaten. Voorwaar, Wij hebben jullie vergeten. En proeft de eeuwige bestraffing vanwege wat jullie plachten te doen."
015_00	Voorwaar, gelovig aan Onze Verzen zijn slechts degenen die, wanneer zij ermee vemaand worden, zich neerbuigen, en die de Glorie van hun Heer prijzen met Zijn lofprijzing. En zij zijn niet hoogmoedig.
016_00	Hun zijden mijden de slaapplaatsen, zij roepen hun Heer aan, vrezend en hopend. En zij geven uit van dat waar Wij hun mee voorzagen.
017_00	En geen ziet weet welke verkoeling van de ogen voor hen verborgen wordt gehouden, als beloning voor wat zij plachten te doen.
018_00	Is wie gelovig is, gelijk aan een zwaar zondige? Zij zijn niet gelijk.
019_00	Wat betreft degenen die geloofden en goede werken verrichtten: voor hen zijn er Tuinen (het Paradijs) als verblijfplaats, als ontvangst voor wal zij plachten te doen.
020_00	En wat betreft degenen die zware zonden begingen: hun verblijfplaats is de Hel.
020_01	Iedere keer dat zij eruit willen komen, worden zij erin terruggedreven, en wordt er tot hen gezegd: "Proeft de bestraffing van de Hel die jullie plachten te loochenen."
021_00	En Wij zullen hun zeker de bestraffing van het wereldse (leven) dom proeven, v??r de grotere bestraffing, Hopelijk zullen zij terugkeren.
022_00	En wie is er onrechtvaardiger dan degene die met de Verzen van zijn Heer wordt vermand en zich er vervolgens van afwendt? Voorwaar, Wij zullen de zondaren vergelden.
023_00	En voorzeker, Wij hebben Môesa het Boek (de Taurât) gegeven. Verkeer daarom (O Moehammad) niet in twijfel over de ontvangst ervan (de Koran). En Wij maakten kom (de Taurât) tot Leiding voor de Kinderen van Israël.
024_00	En Wij stelden vanwege kun geduld onder hen leiders aan, die leiding gaven volgens Ons bevel. En zij waren van Onze Tekenen oveirtuigd.
025_00	Voorwaar, jouw Heer oordeelt tussen hen op de Dag der Opstanding over dat waarover zij plachten te redetwisten.
026_00	Is er geen leiding voor hen in hoeveel generaties Wij v??r hen hebben vernietigd? Zij lopen in kun woonplaatsen rond. Voorwaar, daarin zijn zeker Tekenen. Luisteren zij dan niet?
027_00	En zien zij niet dat Wij het water (in wolken) naar het dorre land drijven, waarna Wij gewassen tevoorschijn doen komen, waarvan hun vee en zij zelf eten? Zien zij dan niet?
028_00	En zij zeggen: "Wanneer zal die overwinning plaatsvinden, als jullie waarachtigen zijn?"
029_00	Zeg: "Op de Dag van de overwinning zal het geloof van degenen die ongelovig waren niet meer baten, en hen zal geen uitstel worden gegeven."'
030_00	Wend je daarom van hen af en wacht af: voorwaar, zij zijn afwachtenden.
