001_00	Shâd. Bij de Koran, bezitter van eer.
002_00	Maar degenen die ongelovig zijn., verkeren in eigendunk en opstandigheid.
003_00	Hoeveelgeneraties v??r hen hebben Wij niet vernietigd, die toen (tot Ons) riepen. Die tijd was niet de tijd om te vluchten.
004_00	En zij verbaasden zich dat er om waarschuwer uit hun midden tot hen was gekomen. En de ongelovigen zeiden: "Dit is een liegende tovenaar!
005_00	Heeft hij de goden tot één God gernaakt? Voorwaar, dit is zeker een verbazingwekkend iets."
006_00	En de vooranstaanden onder hen gingen weg (zeggend:) "Ga door en wees geduldig met (de aanbidding van) jullie goden. Voorwaar, dat (van Moehammad) is zeker iets dat (tegen jullie) bedoeld is.
007_00	En wij hebben hierover niets gehoord in de laatste godsdienst. Dit is niets dan een verzinsel."
008_00	Is aan hem uit Ons midden de Vermaning neergezonden? Nee! Zij verkeren in twijfel over Mijn Vermaning. Nee! Zij hebben de bestraffing nog niet geproefd.
009_00	Of zijn bij ben de schatten van de Barmhartigheid van jouw Heer, de Almachtig, de Schenker?
010_00	Of behoort aan hèn het koninkrijk van de hemelen en de aarde en wat daartussen is? Laten zij dan langs de ladders omhoog klimmen!
011_00	Zij zijn daar niets anden dan het verslagen leger van de bondgenoten.
012_00	V??r hen loochende het volk van Nôeh, en (het volk van) de 'Ad en Fir'aun, de bezitter van de pinnen (macht).
013_00	En de Tsamôed, het volk van Lôeth en de bewoners van Aikah. Zij zijn de bondgenoten.
014_00	En er was niemand onder hen, of hij loochende de Boodschappers, zodat Mijn bestraffing bewaarheid word.
015_00	En zij wachtten slechts op één enkele bliksemslag, die geen onderbreking kent.
016_00	En zij zeggen: "Onze Heer, bespoedig voor ons ons deel (van de bestraffing) v??r de Dag des Oordeels."
017_00	Weest geduldig mt wat zij zij zeggen, en gedenk Onze dienaar Dâwôed, de bezitter van kracht. Voorwaar, hij is de meest berouwtonende.
018_00	En Wij maakten de bergen dienstbaar, die met hem de Glorie van Allah prezen in de avond en in de ochtend.
019_00	En (ook) de verzamelde vogels, allen wendden zich voortdurend tot Hem.
020_00	En Wij versterkten zi n koninkrijk en Wij gaven hem de wijsheid en de beslissende uitspraken.
021_00	Heeft jou het bericht over de onenigheid bereikt? Toen zij over de muur de gebedsruimte binnendrongen?
022_00	Toen zij bij Dâwôed binnenkwamen, schrok Hij van ten, zij zeiden: "Wees niet bang, wij zijn twee mannen die het met elkaar oneens zijn, een van ons heeft de ander onrechtvaardig behandeld.
022_01	Oordeel daarom rechtvaardig tussen ons en wijk niet af van de Waarheid en leid ons naar het rechte Pad.
023_00	Voorwaar, mijn broeder heeft negen en negentig ooien en ik heb één ooi. Toen zei hij: 'Sta haar aan mij af.' En hij versloeg mij in het redetwisten."
024_00	Bij (Dâwôed) zei: "Voorzeker, hij heeft jou onrechtvaardig behandeld met de eis om jouw ooi am zijn ooien toe te voegen.
024_01	En voorwaar, vele genoten behandelen elkaar onrechtvaardig, behalve degenen die geloven en die goede werken verrichten, en zij zijn slechts weinigen.
024_02	En Dâwôed vermoedde dat Wij hem op de proef stelden, waarop hij zijn Heer om vergeving smeekte. Hij boog zich neer en hij toonde berouw.
025_00	Toen vergaven Wij hem dat. En voorwaar, voor hem is er bij Ons zeker (Onze) nabijheid en de beste plaats van terugkeer.
026_00	O Dâwôed, Wij hebben jou tot gevolmachtigde op aarde aangesteld, oordeel daarom met de Waarheid tussen de mensen en volg niet de begeerte, want die zal jou doen afdwalen van de Weg van Allah.
026_01	Voorwaar, degenen die van de Weg van Allah afdwalen: voor hen is er een harde bestraffing omdat zij de Dag des Oordeels vergaten.
027_00	En Wij hebben de hemel en de aarde en wat dartussen is niet voor niets geschapen. Dat is een vermoeden van degenen die ongelovig zijn. Wee daarom degenen die niet in de Hel geloven.
028_00	Zullen Wij degenen die geloven en goede werken verrichten behandelen als de verderfzaaiers op de aarde? Of zullen Wij de Moettaqôen be handelen als de verdorvenen?
029_00	(Dit is) een gezegend Boek dat Wij aan jou hebben neergezonden opdat zij Zijn Verzen zullen overpeinzen en opdat de bezitters van verstand er lering uit trekken.
030_00	En Wij schonken Dâwôed Soelaimân, de beste dienaar. Voorwaar, hij is de meest berouwtonende.
031_00	(Gedenkt) toen hem in de avond dc snelle raspaarden werden getoond.
032_00	Toen zei hij: "Voorwaar, ik koesterde de liefde voor het goede ten koste van het gedenken van mijn Heer, totdat zij onzichtbaar werden door de zonsondergang.
033_00	Brengt ze naar mij terug." Daarna begon bij (de paarden) over de benen en de halzen te stirijken.
034_00	En voorzeker, Wij hebben Soelaimân op de proef gesteld en Wij zetten (hem) op zijn zetel, als een lichaam, waarna hij berouw toonde.
035_00	Hij zei: "Mijn Heer, vergeef rnij, en schenk mij een koninkrijk dat niemand na mij ooit zal bezitten. Voorwaar, U bent de Schenker.
036_00	En Wij maakten de wind un hem dienstbaar, die volgzaan waaide op zijn bevel, waarheen bij wilde.
037_00	En (ook) de Satans, allen waren bouwers en duikers.
038_00	En andere (Satans) vastgebonden in ketenen.
039_00	Dat is een ge-schenk van Ons, geef (het) dan weg of houd (het) achter; zonder afrekening.
040_00	En voorwaar, voor hem is er bij Ons zeker (Onze) nabijheid en de beste plaats van terugkeer.
041_00	En gedenk Onze dienaar, Ayyôeb, toen hij tot zij Heer riep: "Voorwaw, de Satan heeft mij getroffen met tegenspoed en bestraffing."
042_00	(Allah antwoordde:) "Stamp met jouw voet, dit is koel water om te baden en om van te drinken."
043_00	En Wij hebben hem zijn familie en nog eens zoveel met hen geschonken, als een genade van Ons en als een tering voor de bezitters van verstand.
044_00	(Allah zei tegen Ayyôeb:) "En neem een bosje gras in je hand, en sla daarmee (jouw vrouw) en breek jouw eed niet." Voorwaar, Wij troffen hem aan als een geduldige, de beste dienaar. Voorwaar, hij is de meest berouwtonende.
045_00	En gedenk Onze dienaren Ibrâhîm en Ishâq en Ya'qôeb allen waren beziners van grote kracht en inzicht.
046_00	Voorwaar, Wij zuiverden hen volledig ten behoeve van (hun) godachtenis van het Hiernamaals.
047_00	En voorwaar, zij behoorden bij Ons zeker tot de beste uitgekozenen.
048_00	En gedeak Ismâ'îl (en Al Yasa' en Dzôelkifl: zij behoorden allen tot de besten.
049_00	Dit is een herinnering, en voorwaar, voor de Moettaqôen is er zeker de beste plaats van terrugkeer.
050_00	De Tuinen van 'Adn (het Paradijs) waarvan de poorten voor hen geopend zijn.
051_00	Daarin leunen zij, zij vragen daarin om vele vruchten en om drinken.
052_00	En bij hen zijn mooie gezellinnen met ingetogen blikken, gelijk in leeftijd.
053_00	Dat is wat aan jullie beloofd is voor de Dag des Oordeels.
054_00	Voorwaar, dit is zeker een voorziening van Ons die geen einde kent.
055_00	Zo is het. En voorwaar, voor de overtreders is er zeker de slechtste plaats van terugkeer.
056_00	De Hel, daarin zullen zij binnentreden en dat is de slechtste rustplaats.
057_00	Zo is het. Laten zij hem (de bestraffing) proeven: kokend water en etter.
058_00	En andere, daarop lijkende soorten.
059_00	Dit is een groep die samen niet jullie binnenstroomt. Er is geen welkom voor hen. Voorwaar, zij treden de Hel binnen.
060_00	Zij (hun volgelingen zullen) zeggen: "Nee, juist voor jullie is er geen welkom, jullie zijn het die dit over ons hebben gebracht." Dat is dan de slechtste vestiging.
061_00	Zij zullen zeggen: "Onze Heer, voor wie dit over ons heeft gebracht: vermenigvuldig de bestraffing in de Hel voor hem."
062_00	En zij zullen zeggen: "Hou komt het dat wij niet de mensen (gelovigen) zien, die wij tot de slechtsten rekenden?
063_00	Is het omdat wij hen tot onderwerp van bespotting maakten, of slagen de ogen er niet in hen te zien?"
064_00	Voorwaar, dat zal zeker de waarheid zijn: het redetwisten van de bewoners van de Hel.
065_00	Zeg: "Ik ben slechts een waarschuwer, en er is geen god dan Allah, de Ene, de Overweldiger.
066_00	De Heer van de hemelen en de aarde en wat er tussen hen is, de Almachtige, de Vergevensgezinde."
067_00	Zeg: "Dit is een geweldig bericht.
068_00	Waarvan jullie je afwenden.
069_00	Het is voor mij niet mogelijk dat ik kennis zou hebben over de Engelen toen zij redetwistten.
070_00	Het is aan mij geopenbaard dat ik slechts een duidelijke waarschuwer ben."
071_00	(Gedenk) Toen jouw Heer tot de Engelen zei: "'Voorwaar, Ik schep een mens uit aarde.
072_00	En Ik vervolmaak hem, en blaas hem van de Geest in." Toen knielden zij zich voor hem neer.
073_00	Toen knielden alle Engelen tezamen neer.
074_00	Behalve Iblîs, hij was hoogmoedig en hij behoorde tot de ongelovigen.
075_00	Hij (Allah) zei: "O Iblîs, wat heeft jou ervan weerhouden om neer te knielen toen Ik (Adam) met Mijn beide Handen had geschapen? Was jij hoogmoedig, of behoorde jij tot de hooghartigen?"
076_00	Hij zei: "Ik ben beter dan hij. U heeft mij uit vuur geschapen, terwijl U hem uit aarde heeft geschapen.
077_00	Hij (Allah) zei: "Ga dan weg uit haar (het Paradijs): voorwaar, jij bent een verworpene.
078_00	En voorwaar, op jou rust Mijn vervloeking, tot de Dag des Oordeels."
079_00	Hij (Iblîs) zei: "Mijn Heer, geef mij uitstel tot de Dag waarop zij zullen worden opgewekt."
080_00	Hij (Allah) zei: "Voorwaar, jij behoort dan tot hen aan wie uitstel is gegeven.
081_00	Tot de Dag van de vastgestelde tijd."
082_00	Hij (Iblîs) zei: "Bij Uw eer dan, ik zal hen zeker allen misleiden.
083_00	Behalve Uw dienaren onder hen die zuiver zijn in hun aanbidding."
084_00	Hij (Allah): "De Waarheid, en Ik spreek de Waarheid.
085_00	Ik zal zeker De Hel vullen met jou en met degenen onder hen die jou volgden, tezamen."
086_00	Zeg (O Moehammad): "Ik vraag jullie er geen beloning voor en ik behoor niet tot hen die verzinnen.
087_00	Hij (de Koran) is niets dan een Vermaning voor de werelden.
088_00	En over een tijd zullen jullie zeker weten wat zijn boodschap was."
