001_00	Qaf, bij de edelmoedige Koran.
002_00	Zij zijn zelfs verbaasd dat er uit hun midden een waarschuwer tot hen is gekomen, zodat de ongelovigen zeggen: "Dat is een verbazingwekkende zaak!
003_00	Als wij gestorven zijn, en stof zijn geworden (worden wij dan weer opgewekt?) Dat is een onwaarschijnlijke terugkeer."
004_00	Waarlijk, Wij weten wat de aarde van hen zal wegnemen, en aan Onze Zijde is een Boek dat nauwkeurig bijgehouden wordt.
005_00	Zij loochenden zelfs de Waarheid toen die tot hen kwam, daarom nemen zij een verward standpunt in.
006_00	Kijken zij dan niet naar de hemel boven hen, hoe Wij die gebouwd hebben en hoe Wij die versierd hebben en hoe die geen enkele scheur heeft?
007_00	En hoe Wij de aarde uitgespreid hebben en Wij daarop stevige bergen geplaatst hebben en Wij daarop allerlei mooie gewassen deden groeien?
008_00	Als lering en herinnering voor iedere berouwvolle dienaar.
009_00	En Wij hebben uit de hemel gezegend water neer doen dalen, waarna Wij daarmee tuinen deden groeien en graan van oogstbare gewassen.
010_00	En rijzige dadelpalmen met boven elkaar gevoegde kolven.
011_00	Als een voorziening voor de dienaren. En Wij brengen daarmee (water) het dode land tot leven. Zo zal ook de Opwekking zijn.
012_00	V??r hen loochende het volk van Nôeh, en de bewoners van Rass en de Tsamôed.
013_00	En de 'Ad, en Fir'aun en de broeders van Lôeth.
014_00	En de bewoners van Aikah en het volk van Toebba'. Allen loochenden de Boodschappers. Daarom was de bestraffing terecht.
015_00	Waren Wij dan niet in staat tot de eerste schepping? Zij verkeren beslist in twijfel over een nieuwe schepping.
016_00	En voorzeker, Wij hebben de mens geschapen en Wij weten wat zijn ziel hem influistert en Wij zijn dichter bij hem dan zijn halsslagader.
017_00	Wanneer de twee ontvangers (Engelen) aan de rechterzijde en aan de linkerzijde zitten te schrijven.
018_00	Is er geen woord dat Hij uit, of aan zijn Zijde bevindt zich een waker die gereed is.
019_00	En de doodsstrijd zal werkelijk komen, dat is waarvoor jullie proberen te vluchten.
020_00	En er zal op de bazuin geblazen worden. Dat is de Dag waarvoor gewaarschuwd is.
021_00	En elke ziel zal naar voren komen, met bij haar een (Engel als) voortdrijver en een (Engel als) getuige.
022_00	(Er wordt hem gezegd:) "Voorzeker, jij verkeerde hiervoor in onachtzaamheid, toen hieven Wij van jou de bedekking van jouw (hart) op, toen was jouw waarneming op deze Dag scherp."
023_00	En zijn metgezel (een Engel) zegt: "Dit is wat bij mij gereed is."
024_00	(Allah zegt tegen de twee Engelen:) "Werpt iedere opstandige ongelovige in de Hel.
025_00	Een tegenhouder van het goede, een overtreder een twijfelaar.
026_00	Degene die een andere god naast Allah nam: werpt hem daarom in de harde bestraffing."
027_00	En zijn metgezel (de Satan) zegt: "Onze Heer, ik heb hem niet tot dwaling gebracht; hij verkeerde zelf in vergaande dwaling."
028_00	Hij (Allah) zegt: "Redetwist niet in Mijn aanwezigheid, en Ik heb waarlijk een waarschuwing tot jullie gericht.
029_00	Het Woord van Mijn Zijde verandert niet en Ik ben niet onrechtvaardig jegens de dienaren."
030_00	(Gedenkt) de Dag dat Wij de Hel zeggen: "Ben jij al vol?" En zij zegt: "Is er nog meer?"
031_00	En het Paradijs zal dicht bij de Moettaqoen gebracht worden, zonder ver te zijn.
032_00	(Er wordt gezegd:) "Dit is wat jullie beloofd is, aan iedere berouwvolle, wakende.
033_00	Die de Barmhartige ongezien vreesde en die met een berouwvol hart kwam.
034_00	Treed haar binnen in vrede, dit is de Dag van de eeuwigheid."
035_00	Voor hen is daarin wat zij wensen en aan Onze Zijde is er nog meer.
036_00	En hoeveel generaties v??r hen hebben Wij niet vernietigd, die machtiger waren dan zij? Zij reisden toen in de landen, was er een kans om te vluchten?
037_00	Voorwaar, daarin is zeker een vermaning voor wie verstand heeft of wie luistert terwijl hij een getuige is.
038_00	En voorzeker, Wij hebben de hemelen en de aarde en wat ertussen is in zes dagen (perioden) geschapen, en vermoeienis raakte Ons niet.
039_00	Wees daarom geduldig met wat zij zeggen en prijs de Glorie met een lofprijzing van jouw Heer, v??r zonsopgang en v??r zonsondergang.
040_00	En prijs Hem in de nacht en na afloop van de neerknielingen (shalât).
041_00	En luister die Dag naar de roeper die vanaf een nabije plaats roept.
042_00	Op die Dag zullen zij het blazen (op de bazuin) in werkelijkheid horen. Dat is de Dag van de Opwekking.
043_00	Voorwaar, Wij doen leven en Wij doen sterven en tot Ons is de terugkeer.
044_00	Op de Dag waarop de aarde over hen gespleten zal worden, haasten (zij zich te verzamelen). Dat is een gemakkelijke verzameling voor Ons.
045_00	Wij weten het beste wat zij zeggen. En jij (Moehammad) bent niet als een dwinger over hen aangesteld. Vermaan daarom met de Koran degenen die Mijn Waarschuwing vrezen.
