001_00	Bij de snuivend voortrennenden.
002_00	Die vonken slaan.
003_00	Die in de ochtendschemering aanvallen.
004_00	Die daarbij stof opwerpen.
005_00	Die dan het midden van de gelederen (van de vijand) doorbreken.
006_00	Voorwaar, de mens is zijn Heer zeker ondankbaar.
007_00	En voorwaar, hij is daar zeker getuige van.
008_00	En voorwaar, hij heeft zeker een hevige liefde voor bezit.
009_00	Weet hij dan niet dat, wanneer naar buiten wordt gekeerd wat in de graven is.
010_00	En onthuld wordt wat in de harten is.
011_00	Dat hun Heer op die Dag zeker Alwetend over hen is?
