001_00	پاک ومنزه است کسی که بنده اش را شبی از مسجد الحرام به مسجد الأقصی - که گرداگردش را برکت
001_01	داده ایم - برد؛ تا برخی از آیات خود را به او بنمایانیم ، بی گمان اوست که شنوای بیناست .
002_00	و (ما) به موسی کتاب (تورات) دادیم، و آن را (مایه ی) هدایت برای بنی اسرائیل گرداندیم، (و فرمودیم : ) که جز من کارسازی بر مگزینید .
003_00	ای فرزندان کسانی که با نوح (بر کشتی) سوار کردیم، به راستی او(= نوح) بنده ای شکر گزار بود .
004_00	و (ما) به بنی اسرائیل در کتاب (تورات) وحی کردیم که دو بار در زمین فساد خواهید کرد، و برتری جویی (و طغیان) بزرگی خواهید نمود .
005_00	پس هنگامی که وعده ی نخستین آن دو (بار) فرا رسد؛ گروهی از بندگان بسیار نیرومند (پیکار جوی) خود را بر شما برانگیزیم (تا شما را درهم کوبند و نابود کنند) پس (برای قتل و کشتار) درون خانه ها را جستجو کنند، و این و عده شدنی (و قطعی) است.
006_00	آنگاه شما را بر آنها چیره گردانیم، و شما را با اموال و فرزندان یاریتان کنیم ، و (تعداد) نفرات شما را بیشتر (از دشمن) گردانیم .
007_00	اگر نیکی کنید، به خودتان نیکی کرده اید، و اگر بدی کنید، باز به خود کرده اید، پس هنگامی که وعده ی دیگر فرا رسد، (چنان دشمنان برشما مسلط هستند که) آثارغم واندوه
007_01	در چهره هایتان ظاهر می شود، و به مسجد (الأقصی) در آیند؛ همانگونه که در مرتبه ی اول وارد شدند ، و آنچه را زیر سلطه ی خود یابند؛ یکسره نابود گردانند .
008_00	امید است که پروردگارتان به شما رحم فرماید ، و اگر برگردید ، ماهم باز می گردیم، و جهنم را برای کافران زندان قرار داده ایم .
009_00	بی شک این قرآن، به راهی که آن استوارترین راههاست؛ هدایت می کند ، و به مؤمنانی که کارهای شایسته انجام می دهند بشارت می دهد که برای آنها پاداش بزرگی است .
010_00	و این که برای کسانی که به آخرت ایمان ندارند عذاب دردناکی را آماده کرده ایم .
011_00	و انسان بدیها را می طلبد، آن گونه که نیکیها را طلب می کند، و انسان همیشه عجول است .
012_00	و (ما) شب و روز را دو نشانه قرار دادیم، پس نشانه شب را محو کردیم،
012_01	و نشانه ی روز را روشنی بخش ساختیم، تا (در پرتو آن) از پروردگارتان فضل (و
012_02	روزی) بجویید، و تا شمارش سالها و حساب را بدانید، و هرچیز را به تفصیل بیان کرده ایم.
013_00	و هر انسانی اعمال (خیر و شر) ش را در گردنش آویخته ایم، و روز قیامت کتابی برای او بیرون می آوریم که آن را سرگشوده می بینید (که همانا نامه ی اعمالش است) .
014_00	(و به او می فرماییم :) کتابت را بخوان، کافی است که امروزخود حساب گر خویش باشی .
015_00	کسی که هدایت یابد برای خود هدایت یافته است، و کسی که گمراه گردد، فقط به زیان خود گمراه شده است .
015_01	و هیچ کس بار (گناه) دیگری را به دوش نمی کشد، و ما هرگز عذاب نخواهیم کرد؛ مگر آنکه پیامبری بفرستیم .
016_00	و هنگامی که بخواهیم دیاری را نابود کنیم، به مترفین (و سرکشان) آنجا فرمان (اطاعت) می دهیم، پس چون در آنجا به فسق (و فساد) بر خاستند، آنگاه وعده ی (عذاب) بر آنها محقق می گردد، پس آنها را به کلی نابود گردانیم .
017_00	و چه بسیار نسلها را که بعد از نوح (زندگی می کردند) هلاک کردیم ، و کافی است که پروردگارت (نسبت)به گناهان بندگانش دانای بیناست .
018_00	هر کس که (دنیای) زود گذر را بخواهد، در آن(دنیا) برای هر که بخواهیم؛ همان اندازه که بخواهیم؛ زود خواهیم داد، سپس جهنم را برای او قرار خواهیم داد که نکوهیده ی مردود در (آتش سوزان) آن درآید.
019_00	و کسی که (سرای) آخرت را بخواهد، و برای آن سعی و تلاش خود را بکند، در حالی که مؤمن باشد ، پس اینان سعی (و تلاش) شان مشکور است (و پاداش داده خواهد شد) .
020_00	هر یک از اینان و آنان (از هر دو گروه) از عطای پروردگارت (بهره و) کمک می دهیم، و عطای پروردگارت هرگز (از کسی) باز داشته شده نیست (مؤمن وکافر همه از نعمتهای دنیوی بهره مند می شوند)
021_00	بنگر چگونه بعضی را بربعضی دیگر برتری داده ایم ، و یقیناً درجات آخرت و برتریهایش از این هم بیشتر است .
022_00	(هرگز) معبود دیگری را با الله (شریک) قرار مده، که آنگاه نکوهیده ی خوار (بی یار ویاور) خواهی نشست.
023_00	و پروردگارت (چنین) مقرر داشته است که : جز او را نپرستید، و به پدر و مادر نیکی کنید، هرگاه یکی از آن دو، یا هر دوی آنها نزد تو
