001_00	کهیعص (کاف. ها. یا. عین. صاد).
002_00	(این) بیان رحمت پروردگارت (نسبت) به بنده اش زکریا است.
003_00	چون پروردگارش را به ندایی پنهان (به دعا) خواند.
004_00	گفت: «پروردگارا ! به راستی که استخوانم سست شده، و شعله ی پیری سرم را فرا گرفته (و موهایم سفید گشته است) و من (هرگز) در دعای تو، ای پروردگارم! محروم نبوده ام .
005_00	و به راستی که من بعد از (مرگ) خودم از وارثانم بیمناکم، و همسرم نازا (و عقیم) است، پس از نزد خویش وارثی به من عطا فرما.
006_00	که وارث من و (نیز) وارث آل یعقوب باشد، و پروردگارا ! او را پسندیده قرار ده».
007_00	(خداوند فرمود :) «ای زکریا ! همانا ما تو را به پسری بشارت می دهیم که نامش یحیی است، (که) پیش از این همنامی برای او قرار نداده ایم ».
008_00	(زکریا) گفت : «پروردگارا ! چگونه برای من پسری خواهد بود؟! درحالی که همسرم نازا است، و من (نیز) از شدت پیری به ناتوانی رسیده ام! »
009_00	(فرشته) گفت : «این گونه است، پروردگارت فرموده است: این بر من آسان است، و به راستی پیش از این تو را آفریدم در حالی که چیزی نبودی».
010_00	(زکریا) گفت : «پروردگارا ! برای من نشانه ای قرار ده » فرمود :«نشانه ی تو این است که سه شبانه (روز) در حالی که (تندرست و) سالمی؛ نتوانی با مردم سخن بگویی».
011_00	پس (او) از محراب (= جایگاه عبادتش) بر قومش بیرون آمد، آنگاه به آنها اشاره کرد که: صبح وشام (خدا را) تسبیح گویید».
012_00	(خداوند فرمود: ) ای زکریا ! کتاب (تورات) را با قوت (و جدیت) بگیر، و در کودکی به او دانش (و نبوت) دادیم.
013_00	و (نیز به او) شفقت و پاکیزگی ازجانب خود (عطا کردیم). و (او) پرهیزگاربود.
014_00	و (او) نسبت به پدر و مادرش نیکو کار بود، و سرکش (و) نا فرمان نبود.
015_00	و سلام بر او باد، روزی که متولد شد، و روزی که می میرد، و روزی که زنده برانگیخته می شود.
016_00	و در (این) کتاب (قرآن) مریم را یاد کن، هنگامی که از خانواده اش کناره گرفت، (و در) ناحیه ی شرقی (بیت المقدس) مستقر شد .
017_00	پس میان خود وآنها پرده ای کشید، آنگاه (ما) روح خود (= جبر ئیل) را به سوی اوفرستادیم، پس به هیئت انسانی کامل بر اوظاهر شد .
018_00	(مریم) گفت : «همانا من از (شر) تو، به (خدای) رحمان پناه می برم ، اگر تو پرهیزگار هستی ».
019_00	(فرشته) گفت : «یقیناً من فرستاده ی پروردگار تو هستم، تا پسر پاکیزه ای به تو ببخشم ».
020_00	(مریم) گفت : «چگونه ممکن است مرا پسری باشد در حالی که تاکنون انسانی با من تماس نداشته است، و هرگز (زن) بدکاره ای (هم) نبوده ام ؟!».
