001_00	حساب مردم به آنها نزدیک شده است، در حالی که آنها در غفلت روی گردانند.
002_00	هیچ پند تازه ای از جانب پروردگارشان برای آنها نمی آید، مگر آنکه بازی کنان به آن گوش می دهند.
003_00	(در حالی که) دلهایشان غافل (و در لهو سرگرم) است . و کسانی که ستمکار بودند پنهانی نجوی کردند (و گفتند:) «آیا جز این است که او بشری مانند شماست ؟! آیا به جادو روی می آورید، در حالی که (حقیقت را) می بینید ؟!»
004_00	(پیامبر) گفت : «پروردگارم هر سخنی را که در آسمان و زمین باشد، می داند، و او شنوای داناست» .
005_00	بلکه (آنها) گفتند : «(آنچه او آورده) خوابهای آشفته است، بلکه آن را به دروغ (به خدا) افترا بسته است، (نه) بلکه اوشاعر است، پس (اگر راست می گوید) برای ما معجزه ای بیاورد، چنانکه پیامبران پیشین (با معجزات) فرستاده شدند».
006_00	پیش از آنها هیچ (آبادی و) قریه ای که آن را هلاک کردیم؛ ایمان نیاورده بودند، آیا اینها ایمان می آورند؟!
007_00	و (ای پیامبر!) پیش از تو، جز مردانی را که به آنها وحی می کردیم؛ نفرستادیم، پس (ای مردم!) اگر نمی دانید از اهل کتاب بپرسید.
008_00	و (ما) آنها را پیکرهایی که غذا نخورند، قرار ندادیم، و (در دنیا) جاوید هم نبودند.
009_00	سپس وعده ای را که به آنها داده بودیم راست گردانیدیم (و وفا کردیم) پس آنها و هر که را خواستیم (از دشمنانشان) نجات دادیم، و مسرفان را هلاک کردیم.
010_00	به راستی به سوی شما کتابی نازل کردیم که آوازه (و عزت) شما در آن است، آیا خرد نمی ورزید ؟
011_00	چه بسیار شهرهایی را که (ساکنانش) ستمکار بودند؛ درهم شکستیم، و بعد از آنها قوم دیگری را پدید آوردیم.
012_00	پس چون عذاب ما را احساس کردند، ناگهان آنها ازآنجا می گریختند.
013_00	(گفتیم :) فرار نکنید، به سوی خانه هایتان و نعمتهای که در آن آسوده بودید، باز گردید، باشد که باز خواست شوید.
014_00	گفتند : «وای بر ما، یقیناً ما ستمکار بودیم».
015_00	پس پیوسته فریاد شان این بود، تا آنکه آنها را (چون کشت) درو شده خاموش ساختیم .
016_00	و (ما) آسمان و زمین، و آنچه را که در میان آن دو است به بازیچه نیافریدیم.
017_00	(به فرض محال) اگر می خواستیم که سر گرمی بگیریم، همانا آن را از نزد خودمان بر می گرفتیم، اگر (چنین کاری) می کردیم .
018_00	بلکه ما حق را بر باطل می افکنیم، پس آن را درهم می شکند و ناگاه آن (باطل) نابود می شود، و وای بر شما (ای کافران) از آنچه توصیف می کنید.
019_00	و هرکس که در آسمانها و زمین است، از آن اوست، و آنان که نزد او هستند، (هیچ گاه) از عبادتش سرکشی نمی کنند، و (هرگز) خسته نمی شوند.
020_00	شب وروز تسبیح می گویند، سستی نمی ورزند.
021_00	آیا آنها معبودانی از زمین برگزیده اند، که آنها (مردگان را) بر می انگیزند.
022_00	اگر در این دو (= آسمان و زمین) معبودانی جز «الله» بود، مسلماً هر دو (= آسمان و زمین) تباه می شدند (و نظام هستی به هم می خورد) پس منزه است خداوند، پروردگار عرش، از آنچه آنها توصیف می کنند.
023_00	(او) از آنچه می کند، باز خواست نمی شود، و آنان باز خواست می شوند.
024_00	آیا به جز او معبودانی را بر گزیده اند ؟!
024_01	بگو : «دلیل تان را بیاورید، این پند کسانی است که با من هستند، وپند آنان که پیش از من بودند » بلکه بیشتر آنها حق را نمی دانند، لذا آنها (از آن) روی گردانند.
025_00	و (ما) پیش از توهیچ پیامبری را نفرستادیم، مگر آنکه به او وحی کردیم که : «معبودی جز من نیست، پس تنها مرا عبادت کنید» .
