001_00	الم (الف. لام. میم).
002_00	آیا مردم پنداشتند که چون بگویند: «ایمان آوردیم» (به حال خود) رها می شوند، و آنان آزمایش نمی شوند ؟!
003_00	و به راستی کسانی را که پیش از آنها بودند؛ آزمودیم، پس البته خداوند کسانی را که راست گفتند معلوم می دارد، و دروغگویان را (نیز) معلوم خواهد داشت.
004_00	آیا کسانی که اعمال بد انجام می دهند؛ گمان کردند که از ما پیشی می گیرند؟ چه بد داوری می کنند!
005_00	کسی که به دیدار خدا امید دارد، پس به راستی که وعده ی خداوند خواهد آمد، و او شنوای داناست.
006_00	کسی که (در راه خدا) جهاد کند، تنها برای (نفع) خودش جهاد می کند، بی گمان خداوند از (همه ی) جهانیان بی نیاز است.
007_00	و کسانی که ایمان آوردند و کارهای شایسته انجام دادند، قطعاً گناهانشان را از آنان می زداییم، و آنان را به بهترین اعمالی که انجام می داند، پاداش می دهیم.
008_00	و انسان را به نیک رفتاری (نسبت) به پدر و مادرش سفارش کردیم، و اگر آن دو(مشرک باشند و) تلاش کنند که تو چیزی را که به آن
008_01	علم نداری شریک من قرار دهی، پس از آنان اطاعت نکن، بازگشت شما به سوی من است، آنگاه شما را به آنچه انجام می دادید؛ آگاه خواهم کرد.
009_00	و کسانی که ایمان آوردند و کارهای شایسته انجام دادند، هر آیینه آنها را در (زمره ی) صالحان در می آوریم.
010_00	و از مردم کسانی هستند که می گویند: « به خدا ایمان آورده ایم»
010_01	پس هنگامی که در راه خدا آزار بیند، آزار (و اذیت) مردم را همچون عذاب خدا بشمار می آورد، و اگر پیروزی از سوی پروردگارت (برای شما) بیاید؛ حتماً می گویند :« به راستی که ما (نیز) با شما بودیم» آیا خداوند به آنچه در سینه های جهانیان است؛ داناتر نیست؟!
011_00	و مسلماً خداوند کسانی را که ایمان آوردند معلوم می دارد، و یقیناً منافقان را (نیز) معلوم خواهد داشت.
012_00	و کسانی که کافر شدند به کسانی که ایمان آوردند؛ گفتند :«از راه ما پیروی کنید، و البته ما (بار) گناهانتان را بر می داریم». و آنها هر گز چیزی از گناهان ایشان را بر نخواهند داشت، بی گمان آنها دروغگو هستند.
013_00	و البته بارهای سنگین (گناهان) خویش را بر می دارند، و (همچنین) بارهای دیگری را با بارهای سنگین خود بر می دارند، و روز قیامت یقیناً از آنچه افترا می بستند پرسیده خواهند شد.
